link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/thatdaffyduck/status/1609699216544112652,Sun Jan 01 23:52:54 +0000 2023,"&gt;puts Bugs Bunny on your 100th Anniversary logo
&gt;gets rid of like 50% of the Looney Tunes cartoons on HBO Max anyway
Yeah these niggas are done.",657,6270,22,1609699216544112652,0
https://x.com/ToonHive/status/1615449133996978176,Tue Jan 17 20:41:01 +0000 2023,"TINY TOONS LOONIVERSITY will premiere later this year on Cartoon Network &amp; HBO Max, along with Bugs Bunny returning with Babs and Buster in the new revival 👀 

https://t.co/y2fPHj3lIm https://t.co/RUEjiAlYZN",218,1053,43,1615449133996978176,0
https://x.com/karma_shopping/status/1759137425849466947,Sun Feb 18 08:47:00 +0000 2024,Don't overpay on Amazon ever again! This Amazon shopping hack is like Prime Day on steroids.,43,182,122,1759137425849466947,0
https://x.com/thiagochareti/status/1614706209936011264,Sun Jan 15 19:28:54 +0000 2023,"netflix cancela tudo que bom 
hbo max sumiu com metade do catalogo e passou DC pra amazon 
Disney e Star são boas mas pouquissimo conteudo (e interface que da muito bug)
amazon prime...é isso...

streaming começou com um sonho lindo e terminamos obrigados a voltar pro torrent https://t.co/WZVgRDCFEx",6256,76525,619,1614706209936011264,0
https://x.com/mmdogfood/status/1614827094407802881,Mon Jan 16 03:29:16 +0000 2023,sundays are back. real goddamn television is back. i have never said anything negative about warner bros discovery. hbo max is a fully functional service with no bugs. neil druckmann is our shakespeare,13,57,3,1614827094407802881,0
https://x.com/NeverOnBrand/status/1610662537141395457,Wed Jan 04 15:40:48 +0000 2023,"In less than two years, HBO Max went from ""We spent $70M to put out a better cut of a movie"" to ""We set Bugs Bunny on fire to add a few pennies to our bottom line.""",6,53,1,1610662537141395457,0
https://x.com/ToonHive/status/1617242766219837441,Sun Jan 22 19:28:17 +0000 2023,"Happy Lunar New Year &amp; Year Of The Rabbit! 🐰 🐇 

- BUGS BUNNY BUILDERS: HARD HAT TIME is streaming on HBO Max, with the short ""Lunar New Year"".

Are you also excited for Tiny Toons Looniversity &amp; the final new episodes of Looney Tunes Cartoons? 🐰 https://t.co/ZikOv6P4Pq",32,129,8,1617242766219837441,0
https://x.com/YUPLAY_COM/status/1758522274393514150,Fri Feb 16 16:02:36 +0000 2024,🎮 Still thinking about that game? 🤔 It's waiting for you at a great price on YUPLAY. Get it now! 👇,3,119,15,1758522274393514150,0
https://x.com/DissocialSpace/status/1617555949576912899,Mon Jan 23 16:12:45 +0000 2023,"Finished The Undoing on CraveTV HBO staring Hugh Grant and Nicole Kidman. Still think she's gorgeous even though she's a lunatic lefty who wants us to eat bugs. The show was so boring I barely made it through the 6 episodes. Guy cheats, gets accused of killing her goes on trial. https://t.co/DB7jDd2KuD",1,19,10,1617555949576912899,0
https://x.com/LeaderGrev/status/1614812266029015040,Mon Jan 16 02:30:20 +0000 2023,"A fun bit of The Last of Us HBO trivia: If you keep an eye out during the nighttime infection pandemonium scene, you'll see the guy in charge of HBO just beaming Bugs Bunny with a glock while nobody's paying attention.",1,5,0,1614812266029015040,0
https://x.com/LucasRemoussin/status/1609342627035451392,Sun Jan 01 00:15:57 +0000 2023,"I'm a year late, but I FINALLY saw Matrix - Resurrections today. I know it's unlikely to happen, but I need a spinoff (prequel ?) HBO series focused on Jessica Henwick's character. Call it, I don't know, BUGS IN THE MATRIX :p

P.S. : She should have been the new Chosen One. 💙 https://t.co/kRDDLx9tV9",1,11,1,1609342627035451392,0
https://x.com/verycoolemily/status/1610763468239704071,Wed Jan 04 22:21:52 +0000 2023,HBO Max needs a reverse exterminator to help them KEEP BUGS,2,7,1,1610763468239704071,0
https://x.com/WakkoKing/status/1611047802447986688,Thu Jan 05 17:11:42 +0000 2023,my second favorite Bugs Bunny cartoon directed by Chuck Jones is no longer on HBO Max :( https://t.co/ajrqtzuaGO,3,14,1,1611047802447986688,0
https://x.com/AnimationOnMax/status/1616839379732799490,Sat Jan 21 16:45:22 +0000 2023,"'BUGS BUNNY BUILDERS: HARD HAT TIME' has been added to HBO Max. Looks like it's meant to be a collection of the show's shorts, though only the third short, ""Lunar New Year,"" is currently available. #LooneyTunes #Cartoonito https://t.co/NVqFNC3O2t",10,40,2,1616839379732799490,0
https://x.com/TheGoPapiSign/status/1616964374417268736,Sun Jan 22 01:02:03 +0000 2023,"We need to make a petition to get HBO to revive The Looney Tunes Show

The one where Daffy and Bugs are roomates/basically boyfriends",1,7,1,1616964374417268736,0
https://x.com/fangsbites/status/1610400332411969536,Tue Jan 03 22:18:53 +0000 2023,"Another reason to hate Warner Bros Discovery: Over 250 Looney Tunes Shorts Removed from HBO Max. A lot of my Bugs Bunny and Daffy Duck fixes are gone. Jerks. 

https://t.co/p0ba9Ee3xH",0,5,1,1610400332411969536,0
https://x.com/TJFsports/status/1619033268841594892,Fri Jan 27 18:03:06 +0000 2023,"That's right, even if you don't have an HBO subscription your friend Tom is still going to bug you about watching TLOU. So do it",0,5,0,1619033268841594892,0
https://x.com/_EntertainMINT/status/1615504288687456257,Wed Jan 18 00:20:11 +0000 2023,"TINY TOONS LOONIVERSITY will premiere later this year on Cartoon Network &amp; HBO Max, along with Bugs Bunny returning with Babs and Buster in the new revival 👀 

https://t.co/TdlCLql8yN https://t.co/NrpU5o6C2n",0,0,0,1615504288687456257,0
https://x.com/Biodude2020/status/1616589897854341121,Sat Jan 21 00:14:01 +0000 2023,"Conservabros going hard on the “i’m not going to eat bugs” thing, it’s the wrong hill… wrong antHILL to die on. if you want throw that energy around (and i’m fine with that) do it with this abortion of a scooby doo hbo show. it’s the same energy and is so much more egregious",0,2,1,1616589897854341121,0
https://x.com/annyhanny/status/1610668930842124289,Wed Jan 04 16:06:12 +0000 2023,"Beloved classic Bugs Bunny cartoons dumped from HBO😾
New Warner Discovery mashup has lost all grip on brand &amp; legacy🤦🏼‍♀️
Boomers &amp; GenX kids exposed to great music w/
What’s Opera, Doc?🛡
Rabbit of Seville🐰💈
Another philistine plunge into world eschewing culture😿",0,1,0,1610668930842124289,0
https://x.com/brettclaxton/status/1610767252143448066,Wed Jan 04 22:36:54 +0000 2023,This news is crap about HBO Max just removing a bunch of Looney Tunes shorts but I can't stop laughing at the noise and face Bugs makes at the end of this video.,0,2,0,1610767252143448066,0
https://x.com/kjwilby913/status/1620566765754527744,Tue Jan 31 23:36:40 +0000 2023,Watching Jennifer Coolidge try and cough up a bug on the back of a Vespa is worth my HBO Max subscription 😂,0,1,0,1620566765754527744,0
https://x.com/karma_shopping/status/1757323221819662718,Tue Feb 13 08:38:00 +0000 2024,Don't overpay on Amazon ever again! This Amazon shopping hack is like Prime Day on steroids.,42,148,222,1757323221819662718,0
https://x.com/ANIMATIONWorld/status/1615437442676576258,Tue Jan 17 19:54:34 +0000 2023,Looney Tunes Share ‘Bugs Bunny Builders’ Lunar New Year Short: The new year ushers in more Looney hijinks with new episodes of Cartoonito’s ‘Bugs Bunny Builders’ and HBO Max’s ‘Looney Tunes Cartoons;’ more fun launches later this year with ‘Tiny Toons… https://t.co/FQ4xvA7Dvr https://t.co/pvunqT5a5w,1,5,0,1615437442676576258,0
https://x.com/KenGrantNFL/status/1617155891786137600,Sun Jan 22 13:43:04 +0000 2023,"Few things bug me more. Also, why does every streaming service have their own volume level? I got Netflix at 60, hulu at at least 70, HBO sometimes like 85, prime way back down to 45. Like, wtf?!",0,6,1,1617155891786137600,0
https://x.com/Tanukitsune/status/1610735311050375185,Wed Jan 04 20:29:58 +0000 2023,"Wow, HBO is removing BUGS BUNNY cartoons now? I have even less interest in getting it now?",0,1,2,1610735311050375185,0
https://x.com/PhilTalksFooty/status/1618446117859098624,Thu Jan 26 03:09:58 +0000 2023,I feel like I don’t often have score bug opinions but HBO’s is terrible. I absolutely hate it,0,1,0,1618446117859098624,0
https://x.com/MScDigital/status/1680150019087663105,Sat Jul 15 09:39:14 +0000 2023,"The World’s 1st Master’s Degree in Metaverse.

Learn the technical &amp; business aspects of the Metaverse. Includes the world’s 1st MOOC “NFTs and the Metaverse” delivered exclusively on-chain and in the metaverse.

Join the largest metaverse student community (22,500+ students).",121,1405,188,1680150019087663105,0
https://x.com/Goofstha/status/1613702916606689282,Fri Jan 13 01:02:11 +0000 2023,@IGN HBO app Be crashing and has so many bugs lol. They trippen,0,13,4,1613702916606689282,0
https://x.com/Luquetinhaaa/status/1617341934527209472,Mon Jan 23 02:02:20 +0000 2023,Hbo bug dnovo kkkkkk,0,0,0,1617341934527209472,0
https://x.com/nick_waters/status/1615546714655531009,Wed Jan 18 03:08:46 +0000 2023,The HBO max score bug is surprisingly bad. The whole graphics package is unimpressive and looks cheap.,0,0,0,1615546714655531009,0
https://x.com/ACriticalHuman/status/1617298193288515585,Sun Jan 22 23:08:31 +0000 2023,"Anybody remember the antagonist from the new HBO Max Looney Tunes cartoon ""Basket Bugs""?

The character was actually voiced by Roger Craig Smith.",1,4,0,1617298193288515585,0
https://x.com/coralaibusiness/status/1760375897151218043,Wed Feb 21 18:48:14 +0000 2024,"""PDF GPT is one of the best new AI tools I've used for research.""

Just upload a PDF file, ask a question, and get an answer in seconds. 

It's like ChatGPT, but built for research.

Try it for free.",31,158,0,1760375897151218043,0
https://x.com/cowfish13/status/1615002007332597761,Mon Jan 16 15:04:18 +0000 2023,HBO Last of Us was good but the one thing omitted that will bug me is Sarah's PG Swears. It was a nice small detail that contrasted her with Ellie's potty mouth.,0,0,0,1615002007332597761,0
https://x.com/fluffyninja91/status/1615450111898705968,Tue Jan 17 20:44:54 +0000 2023,"the  only thing that bugs me in tlou hbo is that the years don't match
in a game the action took place in 2013 and 2033 and in a tv show we have 2003 and 2023 and I don't get it
was it done to match a year of releasing the tv show??? I'm so confused???",0,0,0,1615450111898705968,0
https://x.com/largo621/status/1614681660259463168,Sun Jan 15 17:51:21 +0000 2023,"The Exorcist (seen way too young on HBO) still haunts me, the deaths of Roy Fokker and Ben Dixon on Robotech taught me war has a cost (and heroes aren't indestructible), and I still love The Transformers to this day. All the woods gave me were twisted ankles, bug bites, and cuts.",0,0,0,1614681660259463168,0
https://x.com/talentlessshack/status/1615807016584286219,Wed Jan 18 20:23:07 +0000 2023,"I will not eat the bugs, I will not live in the pod, I will not use the central bank digital currency, I will not watch the last of us premiering exclusively on HBO Max",0,0,0,1615807016584286219,0
https://x.com/EpisodeIvy/status/1615548296830787584,Wed Jan 18 03:15:04 +0000 2023,"I think the reason HBO’s The Last of Us bugs me so much (despite being super well made and watchable) is that it just kinda re-ups the bland, pessimistic, conservative post-apocalypse fad that had almost died with The Walking Dead franchise.",0,1,1,1615548296830787584,0
https://x.com/RegularTweetsUK/status/1615442498888818696,Tue Jan 17 20:14:39 +0000 2023,"“Looney Tunes Cartoons” will also return this year with new episodes on HBO Max, having closed out 2022 with a first-ever Emmy win for Bugs Bunny awarded to Eric Bauza for his voice work as Bugs, Daffy, Tweety, and Marvin the Martian.",5,37,1,1615442498888818696,0
https://x.com/MicahRacoon/status/1617254883874177036,Sun Jan 22 20:16:26 +0000 2023,"We had four - because my parents somehow got TWO VCRs to work with and we were unscrupulous. 

1) Brave Little Toaster // Willy Wonka and the Chocolate Factory // random Bugs Bunny cartoons (given what HBO just did, I'd kill for that tape) 🧵",0,0,1,1617254883874177036,0
https://x.com/miladydart/status/1611884292094697472,Sun Jan 08 00:35:37 +0000 2023,@NabokovT_T @plantsinside @anOKtweet @w4gm1fr3n @__marijuano @jellyjellycake @0xbeanstalk @purrblind1 @bryptosteve @ChristDreidel @paaaaaaaaancake @rvchgho @miladydontit @sisterxue @jonkodoteth @AaronKelloway @leftoversushiii @beingsothat @alpha_cop @slinkysenpai @0xJokerFrog @Nopointproven @sicregina @focaballena @maxxcrypto1 @Onlycryptonopo2 @kryptopauldev @litedart @endewed @ColtonButterfly @complainooor @SwooperSaiyan @CaramelCoffee8 @MichaelMjfm @Kooshear @0xitasha @__bug______ @networklostsoul @0xBarnacle @jb0x_ @0xTeahupoo @jorgepollosanch @macrodosis @_EazyP_ @rugsharkd @AltcoinKramer @CL207 @NoosphereLabs @jonsticker 6280 we pumped for the hbo show or what,0,11,1,1611884292094697472,0
https://x.com/TheArthurNix/status/1611007881188413441,Thu Jan 05 14:33:04 +0000 2023,"HBO Max cuts Bugs Bunny

Over 50 years of Looney Tunes has been removed from HBO Max, and it's all for legal money laundering.

#Ridgedale #HBOMax #LooneyTunes
https://t.co/UCcjPvHUHn",2,2,0,1611007881188413441,0
https://x.com/gabiiyeager/status/1617339561671069703,Mon Jan 23 01:52:54 +0000 2023,"Pessoal, jaja vai ter o segundo episódio de #TheLastOfUsHBO já deixem no canal HBO caso novamente de bug na plataforma Streaming",0,3,1,1617339561671069703,0
https://x.com/tanktankytank/status/1618494652101062656,Thu Jan 26 06:22:49 +0000 2023,Since #TheLastOfUs is on HBO i've been getting these watch recommendations from youtube about zombie bugs. 😱,0,0,0,1618494652101062656,0
https://x.com/sujeitodeshorts/status/1610148550909861888,Tue Jan 03 05:38:24 +0000 2023,"tem um bug muito irritante na HBO. Se tu baixa algo pra assistir offline, depois que o download expira vc simplesmente não consegue assistir o troço online",0,2,0,1610148550909861888,0
https://x.com/karma_shopping/status/1759137426000474349,Sun Feb 18 08:47:00 +0000 2024,Don't overpay on Amazon ever again! This Amazon shopping hack is like Prime Day on steroids.,14,112,63,1759137426000474349,0
https://x.com/TunepatI/status/1613843999386898432,Fri Jan 13 10:22:47 +0000 2023,"TunePat VideoGo All-In-One for Windows &amp; Mac V1.1.0 released！
What's New?
1. Solve the problem of being stuck at 100% for a long time when downloading Disney+ and HBO Max videos.
2. Fix some other bugs.

Download it from https://t.co/YlHm3C4DFf https://t.co/7SW2pvRAAr",0,0,0,1613843999386898432,0
https://x.com/jeremydstanley/status/1615548185128177666,Wed Jan 18 03:14:37 +0000 2023,hbo max soccer scorebug: channel logo integrated with the bug. includes team badges. no sign of kit color indicators. i don't like the stats dropdowns. still legible tho. my rating: 6/10,0,0,1,1615548185128177666,0
https://x.com/Zombee05/status/1615498480335683584,Tue Jan 17 23:57:06 +0000 2023,@ZachTinker @HBO FR YOU CAN PLAY THE BUG DADDY,0,0,0,1615498480335683584,0
https://x.com/law_martian/status/1615448676532621312,Tue Jan 17 20:39:12 +0000 2023,@seanoconnz Finally got around to seeing Cruising on HBO Max and I have to say it was a mess. Still love Friedkin. 'To Live &amp; Die in LA' and 'Bug' are very underrated.,0,1,1,1615448676532621312,0
https://x.com/coralaibusiness/status/1760377275093328209,Wed Feb 21 18:53:43 +0000 2024,"""PDF GPT is one of the best new AI tools I've used for research.""

Just upload a PDF file, ask a question, and get an answer in seconds. 

It's like ChatGPT, but built for research.

Try it for free.",36,166,0,1760377275093328209,0
https://x.com/Bearded_Buc/status/1616848128434655232,Sat Jan 21 17:20:08 +0000 2023,@wendeeluvz LOL. I'm watching Bugs with the Black Knight on HBO right freakin' now.,0,1,1,1616848128434655232,0
https://x.com/daniellucasar/status/1614815006071328768,Mon Jan 16 02:41:13 +0000 2023,"HBO Max cheio de bug, que agonia! Só queria assistir The Last Of Us em paz. Maior tempão esperando 🤡",0,1,0,1614815006071328768,0
https://x.com/adiamas/status/1617666257343647745,Mon Jan 23 23:31:05 +0000 2023,"My only nitpick with @HBO #TheLastOfUsHBO is that the infection is from bites and airborne spores.

Substituting the ""step on a fungus wake the infected"" doesnt feel right.

I get gas masks on people is a filming issue, but it bugs me seeing them walk through massively infested",0,0,0,1617666257343647745,0
https://x.com/jmnept/status/1614806330706989056,Mon Jan 16 02:06:45 +0000 2023,bem na hora da estreia de #TheLastOfUs o aplicativo hbo da bug e não abre...,0,0,0,1614806330706989056,0
https://x.com/MScDigital/status/1679507092418306048,Thu Jul 13 15:04:29 +0000 2023,"Dive into the #Metaverse with our new MSc in Metaverse program at the University of Nicosia! Choose from two thematic paths: Metaverse Management or Metaverse Development.

Apply Today! #UNIC #MScMetaverse",111,1503,151,1679507092418306048,0
https://x.com/FilmMusicSite/status/1612489891606151169,Mon Jan 09 16:42:03 +0000 2023,WaterTower Music presents the soundtrack for the Cartoon Network &amp; HBO Max series Bugs Bunny Builders. The album the songs from the first season written by Matthew Janszen.  https://t.co/KrFAizc3Eb https://t.co/dEo8O3V37C,0,0,0,1612489891606151169,0
https://x.com/LordSMAF/status/1610040539843366912,Mon Jan 02 22:29:12 +0000 2023,Think it's really cool of Zaslav to kick of Year of the Rabbit by removing all the Bugs Bunny cartoons from HBO Max,0,0,1,1610040539843366912,0
https://x.com/WakkoKing/status/1616842711897710593,Sat Jan 21 16:58:36 +0000 2023,"Jan 21- Coyote vs. Acme is rumored to have a 2024 theatrical release

The Bugs Bunny Builders Lunar New Year short is now available on HBO Max as part of a new Bugs Bunny Builders collection called Hard Hat Time

the Lunar New Year short is the only short in the collection https://t.co/GVTHKcMG8w",1,5,1,1616842711897710593,0
