link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/helaenus/status/1714000651674427864,Mon Oct 16 19:29:34 +0000 2023,someone make a connection between hotd helaena collecting insects and got sansa having so many insect shaped jewelry pieces. i truly believe that some hbo employee must be obsessed with bugs,0,6,2,1714000651674427864,0
https://x.com/fariasog_/status/1719390974965621131,Tue Oct 31 16:28:47 +0000 2023,hbo max tem uns bug mt chato,0,0,1,1719390974965621131,0
https://x.com/Kipotekcom/status/1752633386064060800,Wed Jan 31 10:02:16 +0000 2024,"Discover the Hottest Trend in Eyebrow Makeup! 🌟 I couldn't resist trying out this eyebrow pen that's been making waves on social media! Achieve natural-looking brows effortlessly, saving you both time and money.
🛒Get Yours👉 https://t.co/ni05gFK1yI https://t.co/gPaHLzGsME",52,805,0,1752633386064060800,0
https://x.com/WillowBumpSky/status/1708486801499828520,Sun Oct 01 14:19:30 +0000 2023,"Hd Mission I Made

(Number 1) HBO MAX Prints
(Number 2) VHS Cartoon Network Screen Bug Text https://t.co/ZY3b4BbCgA",0,0,0,1708486801499828520,0
https://x.com/AitaiKuji/status/1682394749175750658,Fri Jul 21 14:19:00 +0000 2023,Heaven's Official Blessing merch is available!,196,3655,19,1682394749175750658,0
https://x.com/pra_ler_AUs/status/1714863953367507032,Thu Oct 19 04:40:01 +0000 2023,"Meu irmão fez isso com a HBO.... Eu querendo mexer em uns bagulhos e toda vez q clicava abria uma tela, achei que era bug, desinstalei e instalei o app no Cell e na tv e o bug continuou. Minha cunhada veio em casa falei pra ela por filme ela disse a usaria a tela do meu irmão eu: https://t.co/vXY2JfE86x",1,1,1,1714863953367507032,0
https://x.com/giselledoaespa_/status/1711406112493244423,Mon Oct 09 15:39:48 +0000 2023,"qnd eu fui ver the batman na hbo, n sei se foi bug do app ou do meu cel, mas a cena do charada vendo o prefeito tava mt acelerada. 5 frames por segundo real. ai eu bem 'matt reeves pai do cinema'

ai dps percebi q era bug e q a cena era normal 🤡
https://t.co/Lm9mKIQBMc",0,0,1,1711406112493244423,0
https://x.com/BrainScramblie/status/1708986668701589602,Mon Oct 02 23:25:47 +0000 2023,"@politestmenace i am suffering for my passion alright...come on uk crew we gotta help each other..its like being a kid on christmas eve only to discover christmas day is on hold as everyones sick with a gut bug or flu!!
uk fans are kermit...usa hbo is fonzie.. https://t.co/8TzNLuP6O4",0,1,1,1708986668701589602,0
https://x.com/HyrienInc/status/1724095175872430550,Mon Nov 13 16:01:36 +0000 2023,"We are releasing the Balkan Extension. ⛪️
For all services, a total of 10 new regions are available, including Serbia, Croatia, Bosnia and Herzegovina and Albania.

Learn more:
https://t.co/8eXDQOaeto https://t.co/x8DcsTCa0S",29,341,20,1724095175872430550,0
https://x.com/hassanimation/status/1708384163240514030,Sun Oct 01 07:31:39 +0000 2023,"SI EXISTE EL DOBLAJE DE TODA LA SERIE DE FIONNA Y CAKE, NO PUDE GRABAR PERO EN EL CAP 10 EN DONDE ESTAN SIMÓN Y BETTY ME DIO BUG HBO Y ME PUSO EL DOBLAJE PORTUGUES Y DESPUÉS EL LATINO CON LA VOZ DE OSCAR FLORES, SI EXISTEEE EL DOBLAJEEEE",1,19,2,1708384163240514030,0
https://x.com/macaxeirageral/status/1711795852019216561,Tue Oct 10 17:28:29 +0000 2023,"fui ver Rebels hoje durante o café mas a disney tava com bug. Entrei na HBO e apareceu o Anthony Mackie numa série chamada Twisted Metal, adaptação de um jogo. Gosto do ator, fui ver o 1º episódio. Tiro, porrada, bomba, pós-apocalipse, diversão pura. Gostei. #twistedmetal",0,2,0,1711795852019216561,0
https://x.com/sam_loves_fics/status/1710704878337556667,Sat Oct 07 17:13:21 +0000 2023,@veepthroat no bc my hbo opened ofmd in spanish dub this morning and i was so confused ?? maybe it’s a system bug ?,0,1,1,1710704878337556667,0
https://x.com/LIFESEGURIDADIA/status/1709057332074975674,Tue Oct 03 04:06:35 +0000 2023,"Estatus de hoy
Hbo max se dio un tremenda bug y apareció fnaf la película antes de su estreno oficial de cines altabrisa cinepolix a sacado una película de fnaf sin la autorización de UniversalMX y del creador de fnaf eso dijo un trabajo se cinepolis",0,0,1,1709057332074975674,0
https://x.com/cheriepaulla/status/1712119752842260875,Wed Oct 11 14:55:33 +0000 2023,detesto o fato de q o app do hbo no pc é uma merda e vive dando bug,0,0,0,1712119752842260875,0
https://x.com/MexicanTVDude/status/1712953529315516659,Fri Oct 13 22:08:41 +0000 2023,"@StreamOnMax @HBO  Please please please fix your latest bug. Every time I navigate away from the app while streaming, my shows and movies restart. It’s been happening since the latest update. 😭 Halloween depends on it 😭🎃😂",0,1,1,1712953529315516659,0
https://x.com/DUstimenko/status/1710260699568513153,Fri Oct 06 11:48:20 +0000 2023,"Apple patches nasty security bugs, HBO Max suddenly removes content, and a16z backs Neumann’s next thing https://t.co/B0ViIJySep",0,0,0,1710260699568513153,0
https://x.com/ana_knn/status/1708921825256681679,Mon Oct 02 19:08:08 +0000 2023,"@juridicocejota TAMBÉM ACHEI. Espero que seja um bug da HBO, pq eles estão com um banner da coleção de filmes",0,1,0,1708921825256681679,0
https://x.com/debinhahscr/status/1713005256752144760,Sat Oct 14 01:34:13 +0000 2023,"simplesmente as amizades q mais me trouxeram retorno foi as do ff, só trambiqueiro de discord, comprei meu iphone 11 na epoca por 5 mil pouco so com dinheiro de bug de aplicativo e hj eu pago um total de 13 reais em netflix, hbo, star+, spotify kkkk como eles fazem isso? eu n sei",0,3,1,1713005256752144760,0
