link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/sufjanian/status/1699632692026089838,Thu Sep 07 03:56:26 +0000 2023,just finished an interview with a vampire hbo i think there are bugs in my brain https://t.co/2G2oXQh0Ta,10,83,0,1699632692026089838,0
https://x.com/scullygirl96/status/1700680367080943941,Sun Sep 10 01:19:31 +0000 2023,swear to god they’re playing like the 1999 dvd copy of ftf 😭 a trailer of bugs life just played now it’s city of angels. and it’s purple for some reason. um guys literally anyone in this room can u give their hulu hbo login which ever one it’s on #philefest https://t.co/qOUg1nWHtn,1,78,4,1700680367080943941,0
https://x.com/AitaiKuji/status/1655754208136527874,Tue May 09 01:59:00 +0000 2023,Add Genshin Impact apparel to your wardrobe!,99,1674,26,1655754208136527874,0
https://x.com/love_____bug/status/1701989290887061567,Wed Sep 13 16:00:43 +0000 2023,writing a critical media analysis of HBO girls (2012) yeah let’s go white people https://t.co/1WsBl5Vbcb,1,13,0,1701989290887061567,0
https://x.com/ger_service/status/1695743853997740048,Sun Aug 27 10:23:34 +0000 2023,"🇩🇪🚆 With a total of more than 14,000 trainees, @DBKarriere is one of the largest enterprises in Germany to provide initial #vocationaltraining.

👨‍💼👩‍💼 The corporation plans to take on some 25,000 new #employees this year.

#NewsDE 
https://t.co/d6mQll0EUc",219,2937,83,1695743853997740048,0
https://x.com/alysspice/status/1705692594762916125,Sat Sep 23 21:16:19 +0000 2023,I swear this be @bkymartinez when she bugs me for my hbo,0,3,1,1705692594762916125,0
https://x.com/Rubicon1313/status/1698841347413655633,Mon Sep 04 23:31:54 +0000 2023,"If anyone else is “resting” to recover from the latest bug I have a few GREAT shows to recommend 
Hulu: The Accident; 2 Faces of January
MGM: Winter King
AMC: Dark Winds; Black Snow; MANHATTAN *
HBO: 5Days; Killing Eve
Apple:Hijack; Black Bird
Enjoy and add more👇 https://t.co/7KDEi8V3KK",2,26,8,1698841347413655633,0
https://x.com/Crunglemister/status/1703216273864143173,Sun Sep 17 01:16:18 +0000 2023,My sister spoke into the tv remote and said “hbo max” instead of max and a beam of energy came out of it and her head turned into snakes and bugs like Halloween 3,0,5,0,1703216273864143173,0
https://x.com/21Energy_io/status/1738341144466219411,Fri Dec 22 23:30:00 +0000 2023,"Become part of a new era of heating! Plug in, heat sustainably and earn money!",59,963,130,1738341144466219411,0
https://x.com/doctorsfilms/status/1703020981348884862,Sat Sep 16 12:20:17 +0000 2023,"netflix: preço
prime: a interface é meio estranha pra achar as coisas
hbo: tem uns bugs na hora de assistir e tmb tem conteudo faltando e censuram desenhos como hora de aventura
disney: o catalogo é muito fraco e piora com a divisão com o star+",6,78,10,1703020981348884862,0
https://x.com/chyuu__/status/1702028534519046334,Wed Sep 13 18:36:39 +0000 2023,como pode a hbo ter tanto bug bicho,0,1,0,1702028534519046334,0
https://x.com/luizangada/status/1704315879498924333,Wed Sep 20 02:05:44 +0000 2023,vei hbo um dos melhores streamings em conteúdo e tals MAS PQP ô app pra dar bug toda hora essa bosta,0,6,2,1704315879498924333,0
https://x.com/dagomutual/status/1699288712079892764,Wed Sep 06 05:09:34 +0000 2023,@fugojuice and when they announce the ambush bug hbo series...!,0,1,1,1699288712079892764,0
https://x.com/ducnguyen0131/status/1706415115992437234,Mon Sep 25 21:07:21 +0000 2023,"To @CNschedules all the WBD networks are now with the Discovery bugs. But ACME Night on @adultswim will soon air movies carried by HBO or Cinemax, like edited movies to fit a TV-14 rating, such as ""Before I Fall"" and ""Divergent"", making it looking like a new version of Festival. https://t.co/MMI74VqXHo",0,2,0,1706415115992437234,0
https://x.com/RosenblumTed/status/1703658882273337771,Mon Sep 18 06:35:04 +0000 2023,"@NussbaumAbigail @jonrog1 ZASLAV (at shareholder meeting): Welcome the new brand managed HBO!

AI CLONE OF CASEY BLOYS: what if bugs bunny was sad and liked to fuck",2,11,0,1703658882273337771,0
