link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/animetv_jp/status/1667806651498262528,Sun Jun 11 08:11:06 +0000 2023,"【New Trailer】
Zom 100: Bucket List of the Dead
Scheduled for July 9 on Netflix &amp; Hulu! 

(Animation Production: BUG FILMS)

✨More: https://t.co/wSu10RR0lI https://t.co/5kZC55NiVG",2762,17885,167,1667806651498262528,0
https://x.com/Wsstalkback/status/1667861345780236289,Sun Jun 11 11:48:26 +0000 2023,"New Trailer for the Zom 100 anime adaptation! 

It features the opening by Kana-Boon and the ED by Shiyui.

The anime premieres June 9, 2023 and will stream on Netflix and Hulu

Dir: Kazuki Kawagoe
Music: Makoto Miyazaki
Studio: Bug Films

©Haro Aso/Kotaro Kodaka/SHOUGAKUKAN https://t.co/28A8joDKAk",12,42,2,1667861345780236289,0
https://x.com/PirateChests/status/1667852679844904960,Sun Jun 11 11:14:00 +0000 2023,"Zom 100: Bucket List of the Dead
streaming on July 9th via Netflix &amp; Hulu! 

(Animation Production: BUG FILMS)

 https://t.co/0H1ApIZbms",0,10,0,1667852679844904960,0
https://x.com/Ro__Bug/status/1673750140254060544,Tue Jun 27 17:48:24 +0000 2023,"I discovered, 'Shark' on @hulu and you are great @JeriLRyan as usual. I'm on S2 and so glad you had a much bigger part. https://t.co/9N9LJRzqTr",0,9,2,1673750140254060544,0
https://x.com/MattSteen9/status/1668727914228056065,Tue Jun 13 21:11:52 +0000 2023,@DudespostingWs @hulu you tryin to let me fix that bug with your Disney plus bundle that makes me create a new password every time I try to login? Your support told me about the bug in January…,2,676,3,1668727914228056065,0
https://x.com/JotakuNetwork/status/1667931422194106371,Sun Jun 11 16:26:54 +0000 2023,"Zom 100: Bucket List of the Dead second anime trailer revealed, coming July 9 2023 to Netflix and Hulu

Studio: BUG FILMS
Opening: ""Song of the Dead"" by KANA-BOON
Ending: ""Happiness of the Dead"" by Shuyui

https://t.co/7pL3IxthuI",1,3,0,1667931422194106371,0
https://x.com/imanimetaiyo/status/1667852840587624450,Sun Jun 11 11:14:39 +0000 2023,"""Zom 100: Bucket List of the Dead"" - New Key Visual!!

The anime will start streaming on Hulu &amp; Netflix from JULY 9!!

Studio: BUG FILMS

#anime #zom100 https://t.co/xiLN6I0NKA",1,3,0,1667852840587624450,0
https://x.com/angyalmiron/status/1667987220647510016,Sun Jun 11 20:08:37 +0000 2023,"🧟Zom 100: Bucket List of the Dead🧟‍♀️

✅Promo para #Zom100BucketListOfTheDead #Zom100, el 9 de Julio en @NetflixES y @hulu 

✅Producido por BUG FILMS, tenemos su manga por @MangaPaniniEsp 

✅Para futuras noticias, no olvidéis seguirnos en @PAkihabara 👈
https://t.co/8aQiOVMHXf",4,11,0,1667987220647510016,0
https://x.com/thekarmikbob/status/1668343901353295874,Mon Jun 12 19:45:57 +0000 2023,hey @hulu you EVER going to get around to fixing your software state bugs instead of asking us (for the 54th time) to reboot our modems and clear our caches? https://t.co/j70gzirpSC,0,2,1,1668343901353295874,0
https://x.com/SauceAnimes/status/1667985690615853058,Sun Jun 11 20:02:32 +0000 2023,"The Summer Anime Season is heating up! 

As Zom 100: Bucket List of the Dead arrives July 9 on Netflix &amp; Hulu with Animation Production by BUG FILMS https://t.co/302lgV1suB",0,4,0,1667985690615853058,0
https://x.com/itsweebcentral/status/1667837020344037376,Sun Jun 11 10:11:47 +0000 2023,"""Zom 100: Bucket List of the Dead"" - New Key Visual!!

The anime will start streaming on Hulu &amp; Netflix from JULY 9!!

Studio: BUG FILMS https://t.co/8VJPbLKGTW",5,104,4,1667837020344037376,0
https://x.com/otaku_insider/status/1667936323141812225,Sun Jun 11 16:46:22 +0000 2023,"""Zom 100: Bucket List of the Dead"" anime is scheduled for July 9, on Netflix &amp; Hulu! 

Animation by Studio BUG FILMS.
New Trailer released ⬇ https://t.co/sWiO9f2En0",0,0,0,1667936323141812225,0
https://x.com/Wsstalkback/status/1667858923972448256,Sun Jun 11 11:38:49 +0000 2023,"2nd Key visual for the TV anime of Haro Aso and Kotaro Takada’s “Zom 100: Bucket list of the dead”

Streams on Netflix and Hulu in July.

Kazuki Kawagoe (Komi) is directing
Hiroshi Seko (Mob) is handling scripts 
Bug Film is animating.

@VIZMedia releases the manga in English. https://t.co/0dYSuTIIJX",15,51,1,1667858923972448256,0
https://x.com/OliviaKhiel/status/1674255997874098176,Thu Jun 29 03:18:30 +0000 2023,"hey yo @hulu_support why is your app continuing to bug out, I cannot live like this",0,0,1,1674255997874098176,0
https://x.com/MrF3llow3s/status/1670494313707368448,Sun Jun 18 18:10:55 +0000 2023,@hulu_support The bug happens while watching on the IPAD,0,0,1,1670494313707368448,0
https://x.com/manga_figurine/status/1667863837821763584,Sun Jun 11 11:58:21 +0000 2023,"Nouveau trailer pour l'adaptation animée de Zom 100: Bucket List of the Dead. Il présente l'ouverture de Kana-Boon et l'ED de Shiyui. L'anime sera présenté en première le 9 juin 2023 et sera diffusé sur Netflix et Hulu.
Studio: Bug Films
https://t.co/Nr2bfrhxnl",0,0,1,1667863837821763584,0
https://x.com/yung__bread/status/1667531771024375810,Sat Jun 10 13:58:50 +0000 2023,Hulu ads are the fucking worst.  And then when they end the website bugs out so you have to watch more ads again worst platform,0,0,1,1667531771024375810,0
https://x.com/tiv72/status/1673824989122908162,Tue Jun 27 22:45:50 +0000 2023,@Ro__Bug @hulu @JeriLRyan Such a great program. Should have ran for a lot longer than it did. James wood also cool in it 👍,0,1,1,1673824989122908162,0
https://x.com/YUPLAY_COM/status/1758522274393514150,Fri Feb 16 16:02:36 +0000 2024,🎮 Still thinking about that game? 🤔 It's waiting for you at a great price on YUPLAY. Get it now! 👇,3,119,15,1758522274393514150,0
https://x.com/JessicaC_727/status/1673820410486349824,Tue Jun 27 22:27:38 +0000 2023,@Ro__Bug @hulu @JeriLRyan If you haven’t yet watch Body of Proof as well she is awesome in that show as well.,0,1,2,1673820410486349824,0
https://x.com/bigleaf_/status/1668959350063259652,Wed Jun 14 12:31:31 +0000 2023,@MattSteen9 @DudespostingWs @hulu What a weird place to report a bug,0,0,1,1668959350063259652,0
https://x.com/YUPLAY_COM/status/1753435857057652808,Fri Feb 02 15:11:00 +0000 2024,"We provide video game keys at prices that will make your wallet smile. Our keys are 100% legitimate, instantly delivered, and compatible with your favorite gaming platforms. Just visit our website and let the gaming begin.",12,128,34,1753435857057652808,0
https://x.com/Anthonycorrad19/status/1670107046195130369,Sat Jun 17 16:32:03 +0000 2023,"I want to warn anyone who's thinking of using the streaming HULU.
The customer Service is horrible.
For the last week I have been calling them because it shuts off every 10 or 15 minutes and goes back to the home Screen!
I tried everything.
There's still a bug!",0,1,1,1670107046195130369,0
https://x.com/radianblood/status/1668768541510889472,Tue Jun 13 23:53:19 +0000 2023,@hulu_support @MattSteen9 Hey @hulu_support do you have any bug bounty program?,0,1,0,1668768541510889472,0
https://x.com/Memeruptcy/status/1668830579968856064,Wed Jun 14 03:59:50 +0000 2023,@hulu_support @torcheezi Let man cook. He won't even be around long enough for you to pay benefits after he fixes the bug. 😆,0,8,0,1668830579968856064,0
https://x.com/divideby9/status/1668290187397349378,Mon Jun 12 16:12:30 +0000 2023,"@hulu_support after every commercial, sound stops working. This is the hulu app on a firestick 4k. Is this a known bug? Will it be fixed?",0,1,2,1668290187397349378,0
https://x.com/TheQuillBot/status/1703720519814492480,Mon Sep 18 10:40:00 +0000 2023,"Do you want to communicate more clearly at work? Try QuillBot. It's an online writing platform that can instantly make your written communication concise and professional. Plus, you can optimize your tone to ensure you're connecting with your audience. Try QuillBot today.",222,2835,177,1703720519814492480,0
https://x.com/bonobochick/status/1673721273589874688,Tue Jun 27 15:53:42 +0000 2023,"I've watched some of the S10 #LoveIsland eps via Hulu and thoughts so far...

1) I like most of the ladies. Molly kinda bugs, tho.. Ruchee got a raw deal but I get why they chose Ella over her.
2) Ty is a menace, I need Ella to realize that
3) Medhi treats Whitney badly 😐",0,2,1,1673721273589874688,0
https://x.com/JessicaC_727/status/1673848923725742081,Wed Jun 28 00:20:56 +0000 2023,@Ro__Bug @hulu @JeriLRyan I love her in everything she does but 7 of 9 will be my all time favorite. I wasn’t even old enough to watch that when it first came on my love of Voyager came from reruns and then her on Picard amazing I am crossing my fingers for a spin off.,0,1,0,1673848923725742081,0
https://x.com/pissant71_brady/status/1673590646693826562,Tue Jun 27 07:14:38 +0000 2023,@enews Bug she will tell the world on Hulu &amp; thd press!!,0,0,0,1673590646693826562,0
https://x.com/carmattmom/status/1669772433501421573,Fri Jun 16 18:22:25 +0000 2023,@hulu @hulu_support Recently reset pw and now having issues again logging in on FireTv device. Is there a bug in the system? Logged in on my phone and other FireTv still.,0,0,1,1669772433501421573,0
https://x.com/japorpage/status/1143085587005620226,Mon Jun 24 09:16:56 +0000 2019,"We sayeth win this one for us.

https://t.co/2cqavl2HbV",211,2602,217,1143085587005620226,0
