link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/imbeauty_bug/status/1702725817640312968,Fri Sep 15 16:47:24 +0000 2023,Need netflix screen..😪🥺🥺,0,13,1,1702725817640312968,0
https://x.com/DartagnanDBD/status/1699097111063670873,Tue Sep 05 16:28:13 +0000 2023,NO NO NO NO PLEASE DONT PLAY WITH ME LIKE THIS @DeadbyDaylight @netflix PLEASE DONT BE A BUG IM PHYSICALLY SHAKKING https://t.co/DjNmDcfDod,1,19,0,1699097111063670873,0
https://x.com/maclogicrepair/status/1760643634888630698,Thu Feb 22 12:32:08 +0000 2024,They did it!,110,1577,0,1760643634888630698,0
https://x.com/MrTickleTrunk/status/1698755928206561303,Mon Sep 04 17:52:29 +0000 2023,"I WAS WRONG about One Piece on Netflix! The marketting made it look like generic trash to me but I gave the 1st episode a chance.

THE SHOW'S DECENT. A lot of Anime angles though that bug me personally but it's not Intersectional garbage, the special effects work very well, etc. https://t.co/XtkcvEfCPZ",2,16,4,1698755928206561303,0
https://x.com/_CozyRose_/status/1703673255792718230,Mon Sep 18 07:32:11 +0000 2023,Do you ever randomly crave carrots and now you're sat on the couch watching Netflix looking like Bugs Bunny? https://t.co/n4h1EGHjxJ,0,3,0,1703673255792718230,0
https://x.com/itsjroc69/status/1702004818108092767,Wed Sep 13 17:02:25 +0000 2023,Caught the Netflix household bug 😩 gonna put a sign up sheet for a shared account by the apartment mailboxes to unionize with the neighbors,0,2,0,1702004818108092767,0
https://x.com/princesaa150/status/1700508557806837809,Sat Sep 09 13:56:48 +0000 2023,My grandma doesn’t know about Wi-Fi or Netflix or any of that she’s very simple. Sis got my kids in here watching bugs bunny lol,0,2,1,1700508557806837809,0
https://x.com/AitaiKuji/status/1698152832954994693,Sun Sep 03 01:56:00 +0000 2023,Level up your collection with new Honkai: Star Rail Goods!,127,2545,15,1698152832954994693,0
https://x.com/MAflight828/status/1702115695293542900,Thu Sep 14 00:23:00 +0000 2023,"Jared hasn't checked in, which Michaela knows is out of character for him.
They can listen in with the bug.
#Manifest #ManifestSpinOff @netflix https://t.co/66q85QSWDm",1,3,0,1702115695293542900,0
https://x.com/QuekaSketch69/status/1707775767818416341,Fri Sep 29 15:14:06 +0000 2023,"Hiii main I have a stomach bug and it's making me dizzy as hell ontop of other stuff sooooo gimmie netflix recs to watch!!! 

(I can't look at my phone much it's making meeeeee so dizzy)",0,5,4,1707775767818416341,0
https://x.com/jackmoses0/status/1703742502434431230,Mon Sep 18 12:07:21 +0000 2023,"The most significant contributor to any personal growth I’ve had over the past 12 months:

Going from binging:

• Netflix
• Video games
• NFL highlights 

To:

• Books
• Courses
• Podcasts

My obsessive personality isn't a bug.

It's a feature, if directed in the right way.",0,35,13,1703742502434431230,0
https://x.com/jeetamar496/status/1703160787442041169,Sat Sep 16 21:35:49 +0000 2023,"Day 72 of 100 days code                        
1.was working  on the netflix clone , connecting backend with frontend apis
complete day went on solving the bugs ,sticking on the problem for hours .

Never felt this frustrated and exhausted.

#react #javascript #100DaysOfCode",0,8,0,1703160787442041169,0
https://x.com/srpitee/status/1707218469253529667,Thu Sep 28 02:19:36 +0000 2023,i moght have to bug netflix,0,0,0,1707218469253529667,0
https://x.com/itskarthik89/status/1701706357026766937,Tue Sep 12 21:16:26 +0000 2023,"Serious bug in nothing phone 1 , Netflix is not opening continuously for 1 months. , please suggest any solution as soon as possible 🙏 https://t.co/4ns77iv2bT",0,1,0,1701706357026766937,0
https://x.com/winfintryesq/status/1698963384157286844,Tue Sep 05 07:36:50 +0000 2023,an maybe a short an bug netflix so good luck pig,0,0,0,1698963384157286844,0
https://x.com/TasiaKurosaki/status/1699801733894176910,Thu Sep 07 15:08:08 +0000 2023,stupid netflix. seems there’s a bug again. i cant watch my animes!,0,0,0,1699801733894176910,0
https://x.com/erik_less/status/1703196453718425647,Sat Sep 16 23:57:33 +0000 2023,Netflix doesn't let me take screenshots but one of the chimera ants in the background of episode 79 of Hunter x Hunter around 6:05 is fully wearing a crucifix. Christian bug,0,2,1,1703196453718425647,0
https://x.com/gadgets24_now/status/1698321109278695851,Sun Sep 03 13:04:40 +0000 2023,"Samsung is gearing up to release One UI 6, based on Android 14, with several exciting changes. In the One UI 6 Beta 2, users can expect bug fixes, including issues with the default launcher app crashing, problems with Netflix playback and loading, and shortcuts not working in the… https://t.co/Oh0Hkr0bQX",0,3,0,1698321109278695851,0
https://x.com/the_crypto_pro/status/1699906999498969394,Thu Sep 07 22:06:26 +0000 2023,"In bed all day with the bug. 
Suggests for a Netflix binge? 🙂",0,0,0,1699906999498969394,0
https://x.com/AlexisRaeana/status/1705007010943586731,Thu Sep 21 23:52:03 +0000 2023,Wipe out is on Netflix 😭🤣 me and the fam used to BUG OUT at this show during dinner,0,1,0,1705007010943586731,0
https://x.com/rahul__and/status/1698855967188807822,Tue Sep 05 00:30:00 +0000 2023,"hi @netflix 
loved the live rendition of ONE PIECE.
the way it holds us between comic &amp; real, is a chef’s kiss.

to the team 🥂

P.s.
a minor bug noticed in episode one/
zorro's sword sheath is seen bending like an air-filled balloon. I am not sure about the intention. https://t.co/Qmj4pTPitp",0,4,2,1698855967188807822,0
https://x.com/somgoku54/status/1699633307619852703,Thu Sep 07 03:58:52 +0000 2023,@Revivalsette @AxelProbably @magical_mariah @DanteFarta @Beo_Yamcha @AngryCrazyGYATT @OhioPiece @AKAMrPrince @krilingisback @gmmygalag @Spagie_2 @FriendlyGoten @mergos_ @Monkey_D_Freaky @bluefolf @GonajoongleReal @nakedsupermario @furvillainy @ThomasJefferson @netflix @McVirgins @virgina @california hi bug,0,1,1,1699633307619852703,0
https://x.com/drafthorseai/status/1757113684181012831,Mon Feb 12 18:45:22 +0000 2024,Write and publish hundreds of SEO optimized articles in minutes. Sign up free.,162,1750,0,1757113684181012831,0
https://x.com/Loudwindow/status/1707379363308773579,Thu Sep 28 12:58:56 +0000 2023,I adore netflix Castlevania's art style but sometimes it's distracting to see people drawn with normal human features standing right next to bug eyed 1mm nosed anime characters 😭😭😭,2,81,1,1707379363308773579,0
https://x.com/TRKCarpenter/status/1700285673079525435,Fri Sep 08 23:11:08 +0000 2023,"There's a throwaway joke in the Steve Martin and Martin Short special on Netflix where they swear on someone's grave and Martin Short goes ""she's not dead, BUT IT'S NOT LOOKING GOOD!"" and his eyes bug out and it's one of the funniest things I've ever seen.",0,3,0,1700285673079525435,0
https://x.com/lillili_li/status/1701399568607252790,Tue Sep 12 00:57:22 +0000 2023,@ysgpoppa @AkashxMamaBloom @HoodHealer Check out big bug on Netflix... that'll be the evolution of what will happen.,0,3,1,1701399568607252790,0
https://x.com/plskiaa/status/1699672832383275336,Thu Sep 07 06:35:56 +0000 2023,@lamsoou3 9h01 ton netflix il bug,0,0,0,1699672832383275336,0
https://x.com/Feralroku/status/1700278566204719545,Fri Sep 08 22:42:54 +0000 2023,"Okay, but this is something that should've been available on Default. I was wondering why it didn't show on my end, and I thought it was a bug on Netflix's part.",0,2,0,1700278566204719545,0
https://x.com/imRSaha/status/1699502270029914460,Wed Sep 06 19:18:11 +0000 2023,"@Android @androidcentral @AndroidDev @sundarpichai @OnePlus_IN 

Someone pls fix the ""search apps"" bug.

1st image - I have Netflix, still showing ""No result found"" &amp; showing playstore suggestions

2nd Image - I have JioCinema, MyJio, JioSaavn but still no result found

Why? https://t.co/5qhNmtz1Ft",0,0,1,1699502270029914460,0
https://x.com/FaidAriff/status/1705238184823791962,Fri Sep 22 15:10:39 +0000 2023,"Aww man.. watching anime on Netflix sucks! The English subtitles suck! But.. crunchyroll app has a lot of bug, and a lot of people are recommending against downloading it. So stuck with Netflix. Unless... pirate the shit out of One Piece series online. Ah, So fitting!",0,0,1,1705238184823791962,0
https://x.com/Kristen96300731/status/1706567785277497630,Tue Sep 26 07:14:01 +0000 2023,Do you remember when you joined X? I do! #MyXAnniversary  miraclous kristen brown bugnoire ladynoire  Ladybug  daughter  I love  watching  Netflix  movies  and Ropure  movie app  and meow  I love  my mother  ladynoire and bugnoire  and ladybug  and my  dad  catnoir  Mr bug https://t.co/5xTYbamQdj,0,0,0,1706567785277497630,0
https://x.com/Past_Factory/status/1760797514289369313,Thu Feb 22 22:43:36 +0000 2024,I only got 4 right ? I can't believe how hard these are.,1,3,0,1760797514289369313,0
https://x.com/drawolak/status/1703839489872072805,Mon Sep 18 18:32:44 +0000 2023,I don’t know if this is a Netflix bug or a Facebook translation bug but “may nagmamasko” does NOT mean “someone is masking”. It means “someone is celebrating Christmas.” 🤦🏻‍♀️🇵🇭 https://t.co/xeAtTkSF4O,0,0,0,1703839489872072805,0
https://x.com/1899Promethean/status/1703430151114231941,Sun Sep 17 15:26:10 +0000 2023,"@djtv555 @netflix @NetflixDE You've caught the bug, I see...
#SaveTheOA #Save1899",0,4,1,1703430151114231941,0
https://x.com/AManNamedAArJay/status/1700266383769260300,Fri Sep 08 21:54:29 +0000 2023,Im fine with Netflix Piece but this shit (And Lucky Roux) bug the fuck out of me. When they announced the casting I said they were gonna race-swap Nami - the redhead. They couldn't get away with it so they got her sister instead. Nojiko looks fucking ridiculous. Terrible casting,0,0,0,1700266383769260300,0
https://x.com/cosm0kramer/status/1699252050419417161,Wed Sep 06 02:43:54 +0000 2023,I’m watching this show and there are clicks in some of the background music and I keep thinking there is a BUG in my house. Please Netflix I beg of you don’t use that music anymore 😂 #TheUltimatum,0,0,0,1699252050419417161,0
https://x.com/GETinto4y/status/1705994935500001599,Sun Sep 24 17:17:43 +0000 2023,"Catarinasworld-Download Free Your Desired App: Netflix Bug Busters: Troubleshooting Tips for Fixi... https://t.co/8YXLf761Gl 
#Netflix",0,0,0,1705994935500001599,0
https://x.com/cj_ohio/status/1699824585300918500,Thu Sep 07 16:38:57 +0000 2023,@MattWalshBlog It's the smug glee that lady takes in reveling in the fact she has nothing other than Netflix in her life that bugs me most about her..,0,4,6,1699824585300918500,0
https://x.com/StephNass/status/1703763497694228843,Mon Sep 18 13:30:46 +0000 2023,"Seems like Netflix keeps reactivating my account every time after I cancel my membership. 

Probably a bug, but super weird. Am I the only one? 

@Netflix, can you look into this? https://t.co/Nzh6x9G388",0,2,2,1703763497694228843,0
https://x.com/descole_4214/status/1704574480171864069,Wed Sep 20 19:13:20 +0000 2023,@Playstationsup there is a bug which gliches out the media hub and the ps store. The netflix message appears and https://t.co/cJM3c9dUbC,0,1,1,1704574480171864069,0
https://x.com/boredtodeath23/status/1701364609364475996,Mon Sep 11 22:38:27 +0000 2023,@BananaGunBot Can you Netflix the bug ?,0,0,0,1701364609364475996,0
https://x.com/kevincinar/status/1703234307706233333,Sun Sep 17 02:27:58 +0000 2023,@netflix fix this bug already! Tired of dealing with this issue. No im not traveling and no I didn’t change my tv or internet service https://t.co/2Syt5P33xR,0,1,0,1703234307706233333,0
https://x.com/aboulman_/status/1697669429935419504,Fri Sep 01 17:55:07 +0000 2023,@k__karamela Bug d netflix w sf,0,0,0,1697669429935419504,0
https://x.com/makalarch/status/1698430153376841860,Sun Sep 03 20:17:58 +0000 2023,"@cwdarney Honestly I kinda liked the bug netflix used in swamp kings, like just the text, obviously it needs more information",0,0,0,1698430153376841860,0
https://x.com/club_axolotl/status/1707433798764535873,Thu Sep 28 16:35:14 +0000 2023,@DemonSlayerUSA @hulu @netflix Is there a bug? Cuz  I don’t have it,0,9,6,1707433798764535873,0
https://x.com/DjBamaSouth/status/1706454988438884737,Mon Sep 25 23:45:48 +0000 2023,@netflix #HumanResource @nickkroll make @KekePalmer back a love bug and make Maury and Connie have a lil girl 🤣 https://t.co/GCoYFcRdzn,0,0,0,1706454988438884737,0
https://x.com/kaziaanis/status/1703737785314849180,Mon Sep 18 11:48:36 +0000 2023,"@tarunvats33 Yeah, I thought it was a Netflix bug !",0,0,0,1703737785314849180,0
https://x.com/NassauMaggie/status/1705219871829524632,Fri Sep 22 13:57:53 +0000 2023,"@AlanWelsh101 @GuruAnaerobic @thecoastguy Yes it does,but the Compliant will just be happy in their 15 minute cities,ordering Bug burgers and watching Netflix,you will be Happy and own Nothing.",0,3,0,1705219871829524632,0
https://x.com/safeinternetday/status/1757000079091651022,Mon Feb 12 11:13:56 +0000 2024,"On #SaferInternetDay, the #AdWiseOnline campaign, a new initiative under Better Internet for Kids! 
Learn how the new campaign is creating awareness to safeguard young consumers. Stay tuned❗",19,866,46,1757000079091651022,0
https://x.com/votejoemchugh2/status/1701722417251438957,Tue Sep 12 22:20:15 +0000 2023,"If they can upload consciousness, then the Netflix show The 100 (last season) becomes possible.

Don't swat that bug. You never know who it might be.

#Love #Liberty #Justice",0,0,1,1701722417251438957,0
https://x.com/MyFateMyDestiny/status/1708264643263660250,Sat Sep 30 23:36:43 +0000 2023,🤨👽🤔 Just watched the first episode of a new show on Netflix - Encounter — The one interesting 🤨 thing that was in it was a Man hunting with a scope on his rifle and looking through saw what was inside of the ufo 🛸 something that looked like a bug 😳,0,4,1,1708264643263660250,0
https://x.com/QueAbogados/status/1698900031288307877,Tue Sep 05 03:25:06 +0000 2023,@netflix The bug is not being able to rewind whatever I am watching as much as I want.,0,0,0,1698900031288307877,0
https://x.com/rationalaussie/status/1700679811021295759,Sun Sep 10 01:17:18 +0000 2023,Dance! Eat ze bugs and be happy with your dog box apartment and $3k to spend on KFC whilst you watch Netflix and commute 2 hours to the city for your job.,1,16,2,1700679811021295759,0
