reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
aa76c170-7888-4b2c-85e2-6a7f9d3fc2bd,LJ Downs (LJ),https://play-lh.googleusercontent.com/a-/ALV-UjXIYbZclj_tB8QzVKLKCs7ortR8MbdfzYnYR-SeU-EPf8Y,"Netflix is the first app I bought. Movies,series, TV shows, yes, still more to choose from. Netflix was also first to ask if I liked what I had seen on the network. I had Netflix, and paid for it, 1 yr, before I figured out how to watch it on my tv, and how to get help to find out.I could always get it on my phone and tablet.I love Netflix. You can always find something to watch, and if you are in bind, the network also has suggested programming, using past watching.",5,203,8.101.2 build 9 50610,2024-02-08 04:39:06,,,8.101.2 build 9 50610
39cffbce-dd55-4cc7-820e-d582603e2ced,Greg Downer,https://play-lh.googleusercontent.com/a-/ALV-UjV-E-Hzfnikvoo1MM9rp2C_7NV-_WKJioKXD96kTt2oF-Kz,"So many years this was the place to go, great content and priced appropriately. Now, they, decided to add advertisements during streams, on a service we already pay for ad free content, hence the reason for a subscription payment. I have and can view the same content on a regular cable service that already has advertisements. ads and pop-ups before, fine, I get it, revenue is for the investors, but during? Really? Well, investors are seeing the share price drop consistently!!! VERY BAD CHOICE",1,103,8.101.2 build 9 50610,2024-02-08 23:45:48,,,8.101.2 build 9 50610
03ca5125-963f-4007-8afa-ecc44b55b344,Meagan Merritt,https://play-lh.googleusercontent.com/a/ACg8ocK_JB4tLpyAkjCDVTKDuYfwgrJ3gVXoUBeWmHRap0rb=mo,"This app needs some serious work. On my Roku TV and my phone, the audio is low. If I exit out of the app for even 5 seconds, it will reset my show. It doesn't even save the episode I'm on, let alone the part of the show I was on. This happens on the TV and the phone as well. The other random issue that just started happening a day ago is that the closed captioning keeps turning itself on no matter how many times I turn it off.",2,263,8.101.1 build 7 50601,2024-02-01 23:54:31,,,8.101.1 build 7 50601
5967c21a-3515-4113-a0e4-bcf5d4ce9c34,Ashley Letts,https://play-lh.googleusercontent.com/a-/ALV-UjW7CZyfiUtn3TjDA-Ok2GbB7qHBKyruwt03LxLdC9mifgQ,"I have always used Netflix as my go-to streaming option. This new update IS AWEFUL. Every single time I try to watch a show or movie, THE SUBTITLES ARE AUTOMATICALLY ON. No matter what I do with the settings. It is super annoying. When my profile is opened, it automatically goes to the ""new and hot"" page instead of my home page playing random trailers. And the amount of games that play annoying music while I'm trying to scroll through TV options is getting really old. Please fix it.",2,137,8.101.1 build 7 50601,2024-02-02 15:01:15,,,8.101.1 build 7 50601
3ce3d56f-251b-4a9a-9ff3-6cf2c12365f9,Katiria Lagares,https://play-lh.googleusercontent.com/a/ACg8ocKOa8j9esiF5Ecdr0PR28CmWEAsnQuYfWPd-9UBNfIn=mo,"Recent changes? For the past 2 weeks or so, I've had a greyed bod on the right side of the screen that doesn't go away. It's only visible when streaming on Netflix. I have updated all on my phone and apps, restart the phone, turn it off an back on and still Netflix is displaying this box when watching any. A fix to this would be appreciated. Seeing part of the screen in a dark color is aggravating.",2,677,8.100.0 build 6 50594,2024-01-26 13:26:44,,,8.100.0 build 6 50594
8f4480dd-201b-4795-9366-72817178a8be,DJ Michaliszyn,https://play-lh.googleusercontent.com/a-/ALV-UjWZu6y5n1Ut1FXCOCUK9t__21cjIPOi_bIDuzutqH6ahXY,"Of course, they put out an update and don't double-check their work first. The latest update has somehow defaulted subtitles to be always on. Even when you go to settings and turn them off and apply your preferences, then try to watch something. Netflix removes your preferences & turns the subtitles back on again. The IT department needs to seriously double check their work before releasing an update. Any idiot can work in IT. Apparently not this netflix department. Guess I'll watch Hulu instead",1,67,8.101.1 build 7 50601,2024-02-02 03:32:18,,,8.101.1 build 7 50601
988866cb-9cee-46dd-a87a-6a9eaf572caa,Space Stealth,https://play-lh.googleusercontent.com/a-/ALV-UjVD5odboPEFVo-RLNXfofdPfz01fLk3Qd0PCk9WOL4A9L8,"For the past 10 odd years of using Netflix, I've really liked the movies and shows it has released since then. However, the recent update on my phone allows me to tap and pause the screen as usual, but when I try to tap the pause screen again to make it disappear, it only makes the brightness bar disappear instead. I am really of not in favor of this and would really like it if this was changed soon.",3,649,8.100.0 build 6 50594,2024-01-23 17:40:32,,,8.100.0 build 6 50594
946c0ed7-a734-4451-8968-657fce5eb796,Dustin Plummer,https://play-lh.googleusercontent.com/a/ACg8ocKMbZoHNqX7cjzUKG-M54PYbvgFxy11NW4o_c-o3cQr=mo,"Was having a good experience with this app until a random episode would not stop glitching (video only - audio was great). Not a network issue as episodes before and after work great. Even tried downloading the episode, deleting and reinstalling the app, restarting my phone, but no difference. When I initiated a chat through help, the person was slow to respond and eventually told me to email about my problem to notify Netflix. What is the purpose of waiting for a chat representative?",2,38,8.101.1 build 7 50601,2024-02-03 01:58:48,,,8.101.1 build 7 50601
5655c555-deb0-4733-90c4-755ff0f5c004,Whitney M,https://play-lh.googleusercontent.com/a-/ALV-UjXgTtCnsKI16MW5kIzfGg5q6ThkjUIydrC1_TcntEjDWBxp,"[Update: It finally came back! But now I hear they're eliminating the Basic plan this year? 🤦🏻‍♀️] The Chromecast/Cast button at the top right has disappeared in the recent update. I'm not a fan of the pricing either, but I expected it. However, to not be able to cast now makes it mostly useless. Is anybody else experiencing this? My husband and I have two very different phones, and it doesn't work on either... 🤷🏻‍♀️",4,392,8.100.0 build 6 50594,2024-01-25 05:39:26,,,8.100.0 build 6 50594
670e5a07-b6a4-4461-8663-9227b6a7e0b3,Fefiliana Medina,https://play-lh.googleusercontent.com/a/ACg8ocLonl7sLLXstZC8yOEYA9wFtBkL-RjC1YU3egrmnPDe=mo,"Now you can't watch Netflix on your phone if your are not connected in the family house network? Isn't the idea of having Netflix installed in your cellphone to be able to watch it on the go? The limitations that Netflix is applying are getting out of control. On top of that, now they have games and they show it at the top and middle of the page. They were the big thing after blockbusters, if they don't fix this (plus shows being constantly cancelled) they will meet the same fate.",1,64,8.101.1 build 7 50601,2024-02-01 21:13:55,,,8.101.1 build 7 50601
74aa5971-9de3-4f2f-80c8-cf517bec19de,Bonsai Pepper,https://play-lh.googleusercontent.com/a/ACg8ocI1dUMUzr66CLzm6NjvWxHwBkwpHSnFl2XWw1u4O4i0=mo,"Since Netflix changed their subscription plans for ads, all my devices don't work!!! It says my ""plan does not support streaming on this device."" So I either pay Netflix more money or I have to go buy new devices.. Seriously!!! I will be canceling my service permanently from Netflix until they fix that problem. As I don't see why I have to fork out more money when I'm okay with the current plan I have.",1,41,8.101.1 build 7 50601,2024-02-01 22:02:03,,,8.101.1 build 7 50601
79bdb7bd-7868-45b7-8b83-e9d951c482f1,Kala R,https://play-lh.googleusercontent.com/a-/ALV-UjUgFjtqFpe-dQHRmyOP6VEyOP2kZy3BL8O3bL22taly0AFS,"Subtitles never work. I constantly have to close the app and restart my phone after every episode in order to get the subtitless back. This is crucial to be able to watch the shows, PLEASE fix this. Also the app is lacking features it should have at this point, like the ability to mark which shows/movies you've already watched as well as hide titles you don't even want to see.",1,55,8.101.1 build 7 50601,2024-01-30 15:44:33,,,8.101.1 build 7 50601
04cb7149-63fb-4420-b175-8b83b8240290,T dot Marie,https://play-lh.googleusercontent.com/a-/ALV-UjUnL2S5GDqK-pFPipGWIO1jMUyvylDZPVfZUZ5Hptrmd1o,I'm not sure if it's just my phone or what but I don't like the games feature on Netflix now and I have to constantly turn off the closed caption every single I want to watch a show regardless if I've turned it off the 1st time. The other issue is when it opens it takes you to some random page or some notification page instead of the home page. It all annoys me and I want to go back to just opening the app to the home page and continuing where I left off.,2,193,8.101.1 build 7 50601,2024-01-31 00:57:38,,,8.101.1 build 7 50601
08f18c30-ee2b-4c2a-9b29-ec0602e71dda,anthony rainbird,https://play-lh.googleusercontent.com/a/ACg8ocKUsb6L5qFR6srtCjA7DcaP7ORMQkc743HidkLXFS3f=mo,No problems streaming on my phone. No problems casting. No problems on my outdated Chromebook. Big problem streaming from my tv! And it's the latest with built in Netflix and yet it constantly crashes. For all the money they charge it should run like a dream. And no no other devices stream at the same time I'm watching so that's not the problem either. And yes I have great internet service. So. Get it together Netflix.,2,253,8.101.1 build 7 50601,2024-01-31 01:41:21,,,8.101.1 build 7 50601
