date,review,rating,isEdited,title,userName
2023-08-18 22:22:17,"I love Disney+. It has everything you could want but I wish they had more stuff that was Netflix on Disney+ like Bunk’d and a lot of stuff I like to watch high school musical all of them the series every day that is one of the best things I have a like to watch series that’s my favorite like big city greens and cartoons. They’re funny and I like live action like ravens home but that’s a raven is better and I wish they had Annie she’s my favorite and that’s my favorite movie like ever they used to have it but they took it off and I was really sad so they should add it back and it is always kicking me out every day but I solve it by took five months to solve it and they should have more Netflix because Netflix is for 12+ and most people are under 12 like me pretty sure it is for 12 and plus because when I got it and most people like Disney+ less than they like Netflix because Netflix is more fun and they have more fun stuff. That’s why I’m giving this a two star because it’s not that but I love Disney watch and two look at all the new and interesting characters that they have or the old ones like Hannah Montana, Casey, and the cover, Jessie high school, musical and love the stuff live in Maddie like this piece this is me love Netflix JK love Disney+.😄❤️😍",4,False,Fun but not too fun,ftggggggggbf dgg grddrvgh
2023-07-06 10:22:33,"Hello Disney+ I am here to complain about the ad I saw on my phone let me explain,I was on my phone showing a movie to my kids who are 2 and 6 and a PORN AD came up🤬.  I have never had a problem with this app which is why I got it for my children and even I enjoyed watching movies on it until now that you added ads ,I find this very unprofessional and extremely disturbing I had to tell my children that they were just *wrestling* 🤦‍♀️ they’re to young to see this type of disgusting behavior on an app that should be child friendly also I would like this” ad thing “removed I don’t find it safe and I don’t find this app safe for my children to watch and why even add any ads that makes no sense and nobody asked for it and if you never added the ads my children would have never seen this disgusting porn on my phone and to be clear YES we were on disney+  and we were not on any other app we were just trying to watch Encanto and this ad pop up so please just remove the ads ,there obviously 🙄 inappropriate for children to even see and let alone watch and I don’t even wanna explain the horror on my children face when we saw two guys going down on each other so please remove the ads on this app, thank you for your time .",3,False,The ads😡,Mariah 2320
2023-03-16 17:11:18,Oh here we go again literally seconds after I write my review about how horribly made this awful app is. I try to watch something disney plus doesn’t load then it logs me out. I restart my system restart the app and I put my email and password in and somehow it’s the wrong password???????? Like where did it go what do you mean wrong password?? I pay for the literal streaming service to make sure it has my password so I can watch the content no??? You’d think this multi billion dollar corporation could muster a few brain cells to learn how to put a password system on there app that doesn’t lose it every few weeks and refuses to acknowledge your account’s existence until it just randomly works one day just because. Oh and don’t worry if you try to put in your password more than once it kicks you out of the sign in screen and won’t let you put in your email and it suggest you press the “forgot password” button even though it literally kicked you out of the screen to press said “forgot password” button. Yeah stellar app great work disney you have billions of dollars at your disposal yet 15 year old kids have made better more functioning implementations of technology in weeks than trillion dollar disney has made in years?! Disney supposedly “updates” Disney plus and “removes errors and bugs”,1,False,Horribly broken,chubstudley
2023-02-08 15:17:28,"The app is great but I would like to be able to watch all of the shows available in other countries like Spider-Man into the Spider-Verse or at least be able to download them when using my vpn and watch them downloaded when it’s off. I would also like to be able to screen record and screen share on mobile. Not whole movies and shows just clips I can send to family and friends. I also think the new  movies from Marvel should be immediately put on Disney Plus. You can have it in theaters, I have no problem with that, but the fact that I have to wait four to six months for a movie to come out on Disney Plus is ridiculous. I don’t like to go out to theaters, especially not with the increase in prices in every aspect of it. The food, drinks, gas for the car, and tickets. Also, if y’all put the movies on Disney Plus, you’d get more profit. A lot of people would definitely want to stay home as well and putting your movies on Disney Plus would make people want to buy the subscription needed to watch it. Obviously the choice is yours not mine so it’s not like I’m forcing you or anything. Keep up the good work.",4,False,Love the app but…,NBAKanto
2023-09-07 06:35:47,"If Disney would just make their parks more affordable and adhere to Walt Disney standards, their profits would increase. This premium specialty channel is great. I’d be remised if I neglected to to comment that they’ve went off the deep end going too far left, yet economically and just as equally, moved too far right. There’s no balance in social standards or consideration for subscribers. Here in NYC, we’ve lost programming with SPECTRUM, due to unscrupulous business wrangling from the Disney Corporation for more financial gain. On a different note, I have to really monitor what the kids watch, so as not to let them be indoctrinated before learning who they are. There are many subliminal as well as open out right political  and social statements which may fit the times for the sake of political correctness. However, I’ve no interests in constantly explaining abnormalities which we as adults very well know, is being advertised and twisted as being normal. Disney + is good, yet they keep missing the correct societal marks that we need in entertainment, concerning our children’s growth and development.",5,False,Great Material,abscindshah
2023-02-27 22:31:23,"This used to be the best streaming service. So many classic Disney movies and shows! MCU! Star Wars!! Then February 14th or 15th all the shows were saturated with ads!!!! I literally watched the first five episodes of Andor with my family February 13th ad-free. We loved it, had a great time. THE VERY NEXT DAY we tried to watch the rest of the season and every single episode had ads about every ten minutes. It ruined the experience for my family. Right there in the middle of the season. And the price stay the same!  No discount, although if it’s ad-supported it should be free like broadcast television. Especially when you realize that 98% of Disney’s catalog was made before the Disney+ streaming service was ever made, so you can’t say they’re trying to recoup production costs. The reason why this is such a bad thing is ads are terrible for children. There is years of research supporting this. I tried to watch Nad Batch with my son and 10% of the entire show was advertising. Do you want your children to have 10% of entertainment they see be advertising?  We immediately cancel out subscription and my wife and I both active encourage our friends to cancel for the same reason.  It’s the only way to get Disney more about subscribers than shareholders. Boycott Disney+",1,False,Why all these ads now?! Cancel and Boycott Disney+,GDD9000
2023-09-23 15:25:10,"I’m not kidding when I say this is the worst app ever movies are fairly good but most aren’t good at all. There’s only like a couple movies that I actually enjoyed on here. Also, the renewal payment will not work. I’ve typed my credit card information in this app over 20 times I’ve logged into my account and log back out over 20 times and I still can’t watch my shows, I don’t know what else they want me to do I tried contacting customer service didn’t work didn’t go through so that’s why I’m mad because how many times do they want me to type all my information in for it to not go through they told me to visit my Roku thing did that signed in tight my credit card information did all that good stuff went back to the app. Still making me type in more stuff, then tried to sign in with a new email and still is making me type in my credit card information over over again I have money on my account I don’t understand why they won’t let me watch. It says my next renewal will be October and October and it’s September so why can I watch movies? Why can I watch my show? Thank you.
That is my honest opinion and I’m going to need you to update an app because I’m tired of resigning in and this is the worst app ever I will not be using ever again",1,False,Worst app ever here is why,ruff fgicsrhcd
2024-01-18 22:02:03,"Ok so I’m writing this for new movies OK so me and my mom were watching Wall-E right so at the end of the movie my mom she thought it would be great or it just be cool if they wrote another movie about this because she said like oh like next to me because see like how things turned out from the first movie, so like how they came back to earth and stuff, we could see how it turned out and if theyall the people got perhaps buffer back to normal. Super cool and this is like for me a personal reveal like you can make another movie ever ratatouille and you can make it. You can make the problem like how about that is a new top reviewer and the everybody I don’t know their names honestly who worked at the restaurant would have to all pitch in, but there was a new person, but there was also this girl that Remy met he’s been meeting her all this time and he didn’t have enough time for the restaurant because he was spending time with her so that he he would he would have to find a way to spend time with her and also get to the reviewer",5,False,New movie ideas,ghfstjedy
2023-09-30 09:03:08,"I am relatively new to Disney+, and I have become unexpectedly very pleased with the Mandalorian series. The production values are of high, cinematic, quality, and , Most of all, the Mandalorian tells stories that have a thread of morality and humanity in each episode. There is too little of this kind of material available today. Storytelling is an art. Too much content today fails to recognize this, preferring instead to rely on Computer generated effects, and truly meaningless action (accompanied by loud intrusive sound effects ). CGI addicts Rely on this, and therefore. They’re happy to settle for two dimensional characters, which differ very little from the background graphics.  The Mandalorian, on the other hand, produces a number of fully realized, three-dimensional characters which are capable of supporting well crafted plotting – even if some of them are generated by computer.

	 I am ready to enjoy the fourth series But storytelling takes time, serious intellect, and the patientce to do good work. I am willing to wait.

	I have spoken.",5,False,Very high quality content.,W. Plinge
2023-05-18 03:31:01,There is a lot things you can watch I one whole day and  there is maverick and Star Wars many other thing and there is the new haunted mansion coming out and than you have stuff that is scary and a lot of you like scary stuff and you will love that movie and I just think that you should watch or download it because you can watch stuff that you want to watch you can make an account for literally every age and if you don’t pay your rent for Disney it will not let you in an those are some good thing because Disney works hard wi make a lot of stuff and that is a really good thing and they do a lot of events and you get to see what they do in Florida and even if you don’t live there they do a livestream and you’ll get to see all of the stuff that happens and if you don’t get see that at the moment they keep the livestream so you still get to see and that is a really fun thing so I really think you should download it and there are shows for every age so thanks for reading   Copyright,5,False,Fun,sneus shsh
