date,review,rating,isEdited,userName,title
2023-07-12 18:18:55,"I love gas digital and everything they do, this app does just need a little work. It constantly kicks me from what I’m watching to main menu. It makes it difficult to navigate other apps while listening to a podcast. And it really should hold your spot when your in the middle of a show have to do something else and come back to hit play only to have it start you from the beginning",3,False,ErrlWaxxington,Love Gas
2023-08-27 03:03:17,"This is definitely better then logging in to the website every time but the user interface is off and every time I’m watching the video version of a podcast the loading wheel is constantly spinning in the middle of the screen. The ui could use improvement finding shows other then los, rap, and part of the problem is a hassle. The only way I’ve found to get rid of the loading wheel is to hit the -10sec button but it’s not reliable and the +30sec button isn’t either. It doesn’t make sense to have those as different denominations either have it as -30 +30 or -10 +10. Another small complaint is that the buttons on the screen are too small if I try to pause or rewind I hit the time bar instead and rewind way too far back or fast forward way too far. Some people pay like $15 a month for this y’all should step it up.",2,False,theguy445,Needs improvement
2023-06-29 14:56:59,"Updated review:
Was able to login, and have had 0 issues with the app.
Newer listener so I’ve seen the issues stated with multiple platforms but in my experience I have had very minimal complication with the app, and the websites they have used this past year. Really enjoy being able to watch back through the years.",5,False,RoRo4200,Love the all
2023-09-01 19:10:24,"If luis’ band of monkeys don’t add a “recently played” feature, or fix the issue where if you close out of the app and reopen it the podcast stops and brings you to the Home Screen, I am literally going to hang myself and write a note blaming the entire gAs team. Also a video quality selector would be sweet. It’s on the website so why in the motherhuck is it not on the app. LUIS. GET THESE ISSUES FIXED",4,False,Prince of destruction,My thoughts
2023-06-19 19:16:59,"Excited to see the network get an app. It’s still in it’s early stages though. When trying to watch multiple shows the video player won’t load, and you’re shown an image of the show logo instead. When the video does work it’s similar to the player that’s on the website.",3,False,ipad gripe,Video playback
2023-06-22 03:58:16,"Needs the capability of playing picture in picture. 
Need to be able to make playlist queue like the Sword & Scale app
Custom speed should be available like Audible or at least 1.2x speed only options are 1.5x or 2x 
Until then this app is worse than just using Safari browser",4,False,Diggy Lifts,Needs more features
2023-07-20 21:46:58,"I love so many Gas Digital podcasts, but their tech is consistently underwhelming.  No Picture in Picture, shows don’t show up on the iPhone player when my phone is locked, the app closes my show if I’m not in the app for more than 5 minutes, and most show archives only go back a couple months.  Why do I even pay a subscription if I can’t access what I’m paying for?",2,False,DHELFH,Not as good as the website
2023-08-01 14:19:07,"They tried to do this app thing before and it was awful, this time it’s not so bad. 

Bold to list it suitable for 12+, I think they should have gone with 5+, so I could watch SDR while talking to Baby James in the live chat. “Santa is real, and he and his kind control the weather James.”",5,False,Boon B,Not Bad
2023-07-06 11:01:43,Needs back feature instead of scrolling to the bottom also needs access to all legion of skanks episodes that’s the reason I subscribed not to just go back to 2022,3,False,Jeremylu154,Good start
2023-06-20 19:33:46,I would love for pip to work. If I need to do something different please let me know. I can still listen in the background but I like working on stuff and watching the little picture in the corner. Thanks!!,5,False,828nater,Great app so far!
2023-09-08 11:16:21,"The app needs a lot of work, especially in terms of contacting any sort of support. The app constantly kicks me off of whatever I’m watching/listening to and the RSS link never works in Apple Podcasts. If Luis would hire a reputable developer instead of constantly taking *insert random woman’s name here* to *insert exotic foreign country here*, the app would be better than any other subscription service.",1,False,BlackLabelBrad,"Love the network, hate the app"
2023-07-28 19:27:02,"I get having bugs, but man you can’t even pause an episode without the app refreshing causing you to go through the entire library, find your episode, find your place in the episode, all to have it happen again. Louis take one month without a vacation and invest in your product.",2,False,Thick Steele,Fix the app Herrington
2023-06-17 23:05:22,"I’ve been listening nonstop since the app came out, all of a sudden I get a disability check every month and I don’t have to work anymore! Thanks gas digital!",5,False,Jason Perry 0903,Wow!
2023-06-29 12:26:46,The app resets anytime I use another app or let my phone go to Lock Screen. There is no Picture in Picture or anyway to prevent this as far as I can tell. The button interface is also too small and it’s really easy to hit the wrong button,2,False,Matt____Carter,Needs a lot of work still
2023-06-22 19:23:55,"If you pause and minimize the app, you have to start the video/audio all over.  There is no memory of which show or where in the show you stopped.  Doesn’t pause or start except  within the app.  Can’t use headphones or other connected device with a pause or start function.",1,False,asdf0409,Unusable
2023-07-26 04:10:02,"5 stars for Legion of skanks!
The app needs a little work.
Need airplay within the app video.
Screen in screen play.
Does not show up in media widget player.
For some reason won’t play Bluetooth with Uconnect. (Bluetooth does work in headphones)
The app also kicks you off an episode if you pick up a phone call or pause for too long.",5,False,wiscofisherman,Needs work
2023-07-14 20:55:06,"Picture in Picture doesn’t work, no option to cast. People have been asking for these things since the launch of the new site and they keep saying it’s coming yet ???",2,False,Cacrabill,Could be a lot better
2023-06-16 15:17:13,Hope this app lasts longer then the last one,5,False,PhillipOliverWholes,Round two
2023-06-20 01:50:40,I’m so happy gas finally has an app!! I highly support the GaS digital world and everything they do! Gomites for life!!,5,False,mAESTRO_222,The app I’ve been waiting for!
2023-06-19 15:18:52,"Been married 10 years now, wife is pregnant with twins and we plan to name them Luis and John regardless of the gender. Gas Digital gave my life real meaning.",5,False,XxIhavegas69420xX,Met my wife on this app
2023-08-01 19:16:18,"Unable to log on
Account is on auto-pay but site and app now say my user doesn’t exist.
Tried resetting password but same issue.",3,False,Suspending Membership,App and site down
2023-09-09 17:26:12,Please implement a way to exit out of the videos. I couldn’t get back to the main menu after the video ended. Drove me nuts!,3,False,Alwizzy,Good Initial Launch
2023-06-16 16:16:17,It’s about time the best comedy network has their own app. Been working great so far.,5,False,D_Scott07,Finally
2023-06-20 16:26:11,I’m just happy they got the app out I don’t really care if it works,5,False,Great valve Thor,About time
2024-01-13 13:18:06,Whether it be the app or the site the video crashes if you leave it paused for too long. Now I’m having issues downloading the mp3 version.,2,False,BBB6697,Video player crashing
2023-06-25 00:53:44,"There needs to be an in app download so that we can save them so if we’re in areas like I am at many times during work, I can listen to the episodes with no cell service.",2,False,Xdgbdddh,In app download
2023-07-18 01:31:20,"Straight garbage. No queue, no recently played, no media controls when phone is locked, doesn’t hold play back spot when stopped and closed. How? How is it possible to be an audio media company and be this bad at playing audio.",1,False,No comment again,Unfathomably bad
2023-06-17 19:53:08,Works great now I can watch all my favorite podcasts on a app super psyched,5,False,hffgua,5 stars
