date,developerResponse,review,rating,isEdited,title,userName
2023-05-09 14:00:17,"{'id': 36466909, 'body': ""Hi there! We're sorry to hear this has been your experience, and we'd like to spend some time looking into this with you. If you're interested in speaking with an advocate directly, please fill out this form: help.hbomax.com/AppReview and include your username where it asks for your Web Handle. Thanks! HBO Max Support \n"", 'modified': '2023-05-11T16:11:29Z'}","Before this new update I was already having issues with the connection and had to constantly change my Wi-Fi on and off manually every 20 minutes or just give up trying to watch anything. The commercials have gotten so excessive and I know you can pay to avoid that but being a single minimum wage worker, it’s not possible and if I’m paying $10 a month (i could be wrong but I’m pretty sure got higher than it was in the past) I’d like to not have a random shaving commercial blasting on my screen every 15 minutes during a movie. Now there’s even an ad when you pause, it’s a little ridiculous. It’s become the equivalent of just getting a cable box and hoping something good is gonna play between the commercials. Even when I try to watch on my PlayStation I have issues with connection or loading errors.

My biggest issue with this new update is that the app won’t play anything at all now. It keeps telling me to download the latest update and I have obviously but it either doesn’t register that I did or the app just isn’t being programmed correctly and I can’t even use the $10/month app now.

The selection of shows and movies are awesome, the constant issues that seem to be consistent no matter how many updates is a waste of my time and money and if the app was put together a little better it might be worth it to keep my subscription.",2,False,App won’t work at all now,Ally__e
2023-04-18 14:37:07,"{'id': 35838660, 'body': 'Hi, thanks for taking the time to leave a review. We want to make sure downloads/using HBO Max offline work great for you. See this article for some common tips and tricks: http://itsh.bo/max-downloads. If you have any additional questions, please get in touch with us at hbom.ax/contact so that we can take a closer look with you. HBO Max Support', 'modified': '2023-04-08T08:32:16Z'}","Several updates later and still completely broken. A developer response of “read the manual” doesn’t fix the technical issues with this app. I’m not exaggerating - read the other reviews - this is hands down the worst streaming app you’ll ever try using. More than a year after release it is still broken and full of bugs that make it awful. I use the app on an iPad to download and watch shows and movies while flying and it almost NEVER works properly: the show episode/movie will fail to play, hang with a black screen, or just repeatedly crash the app. Once it crashes, the app won’t let you do anything until you’re back on internet - great for those long 15 hour transpacific flights with no internet! On those rare times where it plays an episode, the next episode will then fail to play, oh well only 14 hours until we land. Land and turn on internet and the app will loop with various error messages about no internet until you force quit it. Start an episode/ movie and you have 48 hours to finish watching or you have to download it all over again - which you might not be able to do at your destination! Compare this completely broken app with the stellar apps from every other streaming provider and save yourself the HBO subscription fees!",1,True,"The worst streaming app ever, full of bugs and frustrating to use",iPhone user987
2023-01-07 17:47:48,"{'id': 27815186, 'body': 'Good news! You can now use the Pinch-to-Zoom gesture to make shows and movies fill the screen on your iOS device. Download the latest HBO Max update and let us know if you have any questions.', 'modified': '2022-02-02T23:12:13Z'}","As I have said in the past the content is good in this service. But once again the app keeps having annoying problems. On my iPad every time I download movies to watch offline the app doesn’t play the downloaded content because according to the app I have no connection. The whole point of having movies on the Downloaded section is to watch them offline not have to look for a wifi spot to be able to play it. Its ridiculous. The app on the Apple tv is very slow. It used to be faster but now when you open the app not only you have to wait for the logo to go away, you have to wait another loading before choosing the profile you want to use, then when you go to search a movie is another loading time you have to wait. The pop ups in the middle of the menu whenever something new gets released is also a problem. Im paying for the premium “no ads” subscription, I should get an option to remove add pop ups on the menu and completely remove the first movie ad thats about to get released not just get a skip button at the beginning of a movie. Having a skip button doesn’t mean no ads. Thats falls advertisement.",3,True,The app keeps getting annoying problems,Dont waiste my time
2023-02-04 02:45:52,,"If you rely on this app for downloads as I did then it’s not worth $15 a month. This app has constant glitches and bugs. I go out fishing so I rely on downloading shows or movies to watch while I’m gone because I don’t have service. There have been multiple times when I don’t have service that I can’t even access my downloads. When I was able to access them after 5-15 minutes they would not play at all, just a black screen. Another ridiculous feature is you are limited to 30 downloads! Netflix which is cheaper never has these problems and allows unlimited downloads. Another ridiculous and stupid feature, once you start watching a DL it is only available for 24 hrs. After using this app it is clear why Netflix is destroying the competition and have been for years. Who cares how big your catalog is if your app doesn’t function properly. There are times where I have service and still get play back errors to the point I have to close the app and reopen it multiple times. It feels like the app designers for HBmax are my parents, the people that couldn’t turn on a desktop computer when I was a kid! This app is VERY UNRELIABLE and I’m sick of reporting constant issues. I shouldn’t have to explain to app engineers how to build a properly functioning app.",1,False,HBO: How’s it Broken so Often,Austin Son
2023-01-17 17:32:36,"{'id': 34371461, 'body': 'Hi, to learn more about how downloads/offline work on HBO Max and fix common issues, see these tips: http://itsh.bo/max-downloads. An advocate would also be happy to reach out to you directly to help. If interested, fill out this form: help.hbomax.com/AppReview and include your username - Michaerry - where it asks for your Web Handle. Thanks. HBO Max Support', 'modified': '2023-01-19T05:09:59Z'}","HBO Max works great if I am steaming. However I have tried multiple times to download an episode and then watch either in the airplane or in a location where I don’t have cellular/WiFi access. I have found that if I don’t start a downloaded movie while I have WiFi connection, the content either never plays or the app reports there is “no connection” and does not let me even open the downloads tab. This is repeatable if you enter airplane mode (no WiFi), exit out of the HBO max app, wait a few seconds, then attempt to re-open the app from scratch. This behavior is not expected, as other streaming apps always allow you to access downloaded content regardless of internet connection. Please fix, as this behavior is a fundamental flaw of the download feature and renders it useless for the very situation the download tab is meant to be used—when we need to open the app and watch content without a network connection, I expect to at least be able to open and play previously downloaded content in these situations.",2,False,Works with Internet Connection—Downloaded Episodes Don’t Play Without It,Michaerry
2023-03-14 04:27:34,,"***Updated review: I’ve been discouraged lately by the panicky answer for reversing horrendous debt by HBO/Discovery/Warner. I’m not sure removing popular programming (and perhaps sacrificing HBO’s track record of quality) to save dollars on residuals will pay off in the long run. Time will tell. But if more and more subscribers abandon HBO in favor of more solvent providers, they shouldn’t be surprised.*********************************** *Original review: I haven't streamed HBO on anything other than my TV for years now, so I can’t speak to mobile device workability. I remember on my iPad it used to be a 10 for content, and around a 5-6 for app design, interface and performance. That said, the user interface for FireTV is consistently improving IMO, and it seems no clunkier in most ways than other streamers I use. And as to content with MAX and the Warner/Internat’l library - I’ve never been happier with a streaming service in that regard. Room for improvement? Always, but true of all things, non?",4,False,Streams great on TV,Suski33
2023-04-13 18:08:29,"{'id': 35585677, 'body': 'Hi there, thank you for taking the time to leave a review. We want to make sure that using HBO Max is a great experience for you and an advocate would be happy to reach out to you directly to help. If interested, fill out this form: help.hbomax.com/AppReview and include your username - KaOs17 - where it asks for your Web Handle. HBO Max Support', 'modified': '2023-03-26T04:43:18Z'}","There are a lot of issues. Firstly, the app has a loading issue when going back. For instance I go into a movie to see the description and then back out to the previous screen. The images don’t load until you start scrolling up/down. This is an issue because I'm also trying to scroll sideways. Secondly, the app doesn’t remember which episodes I have watched or my position within the movies/shows, if I am casting to chromecast. Thirdly, when advertising starts during the movie/show it cuts off a scene before and after the advertising. This issue happened at the end of the episode too. It auto plays the next episode too early and you end up missing some parts at the end of an episode. Fourthly, after you end casting, it doesn’t automatically continue playing on the phone. And Fifthly, after a playing ends, it takes you to your watchlist, no matter what screen you were in before you started the movie/show. Well since I’m casting, I want to start a movie/show and then go back to where I was browsing.",2,True,Really bad functionalities,KaOs17
2023-02-04 23:48:08,,"yeah hey girlies your app is kinda slow and glitchy. it’s really annoying and also my wifi gets paused bc my parents r stupid but anyway, when it gets paused my downloaded stuff just never shows up?? it takes me to this page that’s literally titled “downloads” but then it says something like “WUHOH! LOOKS LIKE YOURE NOT CONNECTED?!? TOO BAD LOL” so then i have to set my phone to airplane mode right before my wifi gets shut off so that i can actually watch the stuff i downloaded. not to mention if i’m not connected to the internet and don’t open the app after like an hour or more the stuff i downloaded just won’t show up. like huh? fortunately i found out that all i have to do is leave the app open for like 5-10 minutes and they’ll finally appear, but then i have to wait another 5-10 minutes for the show/movie to actually begin playing. it’s very tedious and annoying so please do something about that okay thanks love you bye.",3,False,needs performance improvements,heater987
2023-04-24 07:43:54,"{'id': 36167087, 'body': 'Hi there, thank you for taking the time to leave a review and share your thoughts. We want to make this right. To have an advocate reach out to you directly to dig into this, fill out this form: help.hbomax.com/AppReview and include your username - Drsmith117 - where it asks for your Web Handle. We look forward to working with you. - HBO Max Support\n', 'modified': '2023-04-25T16:39:13Z'}","IF YOU HAVE A 2022 iPAD DO NOT EVEN TRY TO USE THIS APP. The HBO max app for iPad is basically unusable. Formatting issues with the login through cable provider are frustrating enough. But then once you get logged in good luck. The app consistently will STOP shows and tell me there is no data connection forcing me to close and re-open the app and/or turn Wi-Fi on and off. I will try connecting through other access points or tethered to my phone and get the same results. No other app has issues at the time when the HBO Max app is reporting no data.

Then to make matters worse, if you close and open the app with that issue too many times, the app simply will force close itself. Like literally every time you open it it loads for a second and then closes. This issue does not get corrected by restarting the device either I literally have to uninstall the application and then reinstall it. And then reset the device. And then open the app again. This is absolutely unacceptable for an application and service that you pay for monthly.",1,False,Great content… but a horrible app,Drsmith117
2023-04-23 03:14:26,,"I recently was asked to try out HBO Max so I did. In one month I have found 3 movies I had never seen before which were great movies. I’ve searched for hours and hours and I either found out 3/4 of the programming I could get for free on any free programming apps such as Pluto or Freevee or just basic antenna programming. The other 1/4th was HBO original’s that my wife and family had zero interest in. After 45 years of watching HBO programming as far as actual programming, it’s exactly the same boring premium channel that it has been since it’s original debut nationally 1975. Off and on they somehow are able to get the programming rights to a new movie, by luck I’m sure, that is actually a brand new blockbuster and they run advertising campaigns worldwide to sell subscriptions based on that extremely rare case that they acquired a right to broadcast a brand new movie. I love HBO, it doesn’t sound like it but I’m grateful for them. They are the first premium cable that innovated underground cable technology. By underground I mean under the earths dirt surface. Just my honest opinion.",1,False,Don’t waste your time,RadRowd
