date,review,rating,isEdited,userName,title
2023-12-19 03:44:11,I have had your app for only a few moments and have yet to fully understand all its capabilities— I think you all need to program your review pop up for later timeframe so that the user of the app is able to get full use of it. I do appreciate getting control of my TV back as my Remote just stopped working out of no where and I changed batteries to brand new — so I do appreciate that the app is giving me access to the TV again — tho I do need more time to see how the app is working in its entirety. Thank you and Happy Holidays!,4,False,caraden lynn,Asking for a review too soon
2023-09-16 12:16:16,The whole purpose of getting this was because my bf keeps losing the remotes and to have a back up sometimes. Well you have to ask and accept permission from the tv every single time you turn it on or even if it’s just been a few hours. Needing a remote. I was gonna give it 5 stars because functionality and design is great but with this it’s practically useless. We’re missing one remote rn and If I want to use this one I literally have to pick up the remote and use it so what’s the point in switching to the phone. And the back and forth is so annoying. I would be less harsh with my rating cos the app itself is great but this sure wasn’t worth $40. Could’ve and should’ve bought another remote.,2,False,hsofiekksx,Need to reconnect after every use
2023-07-23 04:08:34,The The Daily Caller has a list that shows how much money is in circulation in a month or two after a month or so and the amount is determined in a week and the amount in the week before a week of publication and then tyyyyyt for a week Ty TVjjeocjeocbowndowjdowhfownifbwkdbekfj it’s not that hard but it takes time and effort and jckcbfjbfj dhh fjbckfjhfjfhhcudgcuudg it’s a bit hard I don’t think it was just the fact it didn’t make it to my gdygeneral cyand cv cuveg ccan cand fand dfor ddid dand dand dand dis vcc c,5,False,Skyfee nguanyi,Spencer
2023-08-28 17:02:36,"Why are we paying for this app an it doesn’t work? You can’t even turn the tv on with it cause it needs to be allowed?? Like what does that mean how is something off going to tell you your allowed to use it. We are paying for it it should just work. The biggest scam I’ve ever encountered. Please fix this I love my Samsung tv but if this doesn’t work then what’s the point? 
All of these people complaining about how garbage your app is an you can’t even fix it? What a joke you are. Roku is deffiantly better an I’m upset I didn’t stick with it, cause this app is a scam an everyone paying real money for something that’s fake.",1,False,Lyyler,Garbage
2023-11-04 04:07:00,The app works fine for a few minutes and then it tells you have to pay for six dollars a week. For a remote control! What a waste of time.  Ridiculous.  Just charge me a dollar or two. Let me use the stupid app with ads. Why do you even have ads if you can’t use the app?,4,False,Tipper Tweat,Joke.
2023-07-07 00:12:39,Frank was very accommodating and knowledgeable when it came to the options I have to utilizing my Samsung tv. He helped me out a great deal and told me about connecting my phone with my Samsung tv through smartthings. I am impressed with the efficiency and quality of service he provided me! Thank you very much and God Bless!,5,False,Vaitrucci,Samsung service Frank
2023-02-20 01:33:47,"Had this app for a while and finally decided to use with my Samsung Smart TV. Linked up quick and immediately asked me to subscribe to use it, lol. I figured I would try the free version before I have to subscribe and CONSTANTLY pay for it. App works like crap and extremely lagging. I hit the controls maybe (10) times and now can’t use it unless I subscribe. Very simple fix… replace batteries and use the stock one that came with the TV, and free up space on phone by deleting app. Bye Felicia",2,False,R055ee,Lolol
2023-09-05 02:39:41,This app works great and makes it simple to connect to your smart tv. No more searching for the remote when you are half asleep and it’s too loud or you want to turn it off. Very convenient!!!! 10/10,5,False,CannaMrs,The only remote I could find that actually works!!
2023-08-20 04:01:53,I originally downloaded it when I lost my remote so I couldn’t click accept but I found it shortly after and was able to accept permission to use the app. my kids lose the remote all the time so this app is super helpful when I cant find the remote 😅,5,False,Melly:))),Amazing
2023-08-01 05:08:43,I just downloaded this app so I don't know what to say but if you lost your remote you can't connect to it you need to allow your phone to connect otherwise it's perfect and good to replace your remote so far idk what to say but it pretty good so I'll see,4,False,bxbyrexa,It's pretty good and amazing at the same time
