link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/oliviuuuuhh/status/1690080230868942903,Fri Aug 11 19:18:21 +0000 2023,"if i watcjed a netflix documentary abt bugs with a real life bug he would easily be able to follow the story but i wouldn’t, i’d be so lost",16,607,10,1690080230868942903,0
https://x.com/princessdanu357/status/1694485331150585944,Wed Aug 23 23:02:39 +0000 2023,Still down with a bug so I took the afternoon off. I napped and then did a quick little sunrise over a lake while I watched Netflix for the rest of the day. Hope you’re all good 😘 https://t.co/qVVnY9Tng9,0,20,2,1694485331150585944,0
https://x.com/msftspring/status/1687455337639550976,Fri Aug 04 13:27:58 +0000 2023,"little book haul !

i already had loveless but the pages had a dead bug on them so i wanted a new one

and i FINALLY have the original comic cover for volume 1😭 the other ones i have are the hardback, netflix adaptation, and waterstones exclusive
edition ! https://t.co/UJdddrJ3mG",0,5,0,1687455337639550976,0
https://x.com/frankie_lake/status/1690406174313562113,Sat Aug 12 16:53:32 +0000 2023,…… watching My happy marriage! Also there’s a bug on Netflix 😭all the newer episodes are there 🧵🧵🧵🧵🧵🧵🧵🧵🧵🧵🧵🧵🧵let’s see what this is about 👀 https://t.co/5Nx1MGDX8l,0,9,24,1690406174313562113,0
https://x.com/DanielleFong/status/1693514533862854702,Mon Aug 21 06:45:03 +0000 2023,"wanted to use my computer while i was resting up getting over my bug 🦠
so i projected onto the ceiling with my laser project 😬
it’s pretty great ngl. amazing for netflix https://t.co/iretd1zcnc",2,154,17,1693514533862854702,0
https://x.com/PawsomeMoment/status/1695218037668925943,Fri Aug 25 23:34:10 +0000 2023,"Netflix &amp; Chill 😂

#animallovers #cuteanimals #babyanimals #greatwhitesharks #sharks #cats #dogs #whales #sealife #coralreefs #birds #reptiles #amphibians #bugs #zoo #petlovers #AlligatorEncounter #SharkEncounters #animals #wildlife #ocean #aquaticlife #fish #sharks #btc… https://t.co/sagt7e6LZ1",2,4,0,1695218037668925943,0
https://x.com/MathiasParisot/status/1696957803049411065,Wed Aug 30 18:47:22 +0000 2023,Enjoying my dinner watching my loss going down after fixing a bug. who needs netflix?,0,3,1,1696957803049411065,0
https://x.com/QuantumYakar/status/1687332454158200832,Fri Aug 04 05:19:40 +0000 2023,A bug in Netflix replaced the subtitles in “Oppenheimer” with Michio Kaku’s interview on Joe Rogan’s podcast and it’s hilarious! https://t.co/iW7ICPOVqY,0,13,2,1687332454158200832,0
https://x.com/DrClaytonForre1/status/1690465144332029953,Sat Aug 12 20:47:52 +0000 2023,"The elite wants to take away your car and force you to live in high-density, Soviet-style apartments in dystopian cities, where you’ll subsist on a mix of grains, bugs and Netflix. Someone will still own all that nice property in the countryside but it won’t be you.",12,35,2,1690465144332029953,0
https://x.com/iamironfist23/status/1696842833452536109,Wed Aug 30 11:10:31 +0000 2023,"Happy Birthday, Jessica Henwick! Henwick starred as Colleen Wing on Netflix/Marvel's Iron Fist &amp; The Defenders series!

She is also known for her roles as Nymeria Sand in Game of Thrones, X-wing pilot Jessika Pava in Star Wars: The Force Awakens &amp; Bugs in Matrix Resurrections.👊 https://t.co/UgtY0JMgAV",1,21,0,1696842833452536109,0
https://x.com/Thecryptomist/status/1697174477254091072,Thu Aug 31 09:08:22 +0000 2023,"In bed all day with the bug. 
Suggests for a Netflix binge? 🙂",0,28,38,1697174477254091072,0
https://x.com/BobServo1/status/1688727320100536321,Tue Aug 08 01:42:22 +0000 2023,"(Me goofing around with Alexa before bed)""There's a bug on ya. Nighty night.""
(Alexa)""No, house mice are not insects. They are mammals.""
(Me)""Get bent.""
(Lexa)""Here's We Have a Ghost from Netflix.""
Gonna stop pestering the AI now.😂",0,4,1,1688727320100536321,0
https://x.com/1MagicallyMandy/status/1687886197161345024,Sat Aug 05 18:00:03 +0000 2023,"Time to bug @netflix to bring back Half Bad. 🫀 #HalfBad #SaveHalfBad #TheBastardSonAndTheDevilHimself  
SAVE OUR SHOWS https://t.co/f0JMEbTN63",9,9,0,1687886197161345024,0
https://x.com/MarzGurl/status/1697159073714819351,Thu Aug 31 08:07:09 +0000 2023,"One episode of Netflix One Piece down, probably gonna take it slow at only one a day. Not bad, definitely not bad like people always fear. Honestly, the only thing that bugs me (and isn't enough to kill it) are weird choices in some cinematography and editing.",2,29,2,1697159073714819351,0
https://x.com/4CAT44/status/1687384697658077186,Fri Aug 04 08:47:16 +0000 2023,netflix ca bug ou quoicoubeh la,0,0,0,1687384697658077186,0
https://x.com/charstoppers/status/1686731815988457474,Wed Aug 02 13:32:57 +0000 2023,EVERYONE SCREAM THANK YOU PHI OR ELSE YOUR NETFLIX WILL BUG TOMORROW AND YOULL MISS SEASON 2,1,26,1,1686731815988457474,0
https://x.com/AsorensenAlex/status/1696041748974518695,Mon Aug 28 06:07:18 +0000 2023,Hey @netflix I think I found a bug in your search… https://t.co/5l2JSB7KJD,0,0,0,1696041748974518695,0
https://x.com/WatashiWaTokyo/status/1697144227598078092,Thu Aug 31 07:08:09 +0000 2023,Netflix bug ouuuu,0,0,0,1697144227598078092,0
