link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/MishaelIro1/status/1739052599771337058,Sun Dec 24 22:37:04 +0000 2023,"At my bug age, I'm watching Netflix with my dad, and a sex scene comes on, and I take my face away, lmao 🤣",1,4,1,1739052599771337058,0
https://x.com/mxeva_mayou/status/1734346743968653322,Mon Dec 11 22:57:41 +0000 2023,Netflix bug 😒,0,3,0,1734346743968653322,0
https://x.com/AitaiKuji/status/1704381374424056011,Wed Sep 20 06:26:00 +0000 2023,Level up your Wardrobe with new Yakuza Super Groupies goods! 🎮,9,170,5,1704381374424056011,0
https://x.com/SupesBatsy/status/1739743386851012858,Tue Dec 26 20:22:00 +0000 2023,"The way Snyder's brand is so strong it's giving Netflix such bug numbers is astonishing 🔥🔥🔥

#RebelMoon",4,19,0,1739743386851012858,0
https://x.com/Past_Factory/status/1752832622559129855,Wed Jan 31 23:13:57 +0000 2024,I only got 4 right ? I can't believe how hard these are.,15,65,49,1752832622559129855,0
https://x.com/Naayou____/status/1734370278291988759,Tue Dec 12 00:31:12 +0000 2023,Netflix bug de fou,0,1,0,1734370278291988759,0
https://x.com/cirogranola/status/1734347695069016080,Mon Dec 11 23:01:27 +0000 2023,Netflix bug jsuis triste 😪,0,2,0,1734347695069016080,0
https://x.com/YouuBdj/status/1734355741102780766,Mon Dec 11 23:33:26 +0000 2023,Netflix bug comme par hasard azy,0,2,0,1734355741102780766,0
https://x.com/HyrienInc/status/1716897065643524108,Tue Oct 24 19:18:53 +0000 2023,"We are releasing the Amazing Asia Extension. 🛕
A total of 16 new regions including Pakistan, Myanmar, Uzbekistan and Kazakhstan are available for all services.  

Learn more: 
https://t.co/8eXDQOaeto https://t.co/6hrUgBadt5",41,568,17,1716897065643524108,0
https://x.com/MonsterFan50/status/1741513508834165148,Sun Dec 31 17:35:50 +0000 2023,"#HappyNewYear2024: A Little Magic.

A little magic in the sky and by his side, bug boy likes witches, hehe.
Since this will be my last drawing of the year, I wanted to finish with one of my favorite couples, it was a good program.

#hilda #netflix #fridavid #frida #david #newyear https://t.co/1c9sCSRIVg",34,95,4,1741513508834165148,0
https://x.com/mrgx_crn/status/1734345298393321668,Mon Dec 11 22:51:56 +0000 2023,netflix bug….,0,1,0,1734345298393321668,0
https://x.com/tim_t_axexe/status/1735282511993774412,Thu Dec 14 12:56:05 +0000 2023,Sayer sa bug tout le temps Netflix,0,0,0,1735282511993774412,0
https://x.com/DarkKnightsFan/status/1736182521849930151,Sun Dec 17 00:32:24 +0000 2023,"Pains me to say it.... I wont be attending tonight's Showing of #RebelMoon 😔😢

Just got back from Vegas and I may have caught a bug of some kind. Not feeling so great. Hopefully tomorrow I'll be feeling better and I'll go.

Sorry Zack @Netflix 
#SellSnyderVerseToNetflix",7,25,3,1736182521849930151,0
https://x.com/ArtJolyne/status/1738684477793034303,Sat Dec 23 22:14:17 +0000 2023,Netflix bug?,0,1,0,1738684477793034303,0
https://x.com/Stephan73796722/status/1734570491019452684,Tue Dec 12 13:46:46 +0000 2023,"Wasn't it a bug bite in the Netflix movie?
https://t.co/OhBduOtQP4",0,4,2,1734570491019452684,0
https://x.com/iman75i/status/1734344890853843421,Mon Dec 11 22:50:19 +0000 2023,netflix bug ????? jv serrer,0,3,1,1734344890853843421,0
