link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/animetv_jp/status/1662732654549127168,Sun May 28 08:08:51 +0000 2023,"【CM 15sec.】
Zom 100: Bucket List of the Dead
Scheduled for July 9 on Netflix &amp; Hulu! 

OP: ""Song of the Dead"" by KANA-BOON
ED: ""Happiness of the Dead"" by Shiyui_0111

(Animation Production: BUG FILMS)

✨More: https://t.co/wSu10RR0lI https://t.co/VNP78LK6G3",1085,7266,67,1662732654549127168,0
https://x.com/nell_bug/status/1657404865713152003,Sat May 13 15:18:07 +0000 2023,Netflix…. https://t.co/Zt8TMtJfxo,0,4,0,1657404865713152003,0
https://x.com/Apocalylpse/status/1658856512226492416,Wed May 17 15:26:27 +0000 2023,MIRACULOUS LADY BUG AND CAT NOIR??? ON NETFLIX???? OMFG https://t.co/rZlVrgl1q4,0,1,0,1658856512226492416,0
https://x.com/sydney_bug/status/1661157662770315264,Tue May 23 23:50:24 +0000 2023,@LaNoireDe Spike Lee has a lot of regrets about that film and the Netflix show was supposed to be his apology and fixing a lot of stuff from that movie,12,133,3,1661157662770315264,0
https://x.com/Aybabasala/status/1661830588892864512,Thu May 25 20:24:22 +0000 2023,I caught the bug! #QueenCharlotte #Netflix https://t.co/g5aG4X4u50,1,3,0,1661830588892864512,0
https://x.com/taengggbas/status/1654109570275622914,Thu May 04 13:03:48 +0000 2023,Namo should be release in Netflix actually!! Should we bug IDF again for this??🤪,0,2,0,1654109570275622914,0
https://x.com/oconnormk/status/1658833502760992769,Wed May 17 13:55:01 +0000 2023,"""Imposter syndrome"" is a feature, not a bug, of leveling up as a human. 

You don't feel crippling self-doubt and uncertainty watching Netflix on your coach. 

Embracing discomfort is embracing growth.",0,11,3,1658833502760992769,0
https://x.com/3uptrouble/status/1656807678889295872,Thu May 11 23:45:07 +0000 2023,Latest version of CP2077 still has major bugs but the release would’ve been insane if it was timed w the Netflix series dropping,0,2,0,1656807678889295872,0
https://x.com/dhrangad/status/1658892128385392640,Wed May 17 17:47:58 +0000 2023,I’m getting this kind of bug in iPhone gmail app. I have cleared an email from netflix and after that thumbnail of other mails become like this.  #Google #Gmail #iOS1641a https://t.co/Rybl8v83Tw,0,0,0,1658892128385392640,0
https://x.com/ShotgunSammy71/status/1656784579737571328,Thu May 11 22:13:20 +0000 2023,A new season of Queer Eye starts tomorrow on Netflix. So nobody bug me as I'll be binging the entire season getting lost in my feels.,0,3,1,1656784579737571328,0
https://x.com/FelisElian/status/1659120553255649282,Thu May 18 08:55:39 +0000 2023,Miraculous Lady Bug has a Netflix movie and its English 😭,0,6,3,1659120553255649282,0
https://x.com/entomonart/status/1656972522619797504,Fri May 12 10:40:09 +0000 2023,"Just because I put something on a list doesn't mean that it will get done. My Netflix list is proof of that. 
Enjoy your Day!
#entomology #photoftheday #insect #microscopic #bugs #abstractart #insectphotography https://t.co/WHTCKRu52F",1,2,1,1656972522619797504,0
https://x.com/vibhusam28/status/1657093678538825728,Fri May 12 18:41:34 +0000 2023,"And I just faced a bug where I was watching something on Netflix and I closed Netflix and removed it from recent apps and I did everything
But the audio didn't stop playing...
I waited some time hoping it'd be fixed but nope..

Then I had to restart the phone again..😑",0,11,2,1657093678538825728,0
https://x.com/BajoranEngineer/status/1660057333152489472,Sat May 20 22:58:05 +0000 2023,"!! Is it a feature or a bug that all my streaming apps have over a long period of time reset all my “previously watched” UI. 


I do not like it. turn it back Hulu, Netflix, Amazon and HBO. I know I’ve watched that damn show before.",0,8,0,1660057333152489472,0
https://x.com/CuteJByrd/status/1659919458113138688,Sat May 20 13:50:13 +0000 2023,"Day 36 in pleading for the SOC cast to read their own chapters and dialogue when it's not their chapter 🙏🥺♥️

Everyone at #ASOCAS2 please ask them all for me to bug @LBardugo and @audible_com for the SOC duology audiobooks! @netflix @shadowandbone_ 

#SixofCrowsSpinoff https://t.co/4eBHvsgWsK",2,5,0,1659919458113138688,0
https://x.com/SovietRusher/status/1655957893542481920,Tue May 09 15:28:22 +0000 2023,"So, Netflix. PLEASE.

DON'T YOU EVER HIT US WITH THAT DOLLAR STORE BUG SPRAY! https://t.co/MK5wARMU0c",0,0,0,1655957893542481920,0
https://x.com/mindofannnzy/status/1658857653190250496,Wed May 17 15:30:59 +0000 2023,yooo bug and cat movie on netflix july 28th 👀,0,0,0,1658857653190250496,0
https://x.com/derickcoleman87/status/1659340738805497861,Thu May 18 23:30:35 +0000 2023,"Day 70 and 71 of #100DaysOfCode 
Utilizing React Transition group to help with the animation of my hover effect in the netflix clone for my movie modal. Working thru one last bug then the modal will be completed 😎🧐",2,4,0,1659340738805497861,0
https://x.com/MScDigital/status/1680150019087663105,Sat Jul 15 09:39:14 +0000 2023,"The World’s 1st Master’s Degree in Metaverse.

Learn the technical &amp; business aspects of the Metaverse. Includes the world’s 1st MOOC “NFTs and the Metaverse” delivered exclusively on-chain and in the metaverse.

Join the largest metaverse student community (22,500+ students).",121,1407,189,1680150019087663105,0
https://x.com/bayestriker/status/1658702033652977665,Wed May 17 05:12:36 +0000 2023,"Preach it brother. We have looong game.
When they have a home we won't bug you as much...probly 🙄
@warnerbrostv @hbomax @PrimeVideo @netflix @hulu @paramountplus @AppleTV @peacock https://t.co/S4klHwlrOL",0,0,0,1658702033652977665,0
https://x.com/Freki_OG/status/1657235620639694848,Sat May 13 04:05:36 +0000 2023,"Any good Scary movies on any of these platforms?  

Any recommendations? 

#Netflix 
#amazonprime #amazon 
#hulu 
#hbo 
#hbomax 

#movies #crypto @MoonLamboio @elonmusk @StevenTRobinso1 @SourceD20 @so_annieways @lee_bug_eater",1,5,9,1657235620639694848,0
https://x.com/LetstryInternet/status/1657648982502301700,Sun May 14 07:28:09 +0000 2023,"@PicturesFoIder It's not a bug, it's a feature. Netflix roulette. https://t.co/W947QXz7kD",2,61,9,1657648982502301700,0
https://x.com/Cchrist11235/status/1652868856661315586,Mon May 01 02:53:38 +0000 2023,I needed a date for a Netflix and chill with a bug screen.,0,1,0,1652868856661315586,0
https://x.com/MAPeacock1/status/1658558962059423744,Tue May 16 19:44:05 +0000 2023,"@jdawsey1 Maybe a feature, not a bug.  Sounds like a Netflix series where the Secret Service has been co-opted.  Just sayin'...",1,5,2,1658558962059423744,0
https://x.com/crystaladc_/status/1659992222820089856,Sat May 20 18:39:21 +0000 2023,"Fighting off this bug with lots of lugaw, salabat, and netflix",0,0,0,1659992222820089856,0
https://x.com/CoralAINews/status/1758608687231291620,Fri Feb 16 21:45:59 +0000 2024,"Still wasting time reading 100-page documents? 

This AI tool is like ChatGPT for reading faster. 

Just upload any PDF and ask a question. It will give you an answer with page citations in seconds. 

Try it for free.",88,650,0,1758608687231291620,0
https://x.com/KayoIzu_jp/status/1659211117363879936,Thu May 18 14:55:31 +0000 2023,My favourite Lady bug is in netflix😆😆😆😆😆😆,0,0,0,1659211117363879936,0
https://x.com/DeadLox67506762/status/1662793284111015937,Sun May 28 12:09:46 +0000 2023,"Hi @elonmusk @Tesla A small UI bug, the music timeline is accessible in full screen mode (games/netflix/youtube). A z-index problem 😅? https://t.co/pCisMuQEMD",1,1,0,1662793284111015937,0
https://x.com/nazrien/status/1659263460562149400,Thu May 18 18:23:31 +0000 2023,@TMZ Bug off Harry! So he can use it as a prop in his own Netflix mockumentary. Did William demand not showing his mothers dead in his Netflix?  And did Harry give in to that? Pathetic grifters. Harry put his family laundry into the streets. How does they feel Harry?,4,103,1,1659263460562149400,0
https://x.com/apolo_junior/status/1658941452229959687,Wed May 17 21:03:58 +0000 2023,"Que tudo, gente. 

Lady Bug na Netflix ✨️",0,2,0,1658941452229959687,0
https://x.com/coralaibusiness/status/1760377275093328209,Wed Feb 21 18:53:43 +0000 2024,"""PDF GPT is one of the best new AI tools I've used for research.""

Just upload a PDF file, ask a question, and get an answer in seconds. 

It's like ChatGPT, but built for research.

Try it for free.",47,206,0,1760377275093328209,0
https://x.com/DStyles0510/status/1658958687795306496,Wed May 17 22:12:27 +0000 2023,BreakingNews:Netflix Has Acquired The Rights For Miracles Lady Bug And Cat Noir The Movie Coming July 28th 2023 Streaming on Netflix https://t.co/PjUW9gnRDD,0,1,0,1658958687795306496,0
https://x.com/rabbitholes3/status/1659923954755043330,Sat May 20 14:08:05 +0000 2023,Had a @netflix chat support dude (“supervisor”) tell me to not change payment method for @netflix on @netflix. But to do it on website of @netflix’s payment partner. All to not admit it is a @netflix payment bug. Why does @netflix customer support suck ass? Unsubscribed.,0,2,1,1659923954755043330,0
https://x.com/ShuradoShikoten/status/1662806895080398848,Sun May 28 13:03:51 +0000 2023,"Zom 100: Zombie ni Naru made ni Shitai 100 no Koto (Zom 100: Bucket List of the Dead) 15 second CM! It's scheduled to stream on Hulu &amp; Netflix on July 9, 2023 and it's animated by Studio BUG FILMS
#ゾン100
#Zom100
https://t.co/TSl3CkBELW",1,4,0,1662806895080398848,0
https://x.com/MrJutsu/status/1662806774607429632,Sun May 28 13:03:23 +0000 2023,"I'll pitch @netflix a show about a retired programmer who is called to fix a critical bug in a legacy codebase. It will be called ""Foobar"".",0,0,0,1662806774607429632,0
https://x.com/midfalutin/status/1662261411760730114,Sat May 27 00:56:18 +0000 2023,"See the thing that really bugs me about Netflix's password sharing thing is that it's so clearly a lie?

They had tiers based around simultaneous viewers! You don't do that because there's an enormous market of people watching on 4 different screens in one house!",0,3,1,1662261411760730114,0
https://x.com/Daksh_Rockstarr/status/1653988733379809280,Thu May 04 05:03:38 +0000 2023,"yo @NetflixIndia ig i have got asome awesome bug in my netflix account 
i have not paid in 3 months , my autopay is stopped still i am watching shows and movies for free lmao",0,2,0,1653988733379809280,0
https://x.com/StagsFilm/status/1662148587147477012,Fri May 26 17:27:59 +0000 2023,"It’s not a bug it’s a feature. The point is that no Star or Creative should be more recognizable than the brand (Netflix, Disney+, etc)",0,1,0,1662148587147477012,0
https://x.com/Felixeunwoo/status/1659025222744551424,Thu May 18 02:36:50 +0000 2023,Damn lady bug movie gonna be in Netflix,0,0,0,1659025222744551424,0
