link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/pavophobia/status/1620882195589259265,Wed Feb 01 20:30:04 +0000 2023,bug of the day: peacock spider https://t.co/1H4ZvQXVch,2,16,2,1620882195589259265,0
https://x.com/pavophobia/status/1623558782411309057,Thu Feb 09 05:45:52 +0000 2023,bug of the day: european peacock butterfly https://t.co/ntg8xLgXjP,1,12,2,1623558782411309057,0
https://x.com/markwars1972/status/1624518242579648512,Sat Feb 11 21:18:25 +0000 2023,"Every bug and fish model starting with the letter P: paper kite butterfly, peacock butterfly, pill bug, pondskater, pale chub, pike, piranha, pond smelt, pop-eyed goldfish, and puffer fish. Btw, the puffer model is my favorite of them all!

 #AnimalCrossing #ACNH #NintendoSwitch https://t.co/BQXkCgW05j",4,24,2,1624518242579648512,0
https://x.com/galfluff/status/1628511654374678534,Wed Feb 22 21:46:49 +0000 2023,so far florida is just lizard lizard lizard peacock little tiny bug lizard fruit tree,0,3,0,1628511654374678534,0
https://x.com/shaaaylin/status/1623799958842269698,Thu Feb 09 21:44:13 +0000 2023,"Peacock gotta be the worst app, fix these mf’n bugs so I can watch the office in peace.",0,0,0,1623799958842269698,0
https://x.com/klclee22/status/1628567779811942402,Thu Feb 23 01:29:50 +0000 2023,Begging @peacock to fix their app. So many bugs and glitches 😭,0,1,1,1628567779811942402,0
https://x.com/racheledini1/status/1624198420821860354,Sat Feb 11 00:07:34 +0000 2023,"Thread. (Also this is the first I hear that rats can be pets. I am adding some to my future animal-filled home, together with ducks, foxes, lady bugs, lurchers, goats, peacocks, koala bears, goldfish, dolphins, pea hens, pigeons, robins, wolves, and cows).",0,4,2,1624198420821860354,0
https://x.com/BlueDreamRP/status/1630357713178722304,Tue Feb 28 00:02:24 +0000 2023,"//AMEN TO THAT KITTY KAT~

And i haven't forgotten the meeting between bug and current peacock, divas gotta diva together uwu.",0,0,0,1630357713178722304,0
https://x.com/theaviary4/status/1630081122997772289,Mon Feb 27 05:43:19 +0000 2023,"Out of the corner of your eye, the peacock almost looks like a large bug.",0,0,0,1630081122997772289,0
https://x.com/60Canuck/status/1625681910675476480,Wed Feb 15 02:22:25 +0000 2023,"I WILL NEVER EVER EAT BUGS 🐛 🪲🐞🦗🪳🤮🤮🤮😡🖕🖕RED MEAT 🥩, Pork 🐖,CHICKEN 🐓,FISH 🐟,Deer 🦌,LAMB🐑,BUFFALO 🦬,Turkey🦃,Duck 🦆,Hog🐗,Rabbit 🐇Peacock 🦚,  I WILL EAT 🍽️Thank you very Much 😋",1,11,2,1625681910675476480,0
https://x.com/Darumemay/status/1623207227401113601,Wed Feb 08 06:28:55 +0000 2023,"Gore warning ⚠️

Meet my new bug draconaquess, her name is Tart for now. I can't settle on a name lol. 

Her outer mix includes Poodle moth, dragon, white tiger, peacock and deer~
Inner includes spider, viper and scorpion~
Art by Phylecia Wiggins on FB https://t.co/LrTKrl4uxG",0,2,1,1623207227401113601,0
https://x.com/EcolSocAus/status/1625426039609389057,Tue Feb 14 09:25:41 +0000 2023,"“Snug as a Bug” by @thomasmesaglio (shortlisted in the 2022 ESA #PhotoCompetition #NichesAndHollows category)

“Distributed all the way from Cape York to Sydney, peacock carpenter bees (Xylocopa bombylans) are impressively large and stunningly iridescent […]”

#WildOz https://t.co/SuwcUo63WD",1,12,0,1625426039609389057,0
https://x.com/aronblej/status/1629541257541238785,Sat Feb 25 17:58:05 +0000 2023,"I lost my huge PEACOCK because of a BUG, like I joined a random trading plaza server and place a bid on my huge PEACOCK and it was buggy and didn't show up in the Auction so I rejoined trading plaza and now its been more than 10 minutes and I didn't get it back 😭😭😭 https://t.co/K3O0UI3N7K",0,1,3,1629541257541238785,0
https://x.com/Cornczech/status/1622948315246501889,Tue Feb 07 13:20:05 +0000 2023,I tried going premium a few months ago - didn't work on my smart TV - they even KNEW about the bug - I could only watch on my PC - so I immediately cancelled. so I guess it's BYE to Peacock since it's too buggy for me,1,1,1,1622948315246501889,0
https://x.com/InFilm360/status/1621600120264601600,Fri Feb 03 20:02:51 +0000 2023,"@PeacockTVCare @TheBlueLeopard Having this exact issue here too, it's obviously a bug in the Peacock FireTV app and it's been reported widely for months now. When can we expect a fix @PeacockTVCare ?",0,0,1,1621600120264601600,0
https://x.com/scryptXic/status/1626246202915160067,Thu Feb 16 15:44:43 +0000 2023,#brokeaudio @peacock fix your auto-enabled English(AD) audio bug. It's annoying AF. #DevsDoSomething https://t.co/4mNJv8vRr6,0,1,0,1626246202915160067,0
https://x.com/ThighKingFSM/status/1629986572086173696,Sun Feb 26 23:27:37 +0000 2023,"Ant: I use pheromones for tell a nest I’m not a threat and attract a female!
Peacock Jumping Spider: I do a courtship dance to attract a female!
Giant Water Bug/Toe Biter at the surface of the water: https://t.co/ZBDA8Fbsda",0,2,1,1629986572086173696,0
https://x.com/obsidiantree1/status/1626685848350789632,Fri Feb 17 20:51:43 +0000 2023,"@BirdsSMP If I were a bird, I would be a quail or peacock. If I were a bug, maybe uh… Firefly?",0,0,1,1626685848350789632,0
