link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/Dajah_Simonee/status/1740047904323080396,Wed Dec 27 16:32:03 +0000 2023,No way Mr. Bozo got all that money and can’t make prime video work on a mobile device. The interface is already HORRID the least he can do is get whoever to fix the bugs like,0,1,2,1740047904323080396,0
https://x.com/sayalpha/status/1736868242562433306,Mon Dec 18 21:57:13 +0000 2023,bugs on prime video annoy me every time,0,0,0,1736868242562433306,0
https://x.com/AitaiKuji/status/1722423257050362106,Thu Nov 09 01:18:00 +0000 2023,Add new Genshin Impact goods to your collection today! Can you believe how cute Scaramouche is?😸,43,991,2,1722423257050362106,0
https://x.com/g_morza/status/1737199349170401739,Tue Dec 19 19:52:55 +0000 2023,Y’a que chez moi que Prime Vidéo bug ? L’image freeze (pas le son) sur le match Angers Guingamp ? 😅,0,8,4,1737199349170401739,0
https://x.com/kerzoven/status/1722714790194250215,Thu Nov 09 20:36:27 +0000 2023,"⌛️ 10 years of game dev
🦊 3 years on Kerzoven
🏡 29 low poly buildings
🐈 10 animal species
🌎 1 nature simulation

⬇️Wishlist Now!⬇️
https://t.co/qJs0ZJCRYR https://t.co/mWujWBxr5P",8,37,0,1722714790194250215,0
https://x.com/IGN/status/1731010613977976920,Sat Dec 02 18:01:05 +0000 2023,"Bethesda's games are some of the most beloved of all time, and one of the most memorable parts of its games are the hilarious bugs. While Prime Video's Fallout series won't feature a nod to them in its first season, there is still hope for the future. https://t.co/k9uN1DDQ10 https://t.co/34vHRXFyFk",22,260,16,1731010613977976920,0
https://x.com/ChristerEricson/status/1736984126899826984,Tue Dec 19 05:37:42 +0000 2023,"I’m PRETTY SURE there’s a bug in your RokuTV Amazon “prime video” app, @PrimeVideo. https://t.co/mkDbEOIEJg",0,1,2,1736984126899826984,0
https://x.com/thisisalexsc/status/1731011827918680235,Sat Dec 02 18:05:55 +0000 2023,y'a que moi prime video ça bug à mort?,0,1,0,1731011827918680235,0
https://x.com/BscSteve/status/1761019076342960541,Fri Feb 23 13:24:00 +0000 2024,"🔒💻 Vulnerability alert! Your trusted AI/ML platform, Hugging Face, may not be as safe as you think. Get the full scoop here ➡️ https://t.co/tc4ixx2ZaE #TechNews #DataProtection #Security4AI @hiddenlayersec",0,21,2,1761019076342960541,0
https://x.com/swiftsdriver/status/1731027753313448424,Sat Dec 02 19:09:11 +0000 2023,volví al depto. vamos a ver si flow sigue teniendo el bug y si tengo prime video,0,0,0,1731027753313448424,0
https://x.com/AyachiSamy/status/1731313614726758655,Sun Dec 03 14:05:06 +0000 2023,Amazon Prime Vidéo Ligue 1  ça bug ?,0,2,1,1731313614726758655,0
https://x.com/Rocjoh/status/1736327982745272762,Sun Dec 17 10:10:25 +0000 2023,"#LenovoTabP11Pro2ndGen received a bug fix update, but face Unlock still does not work since Android13 upgrade, and multi-tasking with prime video is still laggy too... #lenovo",0,0,1,1736327982745272762,0
https://x.com/arebelgeek/status/1734762723852857521,Wed Dec 13 02:30:38 +0000 2023,Ow podia dar um bug no prime video e eles colocarem a série do Reacher antes né ＼(_ _),0,0,0,1734762723852857521,0
https://x.com/lilicalica__/status/1741525157787603021,Sun Dec 31 18:22:08 +0000 2023,Fui entrar na prime video tomei um susto achando q meu ex tava usando p ver serie mas era so bug... deus abencoe,0,4,2,1741525157787603021,0
https://x.com/KingJongPun/status/1739802119706718547,Wed Dec 27 00:15:23 +0000 2023,"@Jonathan_Blow It is not a bug, it is a feature. They don't want users to upgrade to the ad-free version, they want everyone to be on the ad-supported plan.

Ads bring way more money than people think, and Prime Video runs on devices without easy adblocking (smart tvs, consoles, mobile).",0,18,1,1739802119706718547,0
https://x.com/leocardena/status/1740532950700118228,Fri Dec 29 00:39:27 +0000 2023,Retiraram mesmo The Office do catálogo do prime video ou é bug?,0,1,0,1740532950700118228,0
https://x.com/FFLose/status/1735777276304785428,Fri Dec 15 21:42:06 +0000 2023,J’ai un bug sur Prime Video j’ai vu un but de Lyon l’appli deconne aussi chez vous ?,120,4193,34,1735777276304785428,0
https://x.com/ludiaz/status/1741172521615892840,Sat Dec 30 19:00:53 +0000 2023,Matrix Ressurections disponível no Prime Video e eu só queria uma Bugs (Jessica Henwick) pra mim. 😍. https://t.co/kqlbjopOsp,0,0,0,1741172521615892840,0
https://x.com/Sakume_/status/1731008042781552807,Sat Dec 02 17:50:52 +0000 2023,@DiscussingFilm Just one bug i rage quit the series... Trust me. Bugthesda and Prime video i wait you 👀,0,0,0,1731008042781552807,0
https://x.com/Bramblehop/status/1734289802445627465,Mon Dec 11 19:11:25 +0000 2023,@thestartuproad_ @MKBHD i think they could have been working on prime video bug fixes instead XD,0,0,0,1734289802445627465,0
https://x.com/Fenomeno_OM/status/1731423506124927469,Sun Dec 03 21:21:46 +0000 2023,Bon voilà Bug chez moi de Prime Vidéo. On mène 2-0 je vais espérer qu'on en reste là ! Comme ça on va bien faire dodo. #TeamOM,0,0,0,1731423506124927469,0
https://x.com/azulasmind/status/1736812041242091690,Mon Dec 18 18:13:53 +0000 2023,"a prime video vem ao longo dos anos ganhando visibilidade e popularidade devido as séries originais incríveis que vem fazendo e mesmo assim ainda falha em entregar uma plataforma fácil de navegar e sem bugs, complicado",0,1,0,1736812041242091690,0
https://x.com/ItsSharples/status/1736529610190344299,Sun Dec 17 23:31:36 +0000 2023,"@AC_Revolution Prime video as an app is a bit more annoying than the website, and Apple TV+ Is wildly different experience depending where you use it. 
…I wonder if Disney+ still has the bug at the end of the video where you get trapped",0,1,0,1736529610190344299,0
https://x.com/MScDigital/status/1679507092418306048,Thu Jul 13 15:04:29 +0000 2023,"Dive into the #Metaverse with our new MSc in Metaverse program at the University of Nicosia! Choose from two thematic paths: Metaverse Management or Metaverse Development.

Apply Today! #UNIC #MScMetaverse",110,1503,151,1679507092418306048,0
https://x.com/annabond000/status/1730942876207735107,Sat Dec 02 13:31:55 +0000 2023,"@iakash2801 @KaroulSahil @Xiaomi @leijun Haan ye mere sath bhi hota hai, lagta hai koi software bug hai Amazon Prime video play karte hi phone restart ho jata hai.",0,0,0,1730942876207735107,0
https://x.com/Mayerutilestr/status/1732174294262620504,Tue Dec 05 23:05:08 +0000 2023,"@PrimeVideoIT Ciao ragazzi! Sul sito c'è un bug strano, non so se sta capitando solo a me. Quando entro su prime video e vado su qualsiasi film o serie tv, vengo reindirizzato sul canale di Mangas.",0,0,1,1732174294262620504,0
https://x.com/LethyciaDias_/status/1738943733767246177,Sun Dec 24 15:24:28 +0000 2023,"inserindo um cabo hdmi no meu computador pra poder assistir prime vídeo pela tv, apesar de TER O APP do prime vídeo na minha tv, porque é toda hora um bug diferente nesse app",0,1,0,1738943733767246177,0
https://x.com/suicidepampacat/status/1732554569341669571,Thu Dec 07 00:16:13 +0000 2023,"Esse aplicativo do Prime Video e o do Youtube são o que há de pior nesses aplicativos de streaming, principalmente pra TV. Aí ainda ficam spammando publicidade depois. Mesmo se eu quisesse e tivesse dinheiro, jamais gastaria num troço cheio de bugs q me faz espumar de tanta raiva https://t.co/dNTOBpW6sO",0,0,0,1732554569341669571,0
