link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/HebbonM/status/1695493553093267652,26/08/2023,"Disney Plus seriously needs to step up their marketing game.  I barley hear about any of their original content unless it’s Marvel, Starwars, or HSMTMTS 😭 They BETTER fix this by the time Percy Jackson promo starts coming out lmao!",17,76,1,1695493553093267652,0
https://x.com/DisneyAnimation/status/1689388114035539970,09/08/2023,"In the climactic chase through Big Ben, hand-drawn Professor Ratigan cornered Basil amongst the ticking clock gears of our first elaborate CG environment in a feature film. ⚙️ Watch The Great Mouse Detective on Disney Plus.

✨ Join us as we look at the artistry, technology, and… https://t.co/fJP0iEitcI",255,1173,35,1689388114035539970,0
https://x.com/litell_johnn/status/1693758252159283317,21/08/2023,"Chat highlights: Jinsoul gets her Disney Plus account suspended and gives up trying to fix it (230821~230822)

Text links:https://t.co/ddIO0DSIPr https://t.co/CUFGJ3SruT",23,206,0,1693758252159283317,0
https://x.com/kdramahandle/status/1692201890660946214,17/08/2023,"Disney Plus Korea apologizes for the delay in releasing #Moving episodes 8 &amp; 9  on Aug 16th, 4 PM. 

Episodes were missing from the playlist as scheduled. Issue resolved, viewers can now enjoy the new episodes on Disney+. https://t.co/qRMJBpIcxC",0,2,0,1692201890660946214,0
https://x.com/NKLHDtoetagz/status/1689079607499374592,09/08/2023,Nukkle HeDD Comics Issue 103- Is Loki Season 2 Marvels Last hope for Disney Plus Shows? https://t.co/YGamz0HX9k,1,2,0,1689079607499374592,0
https://x.com/hzjoe03/status/1692528791099203757,18/08/2023,"I’m not getting my hopes up for #Ahsoka right now. Every Disney Plus show recently has the same issue, where the two episode premiere is great and the rest of the show is awful. Maybe this will change",6,295,15,1692528791099203757,0
https://x.com/BiggerOnThePod/status/1692480330697941115,18/08/2023,"🚨BREAKING NEWS🚨

It’s been rumoured that #DoctorWho series 14 &amp; onwards will feature product placement only available on Disney Plus (USA) and not on the BBC.

Cast member have signed deals with brands such as Coca-Cola, Cheetos and McDonalds Happy Meals. https://t.co/JFgPlmZNOZ",8,26,8,1692480330697941115,0
https://x.com/kdramascoop7/status/1694970243070967996,25/08/2023,"The nine protagonists of Disney plus's original series '#Moving' graced the cover of Rolling Stone Korea's 11th issue.

#RyuSeungryong #HanHyoJoo #JoInSung #chataehyun #KimSungkyun #KimHeeWon #GoYounJung #LeeJungha #KimDoHoon https://t.co/AbHERsBaqz",4,16,0,1694970243070967996,0
https://x.com/meghan_hartson/status/1692708444250272043,19/08/2023,"i flew across the country on a solo weekend trip to see a fictional Broadway musical that had a 3 minute feature in a Disney Plus show 2 years ago.

AND LET ME TELL YOU. Disney, you nailed it on the head. The original songs were better than some I’ve heard on Broadway. 100/10 https://t.co/vhqngZblMb",0,1,0,1692708444250272043,0
https://x.com/_trudiegraham/status/1694708111951757446,24/08/2023,"The Disney plus star wars series have such an issue with visual texture and depth. You'll have these great looking costumes, make-up, sets that contrast so badly against the flat CGI backgrounds. Looks so cheap when it shouldn't",0,9,2,1694708111951757446,0
https://x.com/TheRealMattC/status/1693301250710745112,20/08/2023,Disney Plus should add a shuffle feature for The Simpsons and only The Simpsons,0,31,5,1693301250710745112,0
https://x.com/RhysMediaFan/status/1689399715983720448,09/08/2023,"I Have a few concerns for Doctor Who for when it does end up on Disney Plus.

1. It will only feature the Modern Series from 2005, since every streaming service never features The Classic Series as well. BrittBox was the only to feature both before removing it randomly. https://t.co/576qqEHVc1",0,2,1,1689399715983720448,0
