link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/MCU_Fanatics/status/1617720732389343232,09/01/2023,Disney Plus makes two sneaky ‘Ms. Marvel’ edits to fix ‘Spider-Man: No Way Home’ continuity error https://t.co/M376JFxeiI,9,36,0,1617720732389343232,0
https://x.com/Nerima_x/status/1609512063113592832,09/01/2023,Disney plus need that “Are you still there?” Feature because why I wake up and I’m half way through the season of desperate housewives 😒,3,6,1,1609512063113592832,0
https://x.com/itechhacks_/status/1618487663664992256,09/01/2023,How to Fix Disney Plus Not Working or Stuck on Firestick https://t.co/2ZWyWh58pQ via @itechhacks_,0,1,0,1618487663664992256,0
https://x.com/CelestePoetProf/status/1616228323650342912,09/01/2023,Really adulted today so now I’m watching the docuseries First Alaskans on Disney plus before it’s time to fix supper.,0,2,0,1616228323650342912,0
https://x.com/naydenlover/status/1619231764043669511,09/01/2023,Oh my god I found aliens in the attic on tv and this on Disney plus - 2 words double feature!!!! Just for Austin https://t.co/sCPuwMLais,0,3,2,1619231764043669511,0
https://x.com/boiingobaby/status/1611480692344647680,09/01/2023,"Gonna fist fight whoever decided that all the shows on Disney plus should feature the new castle opener rather than the one they had when it came out (Aladdin, little mermaid, etc)",0,3,0,1611480692344647680,0
https://x.com/Quariesofficial/status/1615308226962116610,09/01/2023,How To Fix Disney Plus Error Code 93 “Suspicious Activity”? https://t.co/kHzeWQEsJD,0,1,0,1615308226962116610,0
https://x.com/binge_gauge/status/1616686021344886785,09/01/2023,Updating your TCL TV will help fix errors on the Disney Plus app. https://t.co/xs5W84xAXy #DisneyPlus https://t.co/BQQzHMKZge,0,0,0,1616686021344886785,0
https://x.com/valmorcel/status/1611260441992523777,09/01/2023,"IT WOULD MADE MORE SENSE IF WE PAYED TO SEE THE EPISODES. If toh premiered on disney plus and only disney plus and some bitch leaks the episode, well, I get it! that's your money! But that's not the case! And even that, IT IS A COMPANY ISSUE, not of the viewers PLEASE",2,20,0,1611260441992523777,0
https://x.com/CasaDupre/status/1614362410764144640,09/01/2023,Marvel are annoying because they’ll fix the shaky VFX bits for when the film drops on Disney Plus lmao,0,8,0,1614362410764144640,0
https://x.com/love1989tv/status/1616599465711779840,09/01/2023,disney plus needs to add a feature where you can remove stuff from your row under “currently watching” cause there’s too much stuff building up,0,0,1,1616599465711779840,0
https://x.com/techyhostco/status/1610337185382961152,09/01/2023,Fix Error Code 83 On Disney Plus At Help Center https://t.co/LKXDVLgQyQ,0,0,0,1610337185382961152,0
https://x.com/CrystalGroupJim/status/1610792618924843009,09/01/2023,Disney Plus IMAX Enhanced titles to get new ‘signature sound’ feature https://t.co/LxUHUbPjpQ,0,0,0,1610792618924843009,0
https://x.com/parismov/status/1615472942841831426,09/01/2023,the imax enhanced feature on disney plus is soo ugly,0,0,0,1615472942841831426,0
https://x.com/luv4january/status/1613132341911883783,09/01/2023,the disney plus app is so annoying to use pls fix it 😭,0,0,0,1613132341911883783,0
https://x.com/jhotpotinfo/status/1613950709837303823,09/01/2023,"[2023] Fix Disney Plus Not Loading on Samsung Smart TV? 
Read Full Text: https://t.co/81x0nWCpye 
#dailyarticle #blog #iphone #Amazon #trending https://t.co/KD2VZslrLl",0,0,0,1613950709837303823,0
https://x.com/technicops/status/1618912923413512194,09/01/2023,"Marvel secretly edits Disney Plus series finale to fix MCU continuity blunder
https://t.co/a0kX3kdYFg",0,0,0,1618912923413512194,0
https://x.com/ezmanify/status/1609630749153689600,09/01/2023,"@Animated_Antic That's my issue with the Disney Plus version. They use the original theatrical cut, which means we don't get the ""Human Again"" musical number and thus don't get this, one of the sweetest moments in the movie.",1,90,3,1609630749153689600,0
https://x.com/NKLHDtoetagz/status/1610456214567002113,09/01/2023,Nukkle HeDD Comics Issue 72- Phase 5 MCU and 2023 DC and Marvel Line up. Disney Plus https://t.co/uqJZdz8mDq,0,1,0,1610456214567002113,0
https://x.com/Mrchris3386/status/1611375717450743808,09/01/2023,@SkyHelpTeam And what about the poor image quality? Any chance that’s gonna get a fix too? Because this make a lot of stuff unwatchable. This is the thing I’m most disappointed with. This is on YouTube but it happens on Disney plus and Netflix. Changing the settings does nothing. https://t.co/GitbFqcBJz,0,0,1,1611375717450743808,0
https://x.com/Itsgaetandanmit/status/1611704500288647168,09/01/2023,When the fuck is disney plus going to add the next feature with their 6mins plus long credits for every show. Shit mad annoying to keep going back and scroll down to chose the next episode,0,2,0,1611704500288647168,0
https://x.com/bbbcs_/status/1617947145746927617,09/01/2023,"Subscribed to Premium because folks also want to watch Disney Plus, but as soon as I tried to open a feature, “ACCESS DENIED”. Waaaaaaaaeeeeee",0,0,0,1617947145746927617,0
https://x.com/TalysAlankil/status/1613971444500660260,09/01/2023,my disney princess dive makes me wonder if there's any hope for raya to get a sequel of some kind (not a movie but maybe a disney plus feature?) where she and namaari get to actually get together,0,2,1,1613971444500660260,0
https://x.com/hoeplessalexis/status/1614420125146558464,09/01/2023,"Netflix is free with T-Mobile, Disney plus free with Verizon. Prime is a necessity if you order online a lot , I wouldn’t even count that as a streaming service more like a bonus feature",0,0,0,1614420125146558464,0
https://x.com/SenseiFaneto/status/1615470119534342144,09/01/2023,"I’ve missed 3 episodes of The Bad Batch because my @DisneyPlus keeps freezing. Not on every show but for some reason Certain Shows won’t go pass the initial Disney Plus logo loading screen? 

Has anyone else had this issue or know what’s wrong #DisneyPlus https://t.co/5Uz2vPgV8G",0,1,1,1615470119534342144,0
https://x.com/aaronmspelling/status/1610287212268032003,09/01/2023,Disney Plus Keeps Crashing? 9 Ways To Fix It https://t.co/GTmd6YS4Ly,0,0,0,1610287212268032003,0
https://x.com/Amber47144902/status/1609388297880539136,09/01/2023,Is Disney Plus not working on your streaming device? This article talks about Disney Plus app not working issue in detail and offers some possible fixes. https://t.co/HSzrABW3Cu,0,0,0,1609388297880539136,0
https://x.com/LuxuryLuxray/status/1611896434907041792,09/01/2023,Am I the only one who has an issue with Disney Plus? I can't always get it to work on my phone or laptop. It's frustrating sometimes.,0,0,0,1611896434907041792,0
https://x.com/Captainstark_2/status/1610068458011607040,09/01/2023,"Switched my Disney Plus plan to the one with the ads. I don’t like being the only one paying for it, but I’m not willing to go without my marvel tv fix!",0,0,0,1610068458011607040,0
https://x.com/aurelie7710/status/1614797820703428608,09/01/2023,[Easy Solutions] How to Fix Disney Plus Black Screen Issues? https://t.co/PQfIDfF2YJ via @MiniTool_  #DisneyPlus,0,0,0,1614797820703428608,0
https://x.com/SenseiFaneto/status/1615592301052694529,09/01/2023,@DisneyPlusHelp When I downloaded the Disney plus app on my computer it worked. Not sure why the browser was having an issue though.,0,0,1,1615592301052694529,0
https://x.com/mdcher1/status/1619235160494587904,09/01/2023,@scottiebateman @DisneyPlus @NatGeo Oh! Didn't think I'd seen this but maybe I have on Disney Plus. Do you actually feature or just behind the camera?,0,0,1,1619235160494587904,0
https://x.com/ezefidelity911/status/1618510732441849857,09/01/2023,"✨6 Working Ways to Fix Disney Plus Not Working on FireStick

🔭https://t.co/VpcQsrmD8X -",0,0,0,1618510732441849857,0
https://x.com/shlraru/status/1614673535863070724,09/01/2023,Society if Disney plus had an auto play feature and didn’t have five billion silent translation credits,0,0,0,1614673535863070724,0
https://x.com/disneypixarnerd/status/1609405121389293568,09/01/2023,"who @DisneyPlus can fix this (potential algorithm) error.. no, Encanto is NOT a Pixar movie.

not that Encanto isnt a great movie, but brand confusion/degradation is already at the highest its ever been.. the disney plus brand cant even keep the studios differentiated.. 😖😖🥺😢 https://t.co/Ij9XU4gIpo",1,6,0,1609405121389293568,0
https://x.com/anthony56708/status/1611741291187998721,09/01/2023,@DisneyPlus Disney please fix the issues with Bear in the big blue house episodes have the Portuguese title cards and there is 9 episodes still missing and majority of the episodes are out of order it was one of the most anticipated series to be added to Disney plus. #Bearinthebigbluehouse,0,5,1,1611741291187998721,0
https://x.com/Yorkshirestocks/status/1612867153673482241,09/01/2023,@ThomasIngenlath @PolestarCars @SmartEyeAB @Google @luminartech Just wish the 3 either had a landscape screen or rotating feature such as Fisker. I’ve recently sold my model 3 and ability to watch Netflix / Disney plus while my daughters were having a 90 min piano lesson is the only thing I miss.,0,1,1,1612867153673482241,0
https://x.com/Nazeerbha/status/1611499378178654209,09/01/2023,"#newblogpost #blogger How to Fix Disney Plus Error Code 39? Some Quick Steps
https://t.co/b9d9t7q2uf",0,0,0,1611499378178654209,0
https://x.com/Pakistanistore1/status/1612235995747078144,09/01/2023,"#newblogpost #blogger How to Fix Disney Plus Error Code 39? Some Quick Steps
https://t.co/FJb4viiGn7",0,0,0,1612235995747078144,0
https://x.com/Svmedford/status/1613878796771270656,09/01/2023,"@DisneyPlus, @hulu. I've reset my phone. Try to login into both apps and they will not let me go into my accounts. How do I fix this?! Disney plus keeps giving me error 83 code and I keep restarting my phone.",0,0,1,1613878796771270656,0
https://x.com/Outlaws_GhostM/status/1614046308116881408,09/01/2023,@wrestleuncut @JC_Lopez209 @JDfromNY206 I mean Disney plus has Deadpool and the simpons I doubt old clips of sandman crushing cans with his skill will be much issue,0,0,2,1614046308116881408,0
https://x.com/anthony56708/status/1615392294768713729,09/01/2023,@disney #bringbackbearinthebigbluehouse and #addthemissingepisodesofbearinthebigbluehouse to Disney plus and fix the Portuguese title cards and sound issues on some of the episodes and fix the order of the episodes too do it right for the fans. #DisneyPlus #bearinthebigbluehouse,0,1,0,1615392294768713729,0
https://x.com/HeartofManoj/status/1616058629248909312,09/01/2023,"How to Fix #Disney Plus Error Code 83? #Apps
https://t.co/bjkn8YfqwR",1,1,0,1616058629248909312,0
https://x.com/AreaViral_News/status/1616862994566156288,09/01/2023,Disney Plus Error Code 39: How to Fix Disney Plus Error Code 39 (FIXED) – AreaViral #PS5 #Nintendo #xbox #arcade #games 🎮 #PlayStation #gaming https://t.co/8bNw64HR9C,0,0,0,1616862994566156288,0
https://x.com/CholYerlow2/status/1611765871927611392,09/01/2023,just wish Disney plus had a trial period so I could see if they give me similar issue before I pay for that instead,0,0,0,1611765871927611392,0
https://x.com/Nitemareent/status/1611566567560720384,09/01/2023,"@JoshDickens850 @MsInmadcity @DisneyPlusHelp How does programming takes time and it's a brand new feature not make sense? you only debated one of my points, but you totally ignore the fact that Disney Plus is on several different devices in the U.S. and other countries. Updates take time, when updating that many devices.",0,0,0,1611566567560720384,0
https://x.com/NKLHDtoetagz/status/1610508960309592064,09/01/2023,"Listen to ""Nukkle HeDD Comics Issue 72- Phase 5 MCU and 2023 DC and Marvel Line up. Disney Plus"" by NuKKle HeDD Podcast. ⚓ https://t.co/MoQBW12DwE",0,0,0,1610508960309592064,0
https://x.com/CarideoDonna/status/1612612607147401216,09/01/2023,@hulu_support Problem yet still an issue with all the smart ppl who I’m sure can fix the code to allow Verizon customers to access Hulu. No problem with Disney plus or ESPN but Hulu a big issue,0,0,1,1612612607147401216,0
https://x.com/VIVEKCHAUDHRY19/status/1616144251263520768,09/01/2023,"@hotstar_helps i have an subscribtion of Disney Plus hotstar but I am not able to download  any content there is a issue. 
Sorry unable to download please try again DW 1005 please fix it my subscription ID is 87915 02728",0,0,1,1616144251263520768,0
