link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/kaylaphaneuf/status/1661028226662006785,23/05/2023,HBO Max removing the “upload a profile picture” feature is the worst thing that’s ever happened. Rip to some of my favorites. https://t.co/lbzg9x8lOF,550,12577,54,1661028226662006785,0
https://x.com/saintdoII/status/1655554828297175040,08/05/2023,"lily rose depp and the weeknd, the leads of hbo’s the idol covering w magazine’s pop issue photographed by tyler mitchell ✩ https://t.co/BC2I1wAvmf",498,4716,14,1655554828297175040,0
https://x.com/up2anth/status/1661035228075544578,23/05/2023,"hbo going from the succession/barry double feature to the idol &lt;&lt;

 https://t.co/DM1wMASpqp",12,45,0,1661035228075544578,0
https://x.com/MarioEmmet/status/1660850635862884352,23/05/2023,"I don’t mind the name change (HBO Max to Max); but do they really need to change their colors from purple to blue? Purple made them stand out from the other streaming services (If it ain't broke, don't fix it). https://t.co/7QrpMOnWr9",122,1580,57,1660850635862884352,0
https://x.com/enerzoa/status/1655950341341601802,09/05/2023,"If youre GenX you remember this, HBO's 1983 feature intro. The pure confidence and swagger of the culture is present even in this bumper. https://t.co/w18SquuXdx",28,202,24,1655950341341601802,0
https://x.com/zbowling/status/1661850717672579072,25/05/2023,This HBO Max rebranding to Max is not only dumb but was rolled out in the most dumb way. They pushed it out as a separate app. I downloaded videos for offline while traveling but I can get to them because it want’s me to download the new app. USE A FEATURE FLAG FOR YOUR… https://t.co/Uptk8ApBFH,6,575,18,1661850717672579072,0
https://x.com/616buckley_/status/1652871432689401857,01/05/2023,me after tonight’s hbo double feature https://t.co/4qH2DgCkcS,2,5,0,1652871432689401857,0
https://x.com/dotts27/status/1660977177008001024,23/05/2023,"HBO Max is now just MAX as of today. site doesnt work. Straight up doesnt work. No menu, nothing. I logged in and the Start Streaming button does nothing. Stuck, no resource or help. Monthly charge went through without any issue though, not like they had all this time to prepare",13,114,5,1660977177008001024,0
https://x.com/SugarSprays/status/1661009971457437701,23/05/2023,I don't care if it's HBO Max or cinemax or MAX that shit ain't updating on my phone or my tv and y'all took my damn money so fix it NOW 🤬,10,14,1,1661009971457437701,0
https://x.com/areyoufuckingfr/status/1661564129218379779,25/05/2023,not a single way to find anything good on the new hbo max app . a show called “dr pimple popper” is ahead of succession on the feature tab,1,32,2,1661564129218379779,0
https://x.com/TheHerdHouse/status/1658520464032137218,16/05/2023,Kiefer Sutherland is at Bioshield HBO for the day. Hyperbaric treatment. 2 presses. Clear any debris left in his spinal column and a boost for eye surgery that has been bumped up to tomorrow. Both eyes have blown tear ducts &amp; Dr Lundquist is going to fix them both. https://t.co/AzihYnTKhK,15,522,29,1658520464032137218,0
https://x.com/t_ruggeri/status/1655795247631446017,09/05/2023,"Kind of hilarious that you can have a pro-union double feature on HBO Max right now with NORMA RAE and HARLAN COUNTY, USA https://t.co/qduSXeMQ8g",3,37,1,1655795247631446017,0
https://x.com/wesmanderson/status/1656319444271140864,10/05/2023,"You know what would fix me right now?

The OFMD season 2 trailer. Come on HBO or Max or whatever your dumbass name is now. Do the thing. We deserve it. Come on. https://t.co/7I7lNbCgaB",0,50,2,1656319444271140864,0
https://x.com/filmmusicrep/status/1660730213486198785,22/05/2023,"(HBO) Max's 'Clone High' revival produced by Phil Lord, Chris Miller &amp; Bill Lawrence to feature original score and theme song composed by Abandoned Pools' Tommy Walter. https://t.co/J1beWCpP7M https://t.co/wxm44AE09S",25,158,0,1660730213486198785,0
https://x.com/theidolupdates/status/1656358521208729607,10/05/2023,"The Idol Updates presents: FILM NIGHTS. 

A curated double feature event every saturday at 6 PM EST, displaying films by the auteurs that inspired the upcoming HBO’s original TV series THE IDOL. Starting this Saturday!

Discord: https://t.co/aEDO2MP6LH https://t.co/ljX0kmg8Sl",24,183,4,1656358521208729607,0
https://x.com/clairewillett/status/1654405122779410432,05/05/2023,replies turned off for a standard-issue promo tweet = HBO marketing team already has a very clear idea of how the strike is playing on here and can’t take the heat,10,98,2,1654405122779410432,0
https://x.com/ChefJonKung/status/1662207423363559424,26/05/2023,"If you told me the HBO to Max rebrand was the result of some non-creative (no, not uncreative) C-level hack wanting to stroke his ego and disastrously fix something that wasn’t broken over the objections of everyone who as actually in creative and marketing, I would believe it.",19,371,6,1662207423363559424,0
https://x.com/JordanbGregory/status/1662811436916133888,28/05/2023,"'DriftWood' title graphic revealed in full poster photo (I've edited a bit) from Katie G (@ktganimation)!

I love the flower on top of the W!

The original animated feature film was unfortunately canceled at HBO Max last year.

#DriftWood https://t.co/watqEnBZvB",15,63,7,1662811436916133888,0
