link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/bitchvibrations/status/1722029620063596600,07/11/2023,just one more HBO girls rewatch could fix me,9,59,1,1722029620063596600,0
https://x.com/ReganMacarthur/status/1723016476058116557,10/11/2023,"Haven't seen COP LAND since the theater. In terms of story, it's like a 10-hour HBO season compressed to feature-length. Stallone gives a great performance, though. His character is a loser in life and Stallone doesn't hold back: his talk and his walk scream defeat. https://t.co/NN9SqyK232",2,31,7,1723016476058116557,0
https://x.com/Flowerlikinga/status/1726589988870225943,20/11/2023,"#TheRailwayMen was just fantastic. The show has some great production value, which was similar to what HBO did with Chernobyl. An edge of the seat thriller treatment given to a series that deals with an important issue was perfectly justified. Highly recommended! A must watch💥👍🏻 https://t.co/sO8R8Nm9RA",5,43,3,1726589988870225943,0
https://x.com/theunseenn/status/1724508238845018497,14/11/2023,"Rome is such a good rapper

But Mach made:
HBO
The GAT
Luh Hertz
FYI
Wap Kon Jòj!
Pray for Haiti
Fete Des Morts
Bulletproof Luh
Balens Cho

Mach wins, but I think Rome's features obliterate any Mach feature",3,9,3,1724508238845018497,0
https://x.com/wizaj/status/1723494953056194647,12/11/2023,"I’ve been using @eversendapp as my primary US issued USD virtual card for 5 months on all US natively acquired and geolocked services (Apple TV+, Paramount, HBO) without ever experiencing a single issue. You may do with this information what you wish. Your mileage may vary.",15,45,3,1723494953056194647,0
https://x.com/grcentm/status/1724759504846229727,15/11/2023,hbo hasn’t given me my mini series fix in years it’s time for jazz i’m going to apple tv https://t.co/A3SCIrXC0q,0,2,1,1724759504846229727,0
https://x.com/basedaleja/status/1728153702752502098,24/11/2023,One thing about Colombia…. Y’all need to fix this hulu &amp; HBO streaming situation asap,0,13,2,1728153702752502098,0
https://x.com/RegularTweetsUK/status/1722716488371433484,09/11/2023,"Warner Bros. Shelves ‘Coyote Vs. Acme’ Movie a Year After It Completed Filming.

The animated feature was greenlit as an HBO Max film before being considered for a theatrical release.

Article by @THR (Exclusive), link on the following post. https://t.co/VHdb2irGxl",44,111,18,1722716488371433484,0
https://x.com/RoQnRobD/status/1722848788551811097,10/11/2023,Did the dems fix the hackable voting machines they complained about after 2016 or after the HBO doc killchain came out?🧐 https://t.co/DHKXCdxyeo,1,1,0,1722848788551811097,0
https://x.com/charles_jensen/status/1727027385676267551,21/11/2023,"The original feature WESTWORLD premiered 50 years ago today. Written &amp; directed by Michael Crichton, it inspired the HBO series and bears a lot of the same themes—fear of technology is timeless, but perhaps with good reason!

(Excerpt is from SPLICE OF LIFE) https://t.co/5Z3l6nTuW3",0,12,3,1727027385676267551,0
https://x.com/SIM0NJESS/status/1726555451842839023,20/11/2023,and they never made an hbo dc series ever again despite how well this did. we need to fix that @JamesGunn,3,30,3,1726555451842839023,0
https://x.com/Getthebagcoach/status/1720141369253986614,02/11/2023,HBO Max gotta be broke because they charging extra and can’t even fix their app correctly…. The Ultimate AD Free used to be $16 now it’s $20 smh https://t.co/TRmaQoJsMy,1,7,0,1720141369253986614,0
https://x.com/KEITHDONEAL1/status/1728209335266972064,25/11/2023,and every HBO Saturday night feature https://t.co/AY7nNuwhu0,0,1,0,1728209335266972064,0
https://x.com/wombpatrol/status/1719506368183390213,01/11/2023,"my main issue with hbo max is that everything is too QUALITY…sometimes a girl wants a 2 ½ star
independent film from 2015 that nobody watched and that could be wiped from reality without anybody noticing and that distinct lack of prestige just isn’t there",0,4,0,1719506368183390213,0
https://x.com/mcald95/status/1727389847508463866,22/11/2023,Tonight’s gonna be an HBO Max special feature,1,2,0,1727389847508463866,0
https://x.com/BigBuddyBryan/status/1728314626662691042,25/11/2023,Does anyone else have a weird purple/green line that runs down the right side of content on HBO Max? I’ve tried to fix it but idk what it is.,0,3,1,1728314626662691042,0
https://x.com/bweezybird/status/1721028055932842441,05/11/2023,"This is literally no issue with Netflix, Disney, Amazon, hbo",0,3,1,1721028055932842441,0
https://x.com/NotTheWritr/status/1727232977623818366,22/11/2023,@ImproperDepress Me breaking into HBO's house: u cowards I know how to fix it hire me,4,24,0,1727232977623818366,0
https://x.com/3NinjasPodcast/status/1722199820168007685,08/11/2023,"📣 New Podcast! ""Issue #255:Billie Eilish"" on @Spreaker #3ninjaspodcast #attackontitan #avengers #blackpodcast #blade #bungie #comedy #ct #drdoom #echo #hbo #jonathanmajors #loki #marvel #mcu #nerds #news #ps5 #sega #xbox https://t.co/n90Xi1adFY",3,2,0,1722199820168007685,0
https://x.com/Troy_Kingsbury/status/1722762414951661978,09/11/2023,"Saturday,Jan 4th,1986,9pm:I happened to turn to HBO just as a movie was about to begin.The classic Feature Presentation introduction had just begun and I stuck around to see what might be about to start..I had no idea what was waiting for me
Happy Birthday #NightmareonElmStreet https://t.co/xJsXnqrFoL",0,1,1,1722762414951661978,0
https://x.com/Lord_Marco_C/status/1730075524137971919,30/11/2023,"Rewatching The Flash on HBO Max, people definitely hated on this movie for no reason (unless your problem was with Ezra Miller as a person then fine) the movie itself is pretty good and the CGI is only a issue in about 2 scenes",0,2,0,1730075524137971919,0
