link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/_HausofEma/status/1710284066199929110,06/10/2023,I have 2 narrative features and feature  Doc about to drop all within days of each other. On HBO Max and BET+. I love that for me.,1,11,1,1710284066199929110,0
https://x.com/Jtaylor0_3/status/1717881685314814140,27/10/2023,Your digital footprint mainly consists of defending a feature length hbo max promo pls get serious,4,48,1,1717881685314814140,0
https://x.com/CreddieFacts/status/1711289958823006216,09/10/2023,iCarly has been trending for 6 days straight because you canceled it unfairly. It's never too late to fix this mistake. We want the show to be renewed or get a movie! @paramountplus #WeWantiCarlyS4 #iCarly #saveicarly @hulu @CBS @peacock @netflix @HBO @thomasryan @BrianRobbinsTV https://t.co/vRxpNO1dze,47,150,0,1711289958823006216,0
https://x.com/maiamindel/status/1709013038240518436,03/10/2023,PEARL AND TÁR COMING TO HBO MAX DREAM DOUBLE FEATURE https://t.co/XfpeHz41KI,1,8,0,1709013038240518436,0
https://x.com/CreddieFacts/status/1710709058326376472,07/10/2023,We could see Mrs. Benson help Carly fix her posture 🫣 #WeWantiCarlyS4 #iCarly #SaveiCarly @paramountplus @hulu @DisneyPlus @CBS @peacock @netflix @HBO @PrimeVideo @thomasryan @BrianRobbinsTV @tvline @seventeen @sweetyhigh @BuzzFeedCeleb @thr @enews @variety @PopCulture https://t.co/4jM7JCWe6q,14,27,0,1710709058326376472,0
https://x.com/spideytcrch/status/1716936216439070821,24/10/2023,the feature on hbo max where it’s a bunch of scary characters to choose from and then you have zak bagans https://t.co/VuhznocHBd,0,3,0,1716936216439070821,0
https://x.com/ThisIsLeAnne/status/1715122753362137095,19/10/2023,me because hbo max is doing nothing to fix the issue of not being able to watch the phillies play  https://t.co/ftv8rXqrNv,0,1,0,1715122753362137095,0
https://x.com/UConn_BleedBlue/status/1717017942766833992,25/10/2023,"That HBO feature on Hurley was amazing oh my god.

Puts life into perspective and makes you thankful for everyday",2,44,1,1717017942766833992,0
https://x.com/bolton69420/status/1714066720082534593,16/10/2023,in high school in the 90s i remember watching some movie on HBO where a dude wore an aloha shirt and did crimes and i think he had a substance abuse issue where he shit into ziplock bags he carried aroundin his jacket pocket... anyone know what that was called,1,20,4,1714066720082534593,0
https://x.com/noah_shumway/status/1716267895536161199,23/10/2023,Downgraded my Xfinity bc it was getting crazy. Since the Philly games have been on HBO Max I’ve not had an issue but tonight I’m back on good old crackstreams,0,2,0,1716267895536161199,0
