link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/magsonthemoon/status/1700989380666720302,10/09/2023,"I was just watching a clip of the brilliant @SusanneTrimbath from HBO’s Gaming Wall Street. 

I’m not sure retail investors grasp how deeply this issue with market plumbing impacts their lives, not just their stocks. 

Shareholder democracy is essentially a sham. Overvoting and…",26,162,11,1700989380666720302,0
https://x.com/BraydenSylva/status/1698518245794357285,04/09/2023,"Okay if I was given all rights &amp; authority of WB, these are some of the ideas I would do:

1. Fix DC &amp; maybe take a break to help launch.

2. Reboot the Matrix universe in an HBO show.

3. Shelve the Harry Potter show reboot.

4. Adapt Akira.

5. Greenlit original shows &amp; movies.",3,12,1,1698518245794357285,0
https://x.com/PAISLEYPARKCRIP/status/1703600455274602953,18/09/2023,HBO has a serious issue of canceling shows that the general public actual likes and keeping the boring shows on,5,11,1,1703600455274602953,0
https://x.com/QasimRashid/status/1701807194147090539,13/09/2023,"White supremacy in media &amp; society is a white woman with no medical training setting up a medical clinic in Uganda, killing hundreds of children, getting filthy rich, facing zero consequences—then getting a feature HBO documentary on how tough she had it😐
https://t.co/p6QdjOfci3 https://t.co/TBv2QGOooy",302,755,12,1701807194147090539,0
https://x.com/izzysboobs/status/1704990774461387078,21/09/2023,i'm sorry i'm still on this but why would u tell hbo lmao 😭😭😭 that ama person was most likely joking and even if they weren't and were just looking for clout just???? don't ask them anything????? i'm sorry correct me if i'm wrong but it just seems like a non issue to me 😭,0,22,3,1704990774461387078,0
https://x.com/mukiom16/status/1705240188866470285,22/09/2023,"Emma Seligman's &amp; Rachel Sennott's laught riot &amp; their second feature #Bottoms is out on VOD.

Shiva Baby (2020) - HBO Max
Bodies Bodies Bodies (2022) - Showtime
Bottoms (2023) - Available to rent/buy https://t.co/efXmO6MWmJ",0,7,1,1705240188866470285,0
https://x.com/mollydaremedia/status/1707861898119500142,29/09/2023,"Stay tuned for my Spotlight Feature with  NXIVM whistleblower Sarah Edmondson from HBO's ‘The Vow’ 

We cover insights on life inside the cult, how she got out, her thoughts on current cases in the news, Scientology, red flags to watch for and how she is now helping others to get… https://t.co/0EbmZv7bVB",0,10,1,1707861898119500142,0
https://x.com/phetus_jesus/status/1700612988456091828,09/09/2023,"hbo max has been pissing me off. anytime i pause a show for more than a minute, once i unpause it it’ll hop back anywhere from 10 secs to the beginning of the show😐 like fix ur shit ur a multimillion (maybe billion? idfk) dollar company",0,7,2,1700612988456091828,0
https://x.com/miserable_bond/status/1705173715669918078,22/09/2023,"idiots who will buy it will be the reason why disney, netflix, hbo also include this feature",0,2,1,1705173715669918078,0
https://x.com/bitoffanfiction/status/1700918694807830999,10/09/2023,"We cancelled our cable service, which means we currently do not have HBO (and my husband knows we need to fix this before OFMD S2). 

Today Husband used the term “wind in my sails” and I immediately asked if we had HBO. He said, “No, but I knew you would ask that.” 😂💀",0,10,1,1700918694807830999,0
