link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/JenniferRoseNYC/status/1689631570074779648,10/08/2023,Hulu won’t even let you restart the episode/movie without rewinding the whole thing. They need to fix that first…,16,130,2,1689631570074779648,0
https://x.com/YSLBEOMGYU/status/1688004617613836288,06/08/2023,AYOOOOO YOUTUBE HULU AND WEVERSE FIX YOUR SHlT,43,262,6,1688004617613836288,0
https://x.com/MileyEdition/status/1692923873669292173,19/08/2023,".@MileyCyrus’ new single ‘Used to be Young’ will feature a televised performance on ABC Aug 24 and will be available to stream on Hulu Aug 25 as part of the Backyard Sessions. 

- The song is expected to be sent to radio upon release. https://t.co/OztYL6pOzB",41,188,1,1692923873669292173,0
https://x.com/QasperQue/status/1690519974555619328,13/08/2023,"If @hulu @hulu_support negligence has affected your streaming capabilities today, let’s not let up pressure on them. They will ignore the issue and I don’t want this shit to blow over without repercussions. Hulu definitely owes us consumers SOMETHING. $100 a month for this shit",4,33,3,1690519974555619328,0
https://x.com/hiimbobbi/status/1693683578444411041,21/08/2023,"It’ll still be on Hulu but the problem is not contained to just OTGW. The issue is  the volatility of streaming and the elimination of physical media. Thats what I’m getting at here. 

Yes, of course, we can 🏴‍☠️ and we always have.",59,2087,2,1693683578444411041,0
https://x.com/omggirlTV/status/1689443560557285376,10/08/2023,are they gone fix them loud ass ads on hulu,0,5,0,1689443560557285376,0
https://x.com/grrlharsher/status/1690862986351538176,13/08/2023,when is @hulu gonna fix the loud ass commercials!!! 😭,0,7,2,1690862986351538176,0
https://x.com/TommyStarkMK18/status/1690549151413489664,13/08/2023,"How about fix what ever is going wrong with Hulu!?

#HuluIsDown #hulu #disneyplus #lame",2,5,1,1690549151413489664,0
https://x.com/RandoAlpaca79/status/1690516854291193856,13/08/2023,Does @Sling or @YouTubeTV have local channels available? Ezploring my options since @hulu @hulu_support can't fix the neverending loop we've been experiencing for the last hour and I'm missing #AEWCollision because of it......#hululive #hulu,5,43,15,1690516854291193856,0
https://x.com/DerekIsNormal/status/1689379237126340608,09/08/2023,"Explore tactics that will fix that terrible audio instead, girl. @hulu",2,13,2,1689379237126340608,0
https://x.com/BryanTeohMusic/status/1692566147252568174,18/08/2023,A film I worked on earlier this year was finally announced. I’m proud to have been able to help lead composer Nick Urata with some additional music for this feature. “Quiz Lady” will be available on Hulu Nov. 3rd. https://t.co/IIVRG3aZdr,1,11,1,1692566147252568174,0
https://x.com/KingMeat80/status/1690519480567222277,13/08/2023,"If @hulu_support tells me to restart my network to fix this live tv problem that’s keeping me from watching football, ima cancel their garbage services. Preseason or not #huludown",5,42,1,1690519480567222277,0
https://x.com/kokocups/status/1696793835605823936,30/08/2023,"The Welcome Back to LA banner made a feature in the NCT 127 Hulu documentary! Thank you to the fan(s) for giving the banner a spotlight!!

It's so heartwarming to see the project I did become a ""forever"" thing now 💚

#우리의로스트보이즈_우리칠 
#UrichilInNeverland #NCT127 https://t.co/q7VGboF6GK",6,44,0,1696793835605823936,0
https://x.com/FXNetworks/status/1692174450488479958,17/08/2023,‘How To Fix a Pageant’ explores the scandals plaguing the Miss USA Pageant. The latest documentary from The New York Times Presents premieres September 29 on FX. Stream on Hulu. https://t.co/BqBLp724sb,14,92,1,1692174450488479958,0
https://x.com/AnfaniVincent/status/1690593722910527488,13/08/2023,I need you to fix these errors or don’t charge me. @hulu @hulu_support This is ridiculous. https://t.co/mqTE9ocZUH,2,3,0,1690593722910527488,0
https://x.com/bridgetallen915/status/1690502853641601024,12/08/2023,"Hey @hulu fix your shit. I'm trying to watch the @Eagles.

Also, go birds.",1,24,1,1690502853641601024,0
https://x.com/PFlat2/status/1690518393420410880,13/08/2023,"Welp Hulu Live is down. I pay waaaaaay too much for this for it to not work. 

I don't really care too much rn (although watching NFL would be cool while my wife is gone) but they better fix this before CF or I will definitely be out",1,27,3,1690518393420410880,0
https://x.com/Arnold_AtMovies/status/1693829375865565258,22/08/2023,#RyeLane is 2023’s hidden gem. I should not have waited this long to watch it. Director Raine Allen-Miller’s feature directorial debut is such a charming rom-com. Actors David Jonsson and Vivian Oparah will melt your heart away. Watch it on Hulu. 🧡🎬 — Arnold At The Movies https://t.co/ZdEuJcN6gR,0,17,1,1693829375865565258,0
https://x.com/PokeV3t/status/1690520223118442496,13/08/2023,Anyone else having this issue right now? Wtf @hulu @AEW https://t.co/KtAJoYrU3x,0,4,2,1690520223118442496,0
https://x.com/akuma_river/status/1690509027606671360,12/08/2023,"@hulu_support 

You got a major issue with your live TV programming. 

Can you fix it fast? My dad wants to watch the Astros play!

#HuluDown #Hulu https://t.co/UWlTFxzlRn",2,25,4,1690509027606671360,0
https://x.com/joshtweito/status/1690508317234278401,12/08/2023,Please help @hulu_support braves game won't work on FOX. My 3 boys and I have been looking forward to this all day. Please fix,1,5,2,1690508317234278401,0
https://x.com/OfficialOutTree/status/1690509328090869760,12/08/2023,#Hulu #HuluLiveTV fix the Ravens game now or give us a refund for this month.,3,4,0,1690509328090869760,0
https://x.com/hecticscene/status/1690531131865841665,13/08/2023,. @hulu_support @hulu is the worst tv service to use. It’s live tv has been down for 2 hours and they have not fixed the issue…,0,11,1,1690531131865841665,0
https://x.com/RandoAlpaca79/status/1690515432380289024,13/08/2023,"Love an answer on this @hulu @hulu_support I'm paying too much for your service to have to watch the same 35 seconds of a movie over and over, missing @AEW's broadcast of #AEWCollision tonight - fix your shit #Hulu",1,20,1,1690515432380289024,0
https://x.com/edsbs/status/1692221521425531284,17/08/2023,If you haven’t watched Shoresy season 1 on Hulu fix that,5,140,5,1692221521425531284,0
https://x.com/JamesKavcak/status/1690503699032948736,12/08/2023,@hulu_support fix your NBC10 stream for the Philly area,2,19,7,1690503699032948736,0
https://x.com/soniakn1010/status/1688224974488641537,06/08/2023,2 minutes cut from hotstar and hulu were for Car advertainment.Shooted on Kairav and Muskaan for grey car. He explained every feature to Muskaan..There was nothing like that u expected. Sorry to break your bubble    #yrkkh,2,13,2,1688224974488641537,0
https://x.com/smileystylist/status/1690573874407116800,13/08/2023,"TV Thoughts: So, I really enjoyed Hulu's Dopesick. Netflix's Painkiller is clearly a different approach to the issue. So far, I'm not hating it. The humor, soundtrack, flashbacks ... it's all very rock and roll-ish. Much glossier. #Painkiller #Dopesick https://t.co/P3QNeIF40C",0,3,0,1690573874407116800,0
https://x.com/WhiskeyMan84/status/1690577063550300162,13/08/2023,"Get off your asses and fix the issue. No updates from you says a lot about your customer service and what you think of your customers.

#Hulu #HuluDown @hulu_support @hulu @Disney",0,9,1,1690577063550300162,0
https://x.com/lasergeek2000/status/1690512737212723200,12/08/2023,Hey @hulu your service that costs me $80 a month is broken. Can you kindly fix it so I can watch the #Phillies? Thanks. #Hulu,0,12,2,1690512737212723200,0
https://x.com/CyndianaSports/status/1690525797411348480,13/08/2023,"Hey @hulu, I can’t tell you how much I’m enjoying watching a black screen instead of the Eagles/Ravens game, but can you please fix this? Thanks 🤗",1,17,4,1690525797411348480,0
https://x.com/Slawson0601/status/1690513428933230592,12/08/2023,Hey @hulu @hulu_support fix your stuff. Nobody is able to stream currently.,1,4,0,1690513428933230592,0
https://x.com/BrainsForDinner/status/1690521372852621312,13/08/2023,"Remember when streaming services were the answer against overpriced and terrible cable packages and companies?

Anyway, looks like I’m not watching AEW tonight. Thanks Hulu! Clearly you need that price hike since you can’t fix your live tv service. Great timing.",0,3,1,1690521372852621312,0
https://x.com/Nifts2/status/1690530823710117888,13/08/2023,@hulu @hulu_support I understand sometimes services go down but at least acknowledge that it your fault and that you're working on a fix rather than telling us to disconnect our devices and restart our modems #hulu #huludown,3,32,1,1690530823710117888,0
https://x.com/TheRealestJMJ/status/1690591271881252864,13/08/2023,"I’ll join the @hulu_support chorus and say what the fuck, @hulu fix your shit. Love being down half a day is unacceptable. You just released a plan to raise rates, again, without added benefits, and now fuck over paying members who want to watch live sports or shows.",1,5,2,1690591271881252864,0
https://x.com/ClarkeNoKent/status/1693674285787677164,21/08/2023,"Hulu, Peacock, and Netflix are not working on all vpns! Are you going to fix soon?? @expressvpn",0,0,0,1693674285787677164,0
https://x.com/stankrizzo/status/1690504727828590592,12/08/2023,@hulu Fix the Eagles game please,0,28,3,1690504727828590592,0
https://x.com/famucutie/status/1690508735074942976,12/08/2023,@hulu @hulu_support excuse me but I DO NOT PAY over $75 a month for my live tv or anything pretty much dealing with Hulu not to work!!!!!!! FIX IT NEOWWWWWW sincerely a pissed off customer 🤬#Hulu,3,23,1,1690508735074942976,0
https://x.com/sas0902/status/1690502419493302272,12/08/2023,@hulu @hulu_support why is live TV glitching when all we want to do is watch football? Fix it.,1,8,1,1690502419493302272,0
https://x.com/vicki_creekmore/status/1691760522150957319,16/08/2023,@hulu_support Our Hulu is not showing MSNBC this morning. Please fix .,0,5,2,1691760522150957319,0
https://x.com/yourfriendrober/status/1690522747997130752,13/08/2023,"Hey @hulu @hulu_support fix your service please. I’m trying to watch #AEWCollision and I’m stuck in an infinite loop of the same 30 seconds of John Cena in Suicide Squad. He’s not the childhood wrestling hero of mine I was planning to watch tonight, I was hoping for @CMPunk.",0,6,2,1690522747997130752,0
