link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/zennezuduaghter/status/1736417215509885286,17/12/2023,"a special Demon Slayer episode to celebrate Nezuko conquering the sun! This anime original will feature Tanjiro and friends in a fun filler episode airing next week on Crunchyroll, Hulu and Netflix! https://t.co/z1EbC2jA9m",81,802,41,1736417215509885286,0
https://x.com/MELSHUB/status/1735811165681332562,15/12/2023,"""iHeartRadio Jingle Ball 2023"" holiday special that will feature performances from SZA, Olivia Rodrigo, Sabrina Carpenter, Melanie Martinez, and many more 

will air Thursday, Dec. 21 (8:00-10:00 p.m. EST), on ABC and available on Hulu the following day. https://t.co/nXB9NFHfuK",47,533,9,1735811165681332562,0
https://x.com/MangaAlerts/status/1732766331739484334,07/12/2023,"Attack on Titan, JoJo’s Bizarre Adventure, Sailor Moon, and Kill la Kill are now showing up on Disney+ (USA Only)

This is because of the new “Hulu Hub” feature now allows you to view Hulu Movies &amp; Animated shows without having to switch over to the hulu app

If you’re subscribed… https://t.co/hRUtOzU5Lt",53,305,21,1732766331739484334,0
https://x.com/FrightYa/status/1736616455918190656,18/12/2023,"Join #FrightClub and tweet along Monday's feature, The Apology (2022), at 10:00 PM ET.  Available on Shudder &amp; Hulu.

Someone might choose violence. https://t.co/xZf30yas3o",7,11,2,1736616455918190656,0
https://x.com/_DE_VO_/status/1732177166744338942,05/12/2023,Need a Netflix Hulu documentary double feature,0,5,0,1732177166744338942,0
https://x.com/MyGyalConsultin/status/1739135978629943337,25/12/2023,"If you need a @deoncole fix this holiday season, might I suggest the following?

It's on Hulu 
95 minutes
Don't watch with children. https://t.co/9GW4bf62wo",1,5,0,1739135978629943337,0
https://x.com/PKPlayerOne/status/1737663301331357827,21/12/2023,"Jake Johnson ‘#SelfReliance’ Movie To Play Theaters One Night Before Hulu

“The comedy-thriller will screen as part of a one-night stunt event in EXCLUSIVE PARTNERSHIP with #AMC Theaters at 225 locations, and feature 10 min behind-the-scenes discussion”

https://t.co/zsqOjol0Wf",18,38,1,1737663301331357827,0
https://x.com/hope_terror/status/1730406291426672715,01/12/2023,"Mark Jenkins' ENYS MEN--2022 now on Hulu--harks back to the spirit and style of 70's classics, such as, THE WICKER MAN and DON'T LOOK NOW, with its hypnotizing scenes and mysterious storyline. 

These three together would make for an excellent triple feature. https://t.co/XqfKQi1w0I",1,15,1,1730406291426672715,0
https://x.com/thtprettymfka/status/1732921544244941241,08/12/2023,"i need hulu to get a ""skip intro"" feature ASAP",0,2,1,1732921544244941241,0
https://x.com/xXx_ImDOPE_/status/1731049323603849417,02/12/2023,HULU NEEDS TO FIX THEIR DAMN SUBTITLES,0,2,1,1731049323603849417,0
https://x.com/ladylu5/status/1739810782269800863,27/12/2023,And yet still not  on streaming services. @netflix @DisneyPlus @peacock @hulu fix it. Now.,1,3,0,1739810782269800863,0
https://x.com/jessicalynn823/status/1730609963142140166,01/12/2023,Where the heck is the #goldenbachelorfinale on @hulu ?!? @ABCNetwork please fix this #GoldenBachelor,1,8,0,1730609963142140166,0
https://x.com/PPrice_Cares/status/1737331183023988998,20/12/2023,".@Chrisjonesmom17, help us understand how 25 years for 2 guys who apparently didn’t fire the gun wouldn’t be considered holding them accountable? And why not find issue with OPD who actually let the guy who did fire the gun go? Is it because you were in a Hulu ad with OPD? https://t.co/Qv1nKl5ONv",2,3,0,1737331183023988998,0
https://x.com/MissNerdyCurvy/status/1737573337025409523,20/12/2023,YOU BETTER FIX THIS @hulu https://t.co/7tRIM8ympV,0,5,2,1737573337025409523,0
https://x.com/MisfitsLDN/status/1730616076684124370,01/12/2023,"We sold our film to Hulu! 👏🔥❤️

Misfits are proud to announce that Hulu has acquired worldwide rights (excluding Japan, U.K., and Canada) to our acclaimed documentary feature film “The Contestant,” which premiered at the Toronto International Film Festival this year. https://t.co/AoF8UDe8cz",1,6,0,1730616076684124370,0
https://x.com/anokaycowboy/status/1734364257175675222,12/12/2023,Starting Snowfall on hulu could fix me,0,1,1,1734364257175675222,0
