link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/spidermannwh/status/1620226900475146240,31/01/2023,.@hulu WHAT’S UR FUCKING ISSUE,4,65,3,1620226900475146240,0
https://x.com/Mr_R3NT3RIA/status/1612617369704357889,10/01/2023,@ADAMDEVINE Could you try and take it to netflix and or Hulu? If P+ gave you the ok I'm assuming it would be a rights issue trying to take it somewhere else. https://t.co/BKqqdVWHgo,0,17,2,1612617369704357889,0
https://x.com/problemsthots/status/1609791476480856066,02/01/2023,switched from hulu tv to youtube tv cause of the 4k feature. https://t.co/ujJjANyJHh,0,6,1,1609791476480856066,0
https://x.com/Deku_AllMight16/status/1615888016471461895,19/01/2023,Fuck you @hulu for corrupting my episode of #GeneralHospital today. Fix it now. https://t.co/yjiqUkBCxF,2,6,2,1615888016471461895,0
https://x.com/thesaltedtable/status/1616299298756476928,20/01/2023,"Hulu’s user interface is pure trash.
🤌🏾🗑️ I tell you. Garbage. Fix it @hulu https://t.co/3RLlPprpNQ",1,9,1,1616299298756476928,0
https://x.com/33kindsofcrazy/status/1614749279331168256,15/01/2023,Fuck you @hulu Your shit stops working during the Giants game?  The only reason we even pay you is for LIVE football. FIX YOUR SHIT,1,8,0,1614749279331168256,0
https://x.com/joeythynewrites/status/1613974284707168273,13/01/2023,"Miles Warren on @letterboxd, @WORLDSTAR, @hulu, ""Moonlight,"" Alabama, toxic masculinity and his fantastic feature debut ""Bruiser."" @SunValleyFilm
https://t.co/CrAiUGGmIY",0,5,0,1613974284707168273,0
https://x.com/jacq20/status/1618895933902819329,27/01/2023,"@CBR Any platform wanna fix the bird's mistake? 
#VaFandomIsTooHot #SaveVampireAcademy @hulu @PrimeVideo @AmazonFreevee @paramountplus https://t.co/wLq6ekJqIa",3,16,0,1618895933902819329,0
https://x.com/Da_Place2B/status/1618760130291695618,26/01/2023,"#OLEWTV2➡️24/7: @JimmyKimmelLive @OLEWTV2
FEATURE➡️⬅️GUEST #EddieMurphy Next Day @hulu https://t.co/F5UXqky892",5,6,0,1618760130291695618,0
https://x.com/lukeknash/status/1611213129945387012,06/01/2023,Favorite Hulu feature is having to scroll 5 rows to get to Continue Watching,0,8,1,1611213129945387012,0
https://x.com/the_shelll/status/1610034729155182593,02/01/2023,What is Joe Biden's plan to fix the volume difference between show and ads on hulu???,0,9,1,1610034729155182593,0
https://x.com/OverdoseOnKiA/status/1617317979775193089,23/01/2023,Hulu is the only app that always has a nEtWorK cOnNeCtIon issue 😑,0,3,0,1617317979775193089,0
https://x.com/stlrsgyrl/status/1615902254980104206,19/01/2023,"Hey, @hulu_support what is up with todays episode of @GeneralHospital?? I can’t watch. Am I the only one with this issue? https://t.co/hdWw0u8PzW",1,9,2,1615902254980104206,0
https://x.com/MasliMohamed/status/1610447969572261889,04/01/2023,"I am looking for a film producer, I have two films, documentary film and the other feature film from Libya. 
@AppleTV @HBO @PrimeVideo @netflix @hulu @BarackObama @ParamountPics @ParamountMovies https://t.co/JiNkYPfqZO",7,15,5,1610447969572261889,0
https://x.com/SUCCESSlON/status/1618647216276787202,26/01/2023,UR TURN @hulu ANNOUNCE THE GREAT SEASON 3 AND LET’S DO A MARCH DOUBLE FEATURE THAT SAVES TELEVISION,0,5,1,1618647216276787202,0
