link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/Kamikaze601/status/1665098876939026432,03/06/2023,"Ya know. It's crazy. I just finished watching the 1st ep. of ""Searching for Soul Food"" on Hulu that highlighted JXN &amp; Natchez. The food, the heritage, the history...

&amp; I'm wondering..again..HOW. IN. THEE. HELL. you can be from Mississippi &amp; fix your mouth to sh*t on your state.",13,77,3,1665098876939026432,0
https://x.com/squishy__irl/status/1668052799425245184,12/06/2023,if you don’t fix the volume discrepancy between shows and commercials…we’re going to die in a tornado @hulu @hulu_support https://t.co/sLbZALmvev,1,9,1,1668052799425245184,0
https://x.com/FrightYa/status/1668865158305972224,14/06/2023,"Join #FrightClub and tweet along Wednesday's feature, Spiral: From The Book Of Saw (2021), at 10:00 PM ET. Available on Hulu. 

I want to play game... https://t.co/hAZIwQgOYw",8,18,0,1668865158305972224,0
https://x.com/FrightYa/status/1672858035725963266,25/06/2023,"Join #FrightClub and tweet along Sunday's feature,  Infinity Pool (2023) , at 10:00 PM ET. Available on Hulu. 

Help fill this pool https://t.co/plkTOZCvOL",7,11,1,1672858035725963266,0
https://x.com/FrightYa/status/1670660176876277763,19/06/2023,"Join #FrightClub and tweet along Monday's feature, Jagged Mind (2023), at 10:00 PM ET. Available on Hulu.

Your mind is not playing tricks on you. Or is it? https://t.co/QefMDoSh4E",7,16,0,1670660176876277763,0
https://x.com/SociallyInenpt/status/1665324752515510272,04/06/2023,"Hulu fix your shit. Why, when you’re watching a show through for the 2nd+ time, do episodes start in the middle? Is this just me?",0,5,2,1665324752515510272,0
https://x.com/BrightlyAgain/status/1667214438334644236,09/06/2023,"#LisaVanderpump Set To Produce New Hulu Series Vanderpump Villa
Lisa Vanderpump is not staying off of TV as she is now set to produce a new unscripted show on Hulu, which will feature the staff of her French villa.
https://t.co/yAOR9jnrLC",3,46,6,1667214438334644236,0
https://x.com/rickysgroove/status/1674844649775562785,30/06/2023,Hulu recommending me secret chef right after I finish the bear cuz I need my cooking fix https://t.co/cHOXWVmGD9,1,2,0,1674844649775562785,0
https://x.com/DEADLINE/status/1674496934336163843,29/06/2023,".@hulu has acquired the U.S. rights to Jake Johnson’s feature directorial debut Self Reliance, in a competitive deal with MRC and Paramount Global Content Distribution https://t.co/MC0cDTKgbD",41,217,2,1674496934336163843,0
https://x.com/Missdayya/status/1673708731198996481,27/06/2023,"@hulu @hulu_support I would like to watch the new bachelorette, can you fix please https://t.co/r1y2W13o4g",0,5,1,1673708731198996481,0
https://x.com/that_tara_girl/status/1673716713496489984,27/06/2023,@hulu It’s 11:34am EST and The Bachelorette is still showing “0 seconds” Fix this pleaseeeee @hulu_support @hulu https://t.co/72e2RTlPeY,0,10,3,1673716713496489984,0
https://x.com/Biebswife218/status/1664073770057752576,01/06/2023,"If i have one more damn fucking problem with Hulu about my password that i have to change it 20 times a day bc it keeps saying we cant log you in im gonna flip shit. Fix your fucking app, website all the above. Its annoying that i pay for this and have to fix it everyday",0,4,1,1664073770057752576,0
https://x.com/5headreina/status/1670188188806029314,17/06/2023,Hulu already has the audacity to have so many commercials the least they could do is fix the commercials being 7x as loud as the show you’re watching,1,7,0,1670188188806029314,0
https://x.com/beast_trash/status/1674383477154762754,29/06/2023,me wanting to watch season 2 of the bear but hulu has yet to fix that glitch ios that doesn’t let you full screen when your iphone is in portrait lock. https://t.co/CRvbOkpUS0,0,3,1,1674383477154762754,0
https://x.com/NorthernSoapFan/status/1665194200822939649,04/06/2023,"Issue with #GH is that while the show needs a fresh set of eyes with a new EP and new head writers, Frank has kept the lights on. Has dark weeks, the deal with Hulu, he's, in a lot of ways, responsible for the show staying on air, but it's barely treading water of late.",0,23,6,1665194200822939649,0
https://x.com/cowgirl_bebop/status/1666432058267258883,07/06/2023,"Dude went to work, had lunch at home (!!!), played with his dog, was off by 4:30, worked out, and watched Hulu at his nice house. Oh, and shot a TikTok covering the whole day.

What's the issue?",0,41,6,1666432058267258883,0
https://x.com/RealJLorraine/status/1665135798000181248,03/06/2023,"Turned on Hulu, started a movie, first commercial is the T-Mobile pride commercial, followed by a commercial for LYBALVI, a drug for people with bipolar 1. It's a nice break from all the AIDS ads that feature black gay couples and overweight white women. https://t.co/HaP1hEZx1V",0,3,0,1665135798000181248,0
https://x.com/Spider_John01/status/1673087707172536320,25/06/2023,"I know I'm probably preaching to the choir here, but if you haven't watched 'The Bear' on Hulu you need to fix that immediately!

#TheBear #TheBearFX",0,2,0,1673087707172536320,0
https://x.com/JeffSparks32/status/1670567984614572035,18/06/2023,"Hulu's coverage of #Bonnaroo continues to be a great feature on the service. Loving this set from Men I Trust. Not an artist I'm familiar with but I am now thanks to Hulu
#HuluHasLiveMusic",0,2,0,1670567984614572035,0
https://x.com/BrianBaranyi/status/1673494726098530304,27/06/2023,Hey @hulu_support why don’t you fix your “resume episode” function that has literally never worked?,0,7,3,1673494726098530304,0
https://x.com/anjelickers/status/1671946698606739459,22/06/2023,But you can't have Nine Perfect Strangers without Frances tho. Hulu fix this shit.,0,2,1,1671946698606739459,0
https://x.com/Nillard/status/1668688849990459393,13/06/2023,"My biggest issue with streaming isn't even how hard it is. It's more of

-I'd like to watch Scrimblo's Adventure from 2001
-Not on Netflix, Hulu, Amazon, etc
-Google ""Scrimblo Adventure Streaming""
-It was on Hulu. Two years ago. The license ran out.
-No choice but to find torrent",0,1,1,1668688849990459393,0
https://x.com/club_wrestling/status/1670824571509825536,19/06/2023,Catching up on love island on Hulu and I’m feeling bad for Molly. Why is everyone thinking she needs to like Mitch? I can’t understand their issue with her and Zac’s relationship. #LoveIsland #Hulu,0,4,0,1670824571509825536,0
https://x.com/sepinwall/status/1668605921310769154,13/06/2023,"FX on Hulu's #TheFullMonty sequel series doesn't feature another striptease, but it's a charming look at how guys like Gaz and Dave would be doing in an even tougher economy. My review: https://t.co/cAk0v8wqUc https://t.co/Cd7AvSHRts",11,68,3,1668605921310769154,0
https://x.com/ratboyjames/status/1673537019425988609,27/06/2023,yo @Xfinity fix my fucking wifi im tryna upload this podcast and watch the bear on hulu,0,13,1,1673537019425988609,0
https://x.com/swiff/status/1674880703647870976,30/06/2023,Still geeking out over Best Served Cold being made into a feature film. Market it as “Kill Bill meets Game of Thrones” and then green-light a First Law prequel series on Hulu and we’re set. 6-8 complete seasons already mapped out. Here’s hoping,1,4,1,1674880703647870976,0
https://x.com/MattSteen9/status/1668727914228056065,13/06/2023,@DudespostingWs @hulu you tryin to let me fix that bug with your Disney plus bundle that makes me create a new password every time I try to login? Your support told me about the bug in January…,2,676,3,1668727914228056065,0
https://x.com/LifeIsAFilmFest/status/1673078343124615168,25/06/2023,"For horror fans, Shudder and AMC+ have Irish creature feature UNWELCOME this weekend. BARBARIAN, which was one of last year’s best horror movies, was also added to Hulu today. It is still on Max as well.

#horror #Unwelcome #HorrorMovies #Shudder #AMCPlus #Barbarian https://t.co/o3oX3ktomq",0,4,0,1673078343124615168,0
https://x.com/mikulaja/status/1672320879584223233,23/06/2023,"WhatsApp is running commercials on Hulu, trying to convince average users that encryption is an important feature they should care about",2,11,2,1672320879584223233,0
https://x.com/SUPPAFREAK_ME/status/1673691463400472579,27/06/2023,@hulu fix yall shit I wasn't able to watch it last night and now it's posted with only 0 sec watch time like wtf #bachelorette https://t.co/8OlynPjN3c,0,7,2,1673691463400472579,0
https://x.com/DrewskyBrewsky/status/1669568554965024768,16/06/2023,@hulu please fix ur @Bonnaroo livestream thx,2,4,2,1669568554965024768,0
https://x.com/TheGoldenHart/status/1669538374703513601,16/06/2023,"Hey @hulu and @hulu_support could you STOP ENDING THE EPISODES OF @alwayssunny BEFORE THE CREDITS EVEN ROLL?!?! Seriously, your app on the website auto-plays the next episode IN THE MIDDLE OF DIALOGUE BEFORE THE EPISODE IS EVEN OVER, FIX IT!",0,2,1,1669538374703513601,0
https://x.com/thefilmagazine/status/1674794930508800001,30/06/2023,"Jake Johnson's feature directorial debut 'Self Reliance' has been acquired by Hulu. The streaming service will debut the film as a Hulu Original on 8th September.

Johnson wrote the film and stars alongside Anna Kendrick and Andy Samberg, among others including Christopher Lloyd. https://t.co/nIrsVFC4Qz",1,5,0,1674794930508800001,0
https://x.com/spooloflies/status/1669914359399686144,17/06/2023,"Hulu helpfully tells me exactly where I left off last time I was watching X-Files but it doesn't help situate me in the mytharc, which is a feature i WOULD pay for.",0,32,2,1669914359399686144,0
https://x.com/FilthySpecs/status/1672790877796966401,25/06/2023,Is the USMNT audio commentary like a good second or two ahead of the video for anyone else? Or is that a Hulu Live issue?,0,3,1,1672790877796966401,0
https://x.com/celinabelina/status/1673705565183156224,27/06/2023,"Remember when Netflix couldn’t fix the Love Is Blind live reunion and other streaming services made fun of them? Well, how @hulu is glitching and I can’t watch the Bachelorette",0,3,1,1673705565183156224,0
https://x.com/Stupacabra/status/1673968492876378116,28/06/2023,"I have never seen a show tank so abruptly in quality than the attempts to bring back Futurama. The ""movies"" are terrible. The Comedy Central episodes are no better.

The Hulu episodes, these dregs of the dregs, will feature its *fifth* finale. Please just stop.",0,11,1,1673968492876378116,0
https://x.com/HEROESnVILLAINS/status/1669554498237513728,16/06/2023,"“Jagged Mind!!!” is out NOW on Hulu!!!🤩

Allyson Morgan’s new feature film premiered at @ABFF last night🔥

#JaggedMind #ABBF #americanblackfilmfestival #hulu https://t.co/kjZGWR1tsA",1,5,1,1669554498237513728,0
https://x.com/dbrailzzz/status/1672081812590325760,23/06/2023,Y’all need to fix y’all hulu parties to where everyone with the same kind of plan has ads at the same time @hulu. This is annoying.,0,2,1,1672081812590325760,0
https://x.com/heartdnghyn/status/1673719555762401280,27/06/2023,@hulu can y’all fix the bachelorette??,0,2,1,1673719555762401280,0
https://x.com/emeraldappul/status/1664649807460200448,02/06/2023,"@Cybershell @powkazter what i noticed on Max is that they used the broadcasting master copies for the episodes instead of the iTunes/Hulu masters, which is why they look so awful. gumball has the same issue as there are multiple episodes where the intro is shortened just like on TV.",3,133,2,1664649807460200448,0
https://x.com/MrMattDanger/status/1666248489754591232,07/06/2023,Hey @netflix and @hulu I'll fix it for you: no one wants hear it make sound unless they fucking click on it first,1,3,0,1666248489754591232,0
