link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/PopCrave/status/1636425242230001665,16/03/2023,"Demi Lovato set to make her directorial debut with a Hulu original feature documentary about former child stars, DEADLINE reports. 

The film looks to “deconstruct the highs and lows of growing up in the spotlight.” https://t.co/HWgVuDsnTq",652,4722,154,1636425242230001665,0
https://x.com/FilmUpdates/status/1636432571364962304,16/03/2023,"Demi Lovato is making her directorial debut with a Hulu original feature documentary about former child stars.

The film will “deconstruct the highs and lows of growing up in the spotlight through the lens of some of the world’s most famous former child stars.” https://t.co/dYJWNjxZw2",234,1955,36,1636432571364962304,0
https://x.com/MegansStats/status/1640404597482176525,27/03/2023,"Megan Thee Stallion's episode for Hulu’s upcoming ‘RapCaviar Presents’ docuseries is called ‘Money, Power &amp; Respect’

— The episode will also feature the City Girls, Saweetie, &amp; Rapsody https://t.co/dwhUIhYpYS",58,374,1,1640404597482176525,0
https://x.com/DiscussingFilm/status/1636425027124879360,16/03/2023,"Demi Lovato is going to co-direct a documentary about child stardom for Hulu.

The documentary will focus on the highs and lows of child stardom. Lovato will share their own experiences &amp; the doc will also feature interviews with other child stars.

(via: https://t.co/UmkZEcW9fS) https://t.co/7eOzFixnQD",304,2654,55,1636425027124879360,0
https://x.com/ronreup/status/1638630213306179585,22/03/2023,"and then they used that tired azz meg gala pic like @hulu wtf is your issue? we ain’t forgot about essence either 

https://t.co/w2GS5hlVCe",10,417,1,1638630213306179585,0
https://x.com/theashleyray/status/1636137315289661441,15/03/2023,"new Dueling Docs!! I compare netflix’s Money Shot: The Pornhub Story and hulu’s Selling Sexy: OnlyFans

These two docs work better as a double feature than individual projects if you want the whole story!

https://t.co/7MKS7JlDFd",2,44,0,1636137315289661441,0
https://x.com/Monte_Colorman/status/1641626019340615682,31/03/2023,"Hundreds of Bally Sports Plus customers just realized that their subscriptions don’t include @CleGuardians games.

Nor can folks with Dish, YouTubeTV, or Hulu watch the team.  

Thousands of disappointed fans.

Fix this, @MLB and @BallySportsCLE.  

It’s just bad business.",184,1087,97,1641626019340615682,0
https://x.com/_ChristopherM/status/1631422565712379905,02/03/2023,"Disney isn't going to give up it's stake in Hulu for Hulk/Namor, that is fucking insane. You have to consider how Hulu is both in a symbiotic relationship by providing original content to Disney+ internationally and is a streaming platform 20th Century Studios feature films",9,41,3,1631422565712379905,0
https://x.com/FrightYa/status/1639883882446340096,26/03/2023,"Join #FrightClub and tweet along to our Sunday night feature, Splinter (2009) at 10:00 PM ET. Available on Prime and Hulu. 

This is going to hurt a little. https://t.co/agxb4qwu3H",7,14,3,1639883882446340096,0
https://x.com/fisayoxo/status/1633351652416667648,08/03/2023,"Hulu gotta fix their commercials. Volume be set to 30, commercials be on 80.",1,10,0,1633351652416667648,0
