link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/CanWeGetToast/status/1727548870622597121,23/11/2023,"Official new look at ‘ECHO’ from the January 2024 issue of Empire Magazine. 

All 5 episodes for Marvel’s first TV-MA series will premiere on January 10 for both Hulu and Disney+. https://t.co/GCZl4gKpWt",190,2406,25,1727548870622597121,0
https://x.com/FrightYa/status/1726825390352863734,21/11/2023,"Join #FrightClub and tweet along Tuesday's feature, Pilgrim (2019), at 10:00 PM ET. Available on Hulu.

Survive the carving 🔪 https://t.co/MSqXYbjmrl",6,11,1,1726825390352863734,0
https://x.com/FrightYa/status/1725029474759229478,16/11/2023,"Join #FrightClub and tweet along Thursday's feature, A Haunting in Venice (2023), at 10:00 PM ET. Available on Hulu.

Lurk in the shadows and truth will reveal itself 🔎 https://t.co/cSbDz6jZLi",9,10,1,1725029474759229478,0
https://x.com/SirDanMagic1/status/1727419946039439380,22/11/2023,"""One more confident time!""
#BobiWineThePeoplesPresident has been nominated for Best Feature Documentary at the #IDADocAwards
A timely story about Uganda's ongoing fight for democracy, stream this acclaimed documentary now on Hulu and Disney+ https://t.co/PDtUaTEriM",72,315,6,1727419946039439380,0
https://x.com/JustOneMeg/status/1720229054169731134,02/11/2023,@hulu_support Fix it! (Please) #TORvsBOS https://t.co/F27UsJ6C3p,2,8,2,1720229054169731134,0
https://x.com/GovernorMorgans/status/1728727223434158311,26/11/2023,"""One more confident time!""
#BobiWineThePeoplesPresident has been nominated for Best Feature Documentary at the #IDADocAwards
A timely story about Uganda's ongoing fight for democracy, stream this acclaimed documentary now on Hulu and Disney+ https://t.co/In7JQqOdUf",19,111,1,1728727223434158311,0
https://x.com/basedaleja/status/1728153702752502098,24/11/2023,One thing about Colombia…. Y’all need to fix this hulu &amp; HBO streaming situation asap,0,13,2,1728153702752502098,0
https://x.com/natgeodocs/status/1720145820484264220,02/11/2023,"BEST FEATURE DOCUMENTARY
BEST EDITING
BEST DEBUT DIRECTOR - DOCUMENTARY

#BobiWineThePeoplesPresident has received three #BIFA2023 nominations!
Now streaming on @hulu and @disneyplus. https://t.co/Eyq8lozTzy",317,1516,53,1720145820484264220,0
https://x.com/roadmapwriters/status/1725590995751051507,17/11/2023,"Congratulations to our 366th writer signed through our introductions, Tate Hanyok! 👏🥳 

Previously, Roadmap helped set up her comedy feature, SEX APPEAL, at American High and Hulu. 🎉

#WritingCommunity #RoadmapWriters #amwriting https://t.co/X0gRsRzL9X",5,75,7,1725590995751051507,0
https://x.com/AwwTootToot/status/1725319585585369195,17/11/2023,"If it wasn’t for this audiobook feature, I would have cancelled them this week! Worst algorithm outside of Hulu",1,1,1,1725319585585369195,0
https://x.com/One_PiusJadwar/status/1720156241865953548,02/11/2023,"BRITISH : The documentary, “ Bobi Wine the people’s president” has received 3 #Bifa2023 , @BIFA_film Nominations which includes,

- Best feature documentary.
- Best editing.
- Best debut documentary.

The film is also streaming on @hulu and @disneyplus 🔥

Labisa mulisa🔥 https://t.co/anbRva0TyN",36,145,0,1720156241865953548,0
https://x.com/FoodieCatLady/status/1720257347719700936,03/11/2023,I’m getting so many insane Issue 1 commercials this week on Hulu! https://t.co/2r18TYNwAQ,0,3,0,1720257347719700936,0
https://x.com/sl1ghtlyunreal/status/1719543078556438824,01/11/2023,hulu wants to fix my erectile dysfunction so bad,0,3,0,1719543078556438824,0
https://x.com/RJ_W27/status/1720225472905199863,02/11/2023,Why is hulu not loading the leafs bruins game rn? Anyone else having this issue?,0,14,6,1720225472905199863,0
https://x.com/thebehindfeline/status/1728339462764323026,25/11/2023,my all time favorite feature of hulu is how they literally haven’t changed a single thing about their just stellar user interface since 2013. A+ guys you really know how to make em,0,6,0,1728339462764323026,0
https://x.com/DukeRamjam/status/1720613830806401128,04/11/2023,"Dear @hulu

The ads are louder than the actual programs. That's dumb. Please fix.

Your bud, jamjam",0,4,1,1720613830806401128,0
https://x.com/rajavocative/status/1724821390749049140,15/11/2023,not to tell on myself but I’ve watched the princess diaries like 4 times in the past 7 days and the audio has consistently dropped at 1:42 - right when she’s giving her speech at the Genovian Independence Day ball?  @hulu if you would like to fix,0,6,0,1724821390749049140,0
