link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/eeberquist/status/1712589586374041768,12/10/2023,"psa: Underwater is on Hulu, a good under-watched creature feature",3,122,14,1712589586374041768,0
https://x.com/Soaked_Knave/status/1712575430220194108,12/10/2023,"Me and the squad on our way to watch the new feature film ""Quiz Lady"" starring Awkwafina and Sandra Oh premiering exclusively on Hulu November 3rd 2023 https://t.co/wcR7A6EPhu",1,3,0,1712575430220194108,0
https://x.com/FrightYa/status/1714498205239677030,18/10/2023,"Join #FrightClub and tweet along Wednesday's feature, Slotherhouse (2023), at 10:00 PM ET. Available on Hulu.

How slow can you go? 🦥 https://t.co/aAjuQvYmie",6,10,3,1714498205239677030,0
https://x.com/FrightYa/status/1710890971691671916,08/10/2023,"Join #FrightClub and tweet along Sunday's double-feature starting with Only Lovers Left Alive (2013) at 10:00 PMET. Available on PlutoTV &amp; Hulu.

Then join us at 12:15 AM ET for Shock (1946). Available on PlutoTV. https://t.co/rCxz59ZFts",9,13,2,1710890971691671916,0
https://x.com/FrightYa/status/1718846871664533618,30/10/2023,"Join #FrightClub and tweet along Monday's feature, Saw 3D (2010), at 10:00 PM ET. Available on Hulu &amp; Tubi.

An eye-popping experience 👁 https://t.co/5L9UcR7CNy",6,9,2,1718846871664533618,0
https://x.com/CreddieFacts/status/1711289958823006216,09/10/2023,iCarly has been trending for 6 days straight because you canceled it unfairly. It's never too late to fix this mistake. We want the show to be renewed or get a movie! @paramountplus #WeWantiCarlyS4 #iCarly #saveicarly @hulu @CBS @peacock @netflix @HBO @thomasryan @BrianRobbinsTV https://t.co/vRxpNO1dze,47,150,0,1711289958823006216,0
https://x.com/MichaelV11391/status/1715159539299832072,20/10/2023,"@hulu @hulu_support What happened?! I was trying to finish the new episode of American Horror Story, I had 8 minutes left and as you can see, I click on the episode on my continue watching and it doesn’t go straight to the series page, it just shows black screens!! Fix this!!! https://t.co/EZ05tvQvBV",1,19,3,1715159539299832072,0
https://x.com/CreddieFacts/status/1710709058326376472,07/10/2023,We could see Mrs. Benson help Carly fix her posture 🫣 #WeWantiCarlyS4 #iCarly #SaveiCarly @paramountplus @hulu @DisneyPlus @CBS @peacock @netflix @HBO @PrimeVideo @thomasryan @BrianRobbinsTV @tvline @seventeen @sweetyhigh @BuzzFeedCeleb @thr @enews @variety @PopCulture https://t.co/4jM7JCWe6q,14,27,0,1710709058326376472,0
https://x.com/bastylefilegirl/status/1716602808118710376,23/10/2023,"“The Tank”-2023
(Hulu)
Genre: Horror

Sub-Genre: Creature Feature

Country of Origin/Language: US/English

#31DaysofHorrorChallenge 
#31DaysofHorror 
#NFOTD https://t.co/9dfigjmWg3",1,3,0,1716602808118710376,0
https://x.com/vampluvrgirl/status/1710135170303397907,06/10/2023,I watched this horror movie on Hulu last night called the “appendage” not  scary just a creepy lil creature feature but it was just a big metaphor for mental health and instead of trying to fight or sedate this creature nurture it and love it instead bc it’s still apart of u,0,10,1,1710135170303397907,0
https://x.com/savafterdark/status/1713598126169198670,15/10/2023,i am going to personally sue hulu if they don’t fix their shit bc it never resumes my shows in the right spot!!!!,0,2,1,1713598126169198670,0
https://x.com/natgeodocs/status/1714012294638710843,16/10/2023,"#BobiWineThePeoplesPresident has been nominated for TWO @criticschoice #DocumentaryAwards! 
Best First Documentary Feature
Best Political Documentary 

Now streaming on @hulu and @disneyplus https://t.co/l2fCYVwQJj",212,816,28,1714012294638710843,0
https://x.com/apple_lenz/status/1715833410030104697,21/10/2023,"""Somebody had to speak for us.""
#BobiWineThePeoplesPresident has made the @BIFA_film Longlist for Best Debut Director - Feature Documentary.
Now streaming on @hulu and @DisneyPlus

BYA: @NatGeo, @HEBobiwine 
🗳️ https://t.co/DXKpvkXHRK

#BringBackOurPeople https://t.co/GhxQY9aEk4",12,35,0,1715833410030104697,0
https://x.com/ashleysviews/status/1713346557083267506,15/10/2023,My ESPN+ feed keeps freezing 🙄 Anyone else have Hulu w/live tv that’s having the same issue?,1,6,3,1713346557083267506,0
https://x.com/natgeodocs/status/1714749828893175970,18/10/2023,"""Somebody had to speak for us.""
#BobiWineThePeoplesPresident has made the @BIFA_film Longlist for Best Debut Director – Feature Documentary. Now streaming on @hulu and @disneyplus https://t.co/IetqLJKpn7",166,645,14,1714749828893175970,0
https://x.com/bingusmother/status/1719257716701507748,31/10/2023,the closed captions on at LEAST hulu and the roku channel are fucked rn and its driving me nuts. they were working fine yesterday morning and then suddenly they were so out of sync i had to turn them off. ROKU FIX UR SHIT,0,4,0,1719257716701507748,0
https://x.com/kaycee_gales/status/1713375460808110197,15/10/2023,Why is my Hulu show at a perfect volume but THEN THE ADS START SCREAMING AT ME!! Loud as hell! They need to fix this crap!! Scared me lol,0,7,0,1713375460808110197,0
https://x.com/OG_BENJAYLATREZ/status/1710498788215812288,07/10/2023,Hulu really needs to fix their volume from when the show is playing and the commercial difference,2,3,0,1710498788215812288,0
https://x.com/ms_starling/status/1710027660804645095,05/10/2023,"THE EMPTY MAN is back on streaming (on Hulu!), and I cannot recommend this surprising little cosmic horror feature enough. I haven't stopped thinking about it since I saw it, and it's nigh impossible to find. everyone should check it out while it's available!",0,2,0,1710027660804645095,0
https://x.com/UPIXELD/status/1712420330612896016,12/10/2023,"@_walkinginspace Why do some people have this take ONLY for video games? if someone spends 8 hours of their life binging Hulu, reading a book or doing a puzzle nobody says anything. But if they spend that same time playing video games it’s an issue? People have different interests. Let them live",3,65,2,1712420330612896016,0
https://x.com/MNVikingZombie/status/1713452093246226628,15/10/2023,"Let's make it a double feature with #Slotherhouse on #Hulu

https://t.co/zzGcIVTwBR",0,2,0,1713452093246226628,0
https://x.com/HartmanGerry/status/1710694954828218538,07/10/2023,"RIP to one of the greats - Davies’ final short is free on YouTube and his final feature, Benediction, is on Hulu. his films were never anything less than poetic and deeply moving",0,6,0,1710694954828218538,0
https://x.com/Kelstec/status/1715778328399839281,21/10/2023,Super early in our dating life Tony made the mistake of helping my grandparents out with a tech issue and now he’s been over their house for an hour logging them into Hulu,0,22,0,1715778328399839281,0
https://x.com/HondaAccordion/status/1712196940182802849,11/10/2023,"love trying to sign into hulu with the correct info multiple times and being told every time it isn't right.

this has been an issue for over a year and nothing has been done to fix it, or even address it, but they'll still raise prices every quarter.

fix your shit @hulu",0,6,2,1712196940182802849,0
https://x.com/CreddieFacts/status/1717321373985456380,25/10/2023,Mrs. Benson please fix my posture my back hurts 😄 #WeWantiCarlyS4 #iCarly #SaveiCarly @paramountplus @hulu @DisneyPlus @CBS @peacock @netflix @HBO @PrimeVideo @thomasryan @BrianRobbinsTV @tvline @seventeen @sweetyhigh @BuzzFeedCeleb @thr @enews @variety @PopCulture https://t.co/fCo7rzx5D7,5,13,0,1717321373985456380,0
https://x.com/woundjob/status/1711915026733257034,11/10/2023,my smarttv no longer carries the hulu app so i only have amazon prime and netflix on here and whatever is on the apple tv. this is a first world issue indeed.,0,3,0,1711915026733257034,0
https://x.com/ChelsIsRight/status/1714484052495925341,18/10/2023,I hope this Goosebumps series on Hulu is a little Stranger Things fix for me.,0,2,2,1714484052495925341,0
https://x.com/Autumn011188/status/1714360329503670446,17/10/2023,"„I‘m used to working alone. That’s my issue.“
- „Not anymore!“ 
#Quarterhorn ❤️
#MotherlandFortSalem 
#SaveMotherlandFortSalem
@hulu @DisneyPlus @PrimeVideo 
watch party! https://t.co/CmoVQaYvPq",0,2,0,1714360329503670446,0
https://x.com/tulip_tiffany/status/1719436024781189150,31/10/2023,"COME ON HULU
I pay entirely too much for your stuff to break.
I just want to watch Bob's Burgers but I keep getting that cursed RUNUNK13 error!
I've cleared my cache, checked for updates, restarted my computer. FIX YOUR SHIT",0,27,0,1719436024781189150,0
https://x.com/cselivanow/status/1719189490088948164,31/10/2023,"Subtitles from the show I'm watching aren't supposed to continue when ads play, @hulu. 

This has happened over several shows tonight. 

Nothing seems to correct the issue after it occurs, rewinding, FF, etc.

This particular instance occured during S1E2 of Goosebumps @ ~18m58s https://t.co/TUasH28s0l",0,2,1,1719189490088948164,0
https://x.com/HajjatiSmart/status/1714281687906189410,17/10/2023,"#BobiWineThePeoplesPresident has been nominated for TWO Critics Choice Documentary Awards! 
Best First Documentary Feature
Best Political Documentary 

Now streaming on Hulu and Disney+👇🏿 https://t.co/HREnlnSxwl",5,10,0,1714281687906189410,0
https://x.com/shannon_mcgrew/status/1718710668432675236,29/10/2023,"Going to an event tonight that’s going to feature a “The Exorcism of Emily Rose” experience so it’s a perfect excuse to revisit this banger of a film by @scottderrickson, which is available to stream on Hulu if you’re looking for a solid exorcism film. https://t.co/T6L25geUD6",0,8,3,1718710668432675236,0
https://x.com/freakta1es/status/1716002270549319842,22/10/2023,Uhhhh @hulu how tf y’all commercials playing straight through but the damn show skipping &amp; hiccuping?!? Ain’t no way it’s my internet FIX IT @hulu_support,1,38,3,1716002270549319842,0
https://x.com/GunBrandisher/status/1714504646457541008,18/10/2023,Really hard not got get on here and just issue death threats to public officials so I’ll just say day 2 of new job went well and that alien movie on Hulu was pretty good,0,8,0,1714504646457541008,0
