link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/TheTayMack/status/1708154985777889387,30/09/2023,"I don’t think I could be any happier with how this doc turned out. If you’re interested in the history of pageants, its ties to feminism, and the details of my experience, I encourage you to watch How to Fix a Pageant - streaming on Hulu. ⁦@nytimes⁩
https://t.co/Nzbeey9SSG",29,379,11,1708154985777889387,0
https://x.com/Keefler_Elf/status/1703489141600928098,17/09/2023,the hulu feature that lets you “choose your own ad experience” where you pick which variation of the same dumbass ad you get to watch has to be the most useless thing anyone has ever come up with,4,197,1,1703489141600928098,0
https://x.com/bellaxkristen/status/1706717450065096757,26/09/2023,"Kristen’s first ever job from her production company goes for Hulu and Disney.

Kristen’s first feature film is backed up by Ridley Scott’s production company.

Kristen’s first short film premiered at Sundance and Cannes.

Kristen’s second short film was for Netflix.

Gold. 👑🫶 https://t.co/3SuKGZC3pB",26,113,0,1706717450065096757,0
https://x.com/thekimkblog/status/1707187046903640444,28/09/2023,Who’s watching the Kim K double feature tonight?! #AHSDelicate tonight @ 10PM (EST) on FX and #TheKardashians S4 premiere on Hulu at midnight 🤌🏼🔥 https://t.co/DPLUdTzVX4,15,46,1,1707187046903640444,0
https://x.com/Trev_orDie24/status/1697400736018227394,01/09/2023,YouTube tv got the three screen feature ??? 🔥🔥 yea it’s definitely YouTube &gt; hulu this won me over . https://t.co/Q5W0EUmaHJ,2,12,3,1697400736018227394,0
https://x.com/_VintageSlim/status/1700144916620358080,08/09/2023,Hulu is the LAST platform that needs to increase their prices. They need to fix that damn app first,2,6,1,1700144916620358080,0
https://x.com/danielleweisber/status/1701106411315589333,11/09/2023,maybe before Hulu raises prices again they could fix the sound mixing on .. everything. And maybe also that thing that still happens where out of the blue the volume goes fuzzy then jumps up really high. would be soooo cool,2,87,6,1701106411315589333,0
https://x.com/FinalGuys/status/1705575241047777280,23/09/2023,"Our next main feature will be No One Will Save You, a new alien flick on Hulu. Will it be a close encounter with a movie we actually like? Plus, stuff we more watched and  the news. Join us Tuesday night at 8pm (E) when we live cast the show on YouTube. Podcast posted afterwards. https://t.co/DhEMOCqW2m",3,20,1,1705575241047777280,0
https://x.com/FriskyChrisky/status/1703141365368959056,16/09/2023,"The last third of #TheaterCamp is wildly hilarious. I had to pause no less than 5 times to internalize the ridiculousness and cackle 🤣

It doesn’t feature Ayo Edebiri enough, but I still recommend watching it now on Hulu.",1,27,0,1703141365368959056,0
https://x.com/MondaysWeekly/status/1705710507217350752,23/09/2023,Hey @Netflix I've been living here for 6 months and I got up to take a piss between episodes why don't you fix your shitty service you fucking mouth breathers? It's no wonder people prefer Hulu to you https://t.co/oRwaJ71nhW,1,3,1,1705710507217350752,0
https://x.com/CodingKrazy/status/1701417747211538708,12/09/2023,"When is see this. I’m more sold on using rails to build your startup. 1-5 people team can build the entire thing. 

Compared to this image where a single full feature would need 5 teams to manage 5 apps. 

Once you get to the scale of a Hulu go hire a team with the money and… https://t.co/7IB2SV1PLT",0,5,1,1701417747211538708,0
https://x.com/twitch9093/status/1705593419148538025,23/09/2023,"Thinking about making this my new call sign…. V arms 😏🍻
It’s time to reflect. It’s time to say you’re sorry. It’s time to let go of grudges. It’s time to forgive others AND yourself. It’s time to own up and fix.
#NoOneWillSaveYou #Hulu
If we EVER had an alien invasion- this… https://t.co/u3gckGgsqK",7,20,4,1705593419148538025,0
https://x.com/BeyondFest/status/1705097687509741872,22/09/2023,"The best film you haven’t heard of is @BrianDuffield’s NO ONE WILL SAVE YOU and it’s on Hulu now. Trust us. No, really, trust us. It’s the most brilliantly creative and wildly HFS sci-fi-creature-feature of the year. Just. Trust. Us. https://t.co/W58lRVgtks",51,286,12,1705097687509741872,0
https://x.com/SchmoJosey/status/1702784919397671227,15/09/2023,"Johnny Depp a huge hit on Hulu after they add NEW top 15 feature on homepage for the most popular trending movies and shows. Debuted 9/14 with Depp dominating the first list with 2 movies in the top 10
Pirates of the Caribbean: The Curse of the Black Pearl sits at #4
#JohnnyDepp https://t.co/sJAno2AFtu",3,15,3,1702784919397671227,0
https://x.com/EvaNyanzi/status/1704125965834858962,19/09/2023,"Disney has announced that the award-winning @natgeodocs feature documentary, “Bobi Wine: The People’s President” will be released on Disney+ and @hulu on Friday, 6 October 2023, following a theatrical release earlier this year.
#BobiWineThePeoplesPresident
@HEBobiwine,… https://t.co/bBX9yfQDMw",40,176,1,1704125965834858962,0
https://x.com/Dirk2112/status/1706161329583567280,25/09/2023,"This is in no way one of those oddly regressive shots at streaming as a thing, but it occurs to me that if Hulu hadn't removed Karen Maine's romcom Rosaline (without licensing it off) it'd be getting play from people looking for a follow-up Dever fix after No One Will Save You. https://t.co/uNLibHy3gl",7,14,0,1706161329583567280,0
https://x.com/danielleagst1/status/1703916980313751671,18/09/2023,"Hulu getting rid of the “continue watching” feature and putting things in “TV for you” that are completely opposite of what I’m actually watching will never not be stupid. If I’m watching 12 different anime, why the hell are you suggesting the handmaid’s tale &amp; the Kardashians?",1,29,2,1703916980313751671,0
https://x.com/AllNewDom/status/1699491125126459699,06/09/2023,For this week’s issue of The Baltimore Beat I wrote about this dope lil flick on Hulu that took me entirely by surprise. https://t.co/RRvwdolfTs,10,30,0,1699491125126459699,0
https://x.com/blue_mirmaid/status/1702551922820223113,15/09/2023,Booo today sucked and i’m tired but Lockwood &amp; Co. season 2 would fix me. Any takers? @AppleTV @primevideouk @primevideo @ParamountPlusUK @paramountplus @hulu @peacock @StreamOnMax @DisneyPlusUK @DisneyPlus @BBCOne #SaveLockwoodandCo,4,17,0,1702551922820223113,0
https://x.com/hatchetsfactory/status/1707859368597672166,29/09/2023,hulu please fix the timing of your captions,0,4,0,1707859368597672166,0
https://x.com/BVAX84/status/1704926958889373930,21/09/2023,Hey @hulu please add a “Skip Intro” feature…..,0,2,1,1704926958889373930,0
https://x.com/macfindspride/status/1702850056913563941,16/09/2023,need hulu to have a shuffle feature where it picks an episode of it’s always sunny in philadelphia for me so i don’t have to sit there and try to figure out what season i am in the mood for,0,23,1,1702850056913563941,0
https://x.com/according2mini/status/1706104339910029366,25/09/2023,#hulu I’m trying to watch #90DayFiance and this damn audio description won’t turn off y’all are messing up my show fix it or I’m canceling my subscription!,1,3,0,1706104339910029366,0
https://x.com/jakeryanmercer/status/1703958315284492633,19/09/2023,"someone at work to me tonight: “hulu’s broken! you’re smart, fix this”",0,1,0,1703958315284492633,0
https://x.com/kathryntdubbs/status/1700720374680371357,10/09/2023,does anyone know how to fix Hulu so it doesnt immediately start playing Her Smell whenever I open the window,0,3,0,1700720374680371357,0
https://x.com/ADorenbaum/status/1706113366815617196,25/09/2023,The Max streaming app and Hulu doesn’t work well with smart route mode for us who live outside the US. Please fix this!!,1,3,0,1706113366815617196,0
https://x.com/LastCallHIMYM/status/1699254485137133950,06/09/2023,You hear that @hulu! I’ll bet many others have done the same. Fix your mistake and #SaveHIMYF,2,9,0,1699254485137133950,0
https://x.com/Brooklyn_Shaun/status/1707049257012728221,27/09/2023,"The lack of communicating to the fans of #reservationdogs @RezDogsFX by @hulu is so disappointing.  Every episode prior to this one was released at midnight, no post by hulu or even #sterlinharjo about this issue.",1,11,1,1707049257012728221,0
https://x.com/snailstampede/status/1706791122687697319,26/09/2023,"I feel like this is reminiscent of how in the 07 strike the AMPTP was trying to say that streaming was such a down the road, nebulous issue, and then when the strike was resolved they announced Hulu right after.",1,5,0,1706791122687697319,0
https://x.com/Krapopolis/status/1704148350705238500,19/09/2023,"🌟📆 Just 5⃣ more mystical days until the special double-feature premiere on September 24th at 8:30PM/7:30PM CST on @foxtv and the next day on @hulu  

The anticipation is building – get ready for a legendary journey 👏👏 https://t.co/OvjLCVTGJU",12,87,6,1704148350705238500,0
https://x.com/officertweeter/status/1699547239041929627,06/09/2023,I have an issue with HULU,0,3,0,1699547239041929627,0
https://x.com/Clemson_Addict/status/1698841775446581382,04/09/2023,We’ve had Hulu for years now and it’s been great. Never had an issue.,0,14,6,1698841775446581382,0
https://x.com/timbrvdford/status/1697785801638023471,02/09/2023,"thank you hulu for adding hocus pocus so I don’t have to have disney plus to get my fix this fall. although I’m not sure why I don’t own the movie, I should find it.",0,4,0,1697785801638023471,0
https://x.com/SunG108_II/status/1700348868322304258,09/09/2023,I get that and sunken cost really isnt the issue. Streaming companies not named Netflix/Hulu put greed over consumer experience. Disney and CBS and NBC and ABC and their affiliated could have licenses their stuff to Hulu/Netflix but the greed took over.,3,1,1,1700348868322304258,0
https://x.com/sara_lillie32/status/1706350390772437275,25/09/2023,@ all streaming apps: please please please create a feature to block all horror movie trailers during commercial breaks. Especially you @hulu,0,3,1,1706350390772437275,0
https://x.com/drewsclues/status/1706978017224839571,27/09/2023,"UPDATE: Season 31 of #DWTS WAS NOT REMOVED!!!!!!!!!!!!

#DWTS S31 and S32 are currently co-existing (!!) This never happened on Hulu.

Also, the new title page UI is still present for those series only. I hope they fix the way S31 is backwards... and roll this out everywhere. https://t.co/n1QVhyJgKS",0,6,1,1706978017224839571,0
https://x.com/jillsville7/status/1707033468016685330,27/09/2023,"Come on @Hulu, please fix the #ReservationDogs series finale tab. https://t.co/0ToczWmsxR",0,7,0,1707033468016685330,0
https://x.com/Mysituation2/status/1707525639752831391,28/09/2023,"@MrJasonAnthony @pinkdoll_love @BJ50017456 @Kadiisworld This is very false. She had a choice to walk away when they signed with HULU. The sisters have asked her to walk away since KUWTK. She changed her contract for hulu to lessen her appearance, was very happy to feature her wedding,her proposal, her relationship. She ain’t tired",1,44,5,1707525639752831391,0
https://x.com/TheKlenkster/status/1698783962108231732,04/09/2023,If you are missing hockey you can always watch Unrivaled on espn+/hulu for your hockey fix :),0,3,0,1698783962108231732,0
https://x.com/DewMeNoFavors/status/1703075787363008718,16/09/2023,“I’m not signing this cause its nothing.. and if I can get a Netflix or Hulu show and have to talk negative about them I can’t do it”. Everybody looking out for themselves. I don’t see the issue,0,3,0,1703075787363008718,0
https://x.com/RickCollinsEsq/status/1704605423850922343,20/09/2023,Fans of Musclehead320 can check out the new issue of Muscular Development magazine for an update. Tyler was the focus of 2 documentaries and my latest column includes his reaction to the ABC/Hulu show “Age of Influence.” We are still working on plans for a scripted feature film! https://t.co/VPLSCG1Q16,0,2,0,1704605423850922343,0
