link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/Drumble/status/1692535884166349183,18/08/2023,"Taking a break from grousing to remind people that there is both an ORIGINAL animated feature and an ORIGINAL animated series out on Netflix this week, so if you're gonna feed that algorithm, feed it with the stuff you wanna see more of! Congratulations to both crews! #Story https://t.co/FBxjkBpe4n",77,261,3,1692535884166349183,0
https://x.com/meganimation/status/1691290577864957952,15/08/2023,"🔊it's happening...!!🔊 
after spending 2yrs honing my boards &amp; hoping to make the jump from design, some days I thought I might not make it...but so SO happy to announce I'm a Story Apprentice at Netflix Feature Animation, as a part of their Early Creatives Program!! https://t.co/Zi0Mt6TBkf",137,1718,113,1691290577864957952,0
https://x.com/Rockymumba/status/1695326809544384618,26/08/2023,Zambia first feature Film let’s go @netflix @NetflixNaija @NetflixSA @NetflixKE  🍿🍿🍿🍿,35,113,3,1695326809544384618,0
https://x.com/stanbynight/status/1693577923444502855,21/08/2023,"Netflix has been consistent in promoting DB here on Twitter (YES I WILL CALL IT TWITTER 4EVER) &amp; on IG! 

Check their IG content, they usually feature DB at least once a week. Clap
Clap for their SoMe team ☕

👀👀👀",182,573,0,1693577923444502855,0
https://x.com/DEADLINE/status/1691640516486873532,16/08/2023,"'Warrior Nun': Canceled Netflix Series To Return As Trilogy Of Feature Films, EP Says https://t.co/8YPVpFf76a",838,3291,28,1691640516486873532,0
https://x.com/zhapisheva/status/1693895788508631130,22/08/2023,"Netflix casted danish-american white actor for Tamerlane (turco-mongol conqueror). Filming takes place in Kazakhstan and Uzbekistan
I don’t think white western world will ever notice this issue, but what a shame.",68,447,15,1693895788508631130,0
https://x.com/avishaiw/status/1694718105795318234,24/08/2023,"Day 115
Feature Screenwriter themed picket at WBD/Netflix in Manhattan https://t.co/c7FyK1Wa8X",13,65,1,1694718105795318234,0
https://x.com/onlybondellexo/status/1694744606250791359,24/08/2023,"Top 1 on netflix in less than 24hrs after releasing day.
Top 9 Globally and the ONLY non-english film on the top 10
Watched 1.96million hours in 4days!! 
Been on top 10 in many countries! 
Now, BEST ASIAN FEATURE FILM
Team AIL did that
Our #DonBelle did that 🥺❤️
Our pride 24Ever https://t.co/kuyOdljw4m",135,430,0,1694744606250791359,0
https://x.com/Noble_OT/status/1697238944377970699,31/08/2023,I will DP a feature film(Netflix or Amazon or Cinema) before the year runs out,10,62,8,1697238944377970699,0
https://x.com/JillianChili/status/1693068090223780266,20/08/2023,I need Netflix &amp; Focus Features to collaborate on a Maestro/TÁR double feature at the Netflix theater https://t.co/ckjGe070Q4,5,82,1,1693068090223780266,0
https://x.com/EduEle5/status/1692245156483776798,17/08/2023,"Are you guys ready to see my first feature 🙈🙈🙈🙈🙈🙈🙈🙈🙈

I was watching myself today and saw for the first time that I do actually look stubborn 😂🤣😂🤣

Cinema 
Netflix next🤩 https://t.co/PkuzFNzjBr",9,27,2,1692245156483776798,0
https://x.com/OPLAfandom/status/1693909257215721711,22/08/2023,"Spoiler FREE review! 

""After screening six of eight episodes for feature consideration, we can't reveal much here, but suffice it to say, Netflix seems to have learned from their unfortunate Cowboy Bebop mishap""",428,4704,41,1693909257215721711,0
https://x.com/KristinSmedley/status/1692584976972124579,18/08/2023,It’s been an awesome summer enjoying #Suits on #Netflix with my #blind &amp; sighted kids thanks to #AudioDescription. Here is a short clip to show you the access the feature gives blind &amp; low vision viewers! #SuitsOnNetflix #BlindTwitter #ThrivingBlind #accessibility #inclusion https://t.co/UdLajBEOd1,132,593,11,1692584976972124579,0
https://x.com/eplix88/status/1692348987267801503,18/08/2023,"I hate that Netflix is doing this dumb parts of seasons thing.. I wouldn’t have an issue if all the parts was the same length, but I’ve seen two shows just get shorter and shorter. #TheUpshaws #FamilyReunion https://t.co/YF3jlmcxbe",11,70,1,1692348987267801503,0
https://x.com/enticedb/status/1694746912661160132,24/08/2023,"AIL being the;

📌Top 1 in Netflix 
📌Top 9 Globally and the NON-ENGLISH film on the top 10
📌One of the top 10 movies in the Philippines!!
📌Now, BEST ASIAN FEATURE FILM

This AIL Era will always have a special place in my heart 24ever 🧡💚💜. Congrats #DonBelle and Team AIL!! https://t.co/VEPWGsl30C",16,44,0,1694746912661160132,0
https://x.com/NanaPepperDem/status/1694376408074576273,23/08/2023,"CeeC’ @Official_CeeC  gratitude intentions:

For her first feature film to be on Netflix 

This will come to pass babygirl

#BBNaijaAllStars",19,45,0,1694376408074576273,0
https://x.com/ZambeziJuice/status/1695050452780384475,25/08/2023,Zambia's first feature film will be released on @netflix in just two days. We are excited to see it and anticipate its debut. https://t.co/kDL8Hqrk44,11,22,1,1695050452780384475,0
https://x.com/screenrant/status/1691623406284755283,16/08/2023,Warrior Nun will return as a trilogy of feature films following the fan campaign to save the series after it was cancelled by Netflix last year.  https://t.co/eTP4Rl7nSr,1159,4372,38,1691623406284755283,0
https://x.com/suppandiiii/status/1696095174882115817,28/08/2023,Spanish Football needs a Netflix Documentary for their series of events in recent years. Starting from Barto's financial frauds and Perez's Super league to Rubiales's creepy issue.,7,101,2,1696095174882115817,0
