link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/LyesBouzidi10/status/1741089044631519514,30/12/2023,"Not a bad way to finish 2023! 

Had to keep quiet all year over this but being asked to feature in Netflix’s World Cup Documentary is one of the greatest honors of my career so far.

It’s moments like this that make me sit back and realize I’m living in moments I dreamed of❤️🤞🏼 https://t.co/kSc5eKjwNf",746,10530,329,1741089044631519514,0
https://x.com/WSJ_manga/status/1740680986759938216,29/12/2023,"'MONSTERS: 103 Mercies Dragon Damnation' Anime will be revealing new information in upcoming Weekly Shonen Jump Issue #8.

The adaptation is set to premiere on Netflix in January 2024. https://t.co/PF1OVLdAY8",74,778,4,1740680986759938216,0
https://x.com/nenenwanyo/status/1740678472106963119,29/12/2023,"2023 Projects done: 

4 feature length films (3 lead roles)

1 film on Netflix 

1 film in the cinema 

2 adverts (lead) 

3 tv series 

1 hosting gig 

Going from no lead in a feature in ‘22 to 3 this year, God has been too good to me. I can’t wait for what 2024 has for me 🙏🏾",17,116,10,1740678472106963119,0
https://x.com/yandhiisntreal/status/1735859948045656345,16/12/2023,it’s funny cause I play the netflix San Andreas yesterday and thought “wait this actually looks… finished” but I just thought it was because of the smaller screen but no they actually brought a different team in to fix all the fuck ups😭😭😭,9,193,4,1735859948045656345,0
https://x.com/1Davidobeng/status/1740044651707687166,27/12/2023,"- The Figo Affair on Netflix 

- Moneyball Movie 

- How to fix Man United by Tifo    Football on youtube https://t.co/mibMItn0lm",48,216,11,1740044651707687166,0
https://x.com/GameRollGTA/status/1735327120698597483,14/12/2023,"Rockstar have confirmed that the Netflix versions of the GTA Trilogy feature some improvements!

“[They] feature additional improvements, including a new Classic Lighting mode that restores the look and feel of the sky in the original games.” https://t.co/tb3upp0hXo",13,472,19,1735327120698597483,0
https://x.com/netflix/status/1737559076610220528,20/12/2023,"Dan and Eugene Levy at the premiere of Dan's new film and feature directorial debut, Good Grief. Premiering January 5! https://t.co/CbP6iiOTpf",127,2167,117,1737559076610220528,0
https://x.com/GabbbarSingh/status/1740372080284303434,28/12/2023,"Just watch ‘World War 2: From the frontlines’ documentary on Netflix, then watch or rewatch any World War 2 movie, your experience will be 2x better. Very well chronicled account. Issue is most movies pick up a slice of the war and glorify it like Dunkirk, Saving Pvt Ryan etc.…",70,1140,67,1740372080284303434,0
https://x.com/snyder_all/status/1738262669889577423,22/12/2023,"I don't know how Netflix is supposed to fix this, because it's clearly working for them as a lot of people watch that way, but there's no reason for their movies and shows to look better on a phone than a big ass TV with 4k. It literally looks better on my phone",17,125,21,1738262669889577423,0
https://x.com/netflix/status/1737114397049229816,19/12/2023,"Adam Sandler in Spaceman. 

An astronaut realizes that the marriage he left behind might not be waiting for him when he returns to Earth. Desperate to fix things with his wife (Carey Mulligan), he is helped by a mysterious ancient creature (Paul Dano) he finds hiding in the… https://t.co/8JdiyqIHiG",587,8834,283,1737114397049229816,0
https://x.com/SallyMayweather/status/1739676399064019398,26/12/2023,"FaceApp got rid of the race swap feature. 

How am I supposed to make Netflix memes now?? 😭",11,244,9,1739676399064019398,0
https://x.com/26enthusiast/status/1739880984030654754,27/12/2023,"Just finished watching it from Thailand. I really like this movie; it tackles how messed up our society is. The failure of the justice system is a significant and concerning issue that impacts individuals and society as a whole.
 @Netflix_PH 🍷
#AVeryGoodGirl",62,136,1,1739880984030654754,0
https://x.com/Manishafan261/status/1739944953202274320,27/12/2023,"14k left for 100k , jldi complete kro. 

Aaj Rani #Netflix pe feature hui hai toh hashtag apna 100k+ pe trending hona chaiye. 

Drop 200 comments with using our both #️⃣ Hashtags ⬇️

#ManishaRani #OnlyManishaMatters https://t.co/N0byElVlto",159,320,207,1739944953202274320,0
https://x.com/ATabarrok/status/1739814929710846224,27/12/2023,The  number two and number four shows on Netflix right now are Fireplace in your home. I was confused about how that was possible but they feature different types of wood. https://t.co/lxtRwNgpg9,14,211,17,1739814929710846224,0
https://x.com/TeeGraffiti1/status/1740592762477842518,29/12/2023,👽📺 Abducted by Aliens for a Netflix Exclusive Screening... Ended up as the Feature Presentation! 👽🛸 https://t.co/wS3FpckDO0,14,27,0,1740592762477842518,0
