link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/WSJ_manga/status/1683131319687979008,23/07/2023,ONE PIECE Netflix Live-Action Poster in Issue #34. https://t.co/urwGWAbh38,301,3224,11,1683131319687979008,0
https://x.com/AnnaPoplevina/status/1684961241112952832,28/07/2023,"📆 This Week in AI:

🤖 ChatGPT app now on Android
💡 Marc Andreessen and ChatGPT
🛍️ Shopify Sidekick for merchants
🌐 Bing Chat expands browser tests
🖌️ Photoshop's generative AI feature
🗣️ Artifact's AI text-to-speech voices
 🎬 Netflix AI position

Continued → https://t.co/hdZNf62P0y",21,120,21,1684961241112952832,0
https://x.com/DanielRegha/status/1680345715581628417,15/07/2023,"Most people in my compound prefer Netnaija to Netflix, cos Netflix requires subscription &amp; streaming with data is another issue; But I myself like the two. Thanks to my landlord I get to enjoy free Netflix, while my  neighbours never fail to share movies thru Xender. God is good.",297,5989,763,1680345715581628417,0
https://x.com/BARBlEDUP/status/1684294550922096648,26/07/2023,this is very crazy that a guy who does not work for Netflix and has no ties to that bs “documentary” whatsoever blatantly lied about nicki declining to feature her music. this is what happens when you create fake personas online and hype up these nobodies https://t.co/ISAx9TlzsK,9,63,4,1684294550922096648,0
https://x.com/GothamChief/status/1684163012876439552,26/07/2023,"Actors like Sean Gunn is what we in the SAG strike because why hasn't this been more of an issue when it comes to streaming.

“I can promise you that when a streamer like Netflix says ""we're not going to release our numbers"", it's because they're screwing someone over somewhere.” https://t.co/Y4TYVN72qx",41,180,9,1684163012876439552,0
https://x.com/AdaobiMarvis/status/1685249551521710080,29/07/2023,"CeeC says she will do a feature film as soon as she leaves the house and it will land on Netflix.
From your mouth to God's ears, baby.🤲🏽

#BBNAllStars 
#BBNaija",68,236,3,1685249551521710080,0
https://x.com/Pulse_ChainNews/status/1684898496900415488,28/07/2023,"🚨We need everyone in the PulseChain community to contact these streaming services to feature The Highest of Stakes Documentary:

- Netflix https://t.co/IeBzsJmQlA
- Hulu https://t.co/JArxZe8OPz
- Apple TV https://t.co/G0J3PkzG5T
- HBO https://t.co/8mJjMYVLcv

Lets do this!",95,259,10,1684898496900415488,0
https://x.com/FreddyInSpace/status/1683469025714614274,24/07/2023,Thinking of Samuel Bodin today. His excellent Netflix series Marianne was cancelled after just one season. His debut horror feature Cobweb was dropped into theaters with little marketing during Barbenheimer Mania. He deserves better. Cobweb easily could've been a Halloween hit.,52,529,34,1683469025714614274,0
https://x.com/killafran/status/1684564374961405954,27/07/2023,"In other newssss, a film I co-edited is premiering at the Toronto International Film Festival this year! And we made the 2024 Oscar nom predictions list for the Documentary Feature category 🌚. #StampedFromTheBeginning #Netflix #TIFF https://t.co/lnNaG35WEO",11,25,3,1684564374961405954,0
https://x.com/OnewithBee_/status/1683440129913032705,24/07/2023,"#AnInconvenientLove The comeback movie of @StarCinema in silver screen, the only Filipino non-English film entered the Netflix Top10 Global Chart, now nominated as the Best Asian Feature Film/Telemovie at the 2023 ContentAsia Awards! PHENOM
Congrats #DonBelle #BelleMariano 🎉 https://t.co/yL4IXVQjUd",111,332,0,1683440129913032705,0
https://x.com/_kirabo__/status/1685323806544416768,29/07/2023,"MTN, FIX YOUR INTERNET 

Whatever problem you're dealing with has now hit your WiFi too🥹🥹

I can't be downloading 46 Netflix episodes for 2 days, pls☹️

@mtnug",4,11,2,1685323806544416768,0
https://x.com/prentissweston1/status/1682180017826983936,21/07/2023,Ryan Reynolds Triple Feature...already rewatched The Hitman's Bodyguard from 2017 &amp; tonight right now....Netflix two high-octane action thrill rides..6 Underground from 2019 &amp; This adrenaline rush roller-coaster ride The Adam Project from 2021 🔫🔫🔫🔫📽📽📽📽🍿🍿🍿🍿 https://t.co/TWLfOSTa1o,3,19,3,1682180017826983936,0
https://x.com/JUANAN_RAMIREZ/status/1684152216737685506,26/07/2023,"The last issue (6) of the #NightClub series is out today. I REALLY HOPE YOU ENJOY THIS CRAZY ENDING!

While I'm already drawing the next arc!

Here we go!!!🥳🫶🫶💪💪💪✏️✏️✏️🍻

@mrmarkmillar @netflix @ImageComics https://t.co/FSpHnDNINj",9,117,2,1684152216737685506,0
https://x.com/DEADLINE/status/1683545056190554114,24/07/2023,“We are an organization that has been working with WGA and now SAG… we are helping fundraise for any striker that might run into an issue with their pets with vet bills… we are here to help”: Leana Chávez of Free Animal Doctor tells Deadline at Netflix #ActorsStrike https://t.co/s4hg3IlLMg,72,222,7,1683545056190554114,0
