link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/netflix/status/1674427501102374913,29/06/2023,Excited to announce that Leslye Headland will direct and Liz Tigelaar will write the feature film adaptation of the bestselling novel The Seven Husbands of Evelyn Hugo by Taylor Jenkins Reid! https://t.co/Jo9yC8OkjR,1872,14747,339,1674427501102374913,0
https://x.com/missnuma/status/1672144254603493376,23/06/2023,OHHHHH MY GAHHHHH IM CRYIIIINNGGG THE PERFECT FIND IS OUT ON NETFLIX NOW OMG I REALLY MADE A SECOND FEATURE THE WAY I WANTED WITH COOL ASS PEOPLE AND ITS OUT WE DID ITTTTTT GO WATCH @netflix https://t.co/lxKDgFYKj8,397,2103,63,1672144254603493376,0
https://x.com/LabelFreeBrands/status/1672974233654427649,25/06/2023,"Does every show targeted at The Youth need to feature a dig at JK Rowling? 

Episode 1, not even 30 minutes into the show “Glamorous” on Netflix https://t.co/HOxBS2VR1x",54,506,65,1672974233654427649,0
https://x.com/romcomarchive/status/1672016373491331075,22/06/2023,"‘the perfect find’ (2023) starring gabrielle union and keith powers and directed by numa perrier premieres on netflix tomorrow

the rom com won the audience award for narrative feature at the tribeca film festival https://t.co/Slqer7DEFX",56,485,1,1672016373491331075,0
https://x.com/MangaMoguraRE/status/1673080287041863682,25/06/2023,"""Burn the House down"" creator Fujisawa Moyashi start a new mystery manga series titled ""Tasogare no hito"" in Kiss issue 9/2023 out July 25

A middle school girl &amp; a boy build a connection through a certain incident in their city.

""Burn the House"" Live-Action will air on Netflix… https://t.co/WtmMJSTcQh",35,161,0,1673080287041863682,0
https://x.com/durreadan01/status/1672266043233026049,23/06/2023,"Android vs. iOS app quality difference [Part 8]

This one is about two highly-requested media apps: Spotify and Netflix. 

Netflix is miles better on iOS, but Spotify is about the same in my opinion because each version has one extra feature that's absent on the other. 

Netflix:… https://t.co/YC4S61KbNT",160,1539,99,1672266043233026049,0
https://x.com/ChoLovesGD2/status/1674255698128146434,29/06/2023,"Not me checking Netflix official acc for nth times my trust issue stanning this man 
I hate you 😭 https://t.co/LB85ctadXQ",179,668,6,1674255698128146434,0
https://x.com/christinastrain/status/1673518175613509632,27/06/2023,"It’s true, we all have stories of studios screwing us all over. Mine involves Netflix trying to avoid paying me and 215 other feature writers a combined total of 42 million in residuals. Thankfully the WGA fought to get it back for us. 

https://t.co/zICVoAVjIP",55,242,10,1673518175613509632,0
https://x.com/yarnieyarnyarn/status/1671918963675254784,22/06/2023,"this is the same writer who didn't get SA's character's name (seriously, the name of the co-head of the titular family) right in that article about the spinoff? then fixed it but erased her portrait, which took a wk to fix. 🐝ton &amp; Netflix never beating the racism allegations.",18,108,2,1671918963675254784,0
https://x.com/yugiohtas/status/1671298809073373184,20/06/2023,"I saw someone reply “wrong breast size” to a picture of live action Nami from Netflix One Piece and now thanks to their insight I realize we seriously need to confront this issue across the board.

Daniel Day-Lewis as Lincoln? WRONG breast size.",150,1815,40,1671298809073373184,0
https://x.com/yoojmins/status/1672230713058291712,23/06/2023,"loveyus stick together and double your efforts for her, this is genuinely pissing me off so much bc it is such a non issue. baseless and bizarre, she doesn't owe anyone an apology for saying she is watching a widely popular stupid anime on netflix among 388383 others.",59,159,0,1672230713058291712,0
https://x.com/tv3_ghana/status/1670797317421645836,19/06/2023,"New Netflix movie, Heart of Stone, to feature track by Ghanaian musicians Stormzy, Black Sherif and Amaarae  https://t.co/XL8xgR8Kd7",226,4496,15,1670797317421645836,0
https://x.com/mingukiu/status/1673733350195101697,27/06/2023,gonna ask around tomorrow for theatres that can show netflix movies and for rates.. then will do a survey of intersted maaenas to see what capacity of theatre we need.. if it's cheap enough let's do a double feature with broker since i already have the bluray (w eng subs) lol,24,215,5,1673733350195101697,0
https://x.com/basil_ie/status/1671164855527813121,20/06/2023,"It's about that time! I'll be available for new union storyboard work by the end of July. I've worked as a storyboard artist at Netflix, and most recently A24! Interested in TV and feature.

📩: basilezenwaart@gmail.com
🌐: https://t.co/REzzEnEwIe

Email for NDA password, thanks! https://t.co/Nvrhf8cdoY",47,234,0,1671164855527813121,0
https://x.com/MothershipSG/status/1671392319533375488,21/06/2023,"Universal Studios S'pore to feature Netflix's 'All of us are Dead' for Halloween Horror Nights 2023
https://t.co/v2Kz9tIID8 https://t.co/tAX7Ow2CxQ",481,1031,8,1671392319533375488,0
https://x.com/EPM106/status/1669663501290201089,16/06/2023,"Maybe I’m just a feature legnthcel, but if Netflix has a bunch of longform short films from Wes Anderson all adapted from the same short story collection all coming out this fall, I don’t see why they wouldn’t packager them together as an anthology film",3,121,3,1669663501290201089,0
https://x.com/_Matriach/status/1672301984530006016,23/06/2023,"My Netflix and Apple Music are literally because of my male friends that forget that I even exist until I message them to make payment when it has expired and they fix it and forget that I exist again.
I love them 🤭🥰🥰",4,34,2,1672301984530006016,0
