link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/Netflix_PH/status/1639937235704315905,26/03/2023,I can fix him https://t.co/XTA5tclDgK,2535,11214,125,1639937235704315905,0
https://x.com/starlessgold/status/1637796738378375169,20/03/2023,‘netflix only cares about twitter’ twitter exec if you’re reading this know that darklina is one of the most popular shadow and bone ships and you need to fix them in season 3 please https://t.co/oHgKeMJ2Le,50,342,3,1637796738378375169,0
https://x.com/gabbyzapata/status/1640437436861009920,27/03/2023,"Hi #VisibleWomen 👋🏼! I’m Gabby, a character designer/Visdev for animation currently at Paramount Animation on a Feature. Previous: Disney, Dreamworks, Netflix, Nickelodeon, and more! I love focusing on character costuming/development/surfacing 🥰 https://t.co/AHEvP13Qx4 https://t.co/0WkZdPLGbZ",136,1124,2,1640437436861009920,0
https://x.com/Mystic_riverrr/status/1640425055959040026,27/03/2023,"If you're contemplating watching John Wick Chapter 4, try these Vietnamese Martial arts action outings. Get that Raid euphoria back. Furie (2019) and Furies (2023) Serves as a great double bill feature. Veronica Ngo is the ultimate Mother. Both streaming on Netflix India. https://t.co/SFoWT6WjuD",30,265,4,1640425055959040026,0
https://x.com/chuuyeoseul/status/1639734644634697728,25/03/2023,"So the American company Oracle can freely track data from tiktok, netflix, Zoom etc and create a whole profile with our personal data (mics and cameras included), but tiktok is the issue???",38,398,4,1639734644634697728,0
https://x.com/datreylo/status/1639761020993302528,25/03/2023,"netflix has one chance to fix the ending of s&amp;b and give us what were originally promised. imagine if they did that.

 https://t.co/8u0WgsJUDE",6,47,2,1639761020993302528,0
https://x.com/CultLH/status/1640641394132828161,28/03/2023,"There will be a Netflix documentary about this 30yrs from now, and the usual suspects will be on there calling out the injustice of what happened when they did fuck all to stop/fix it at the time.

Grey haired Buxton: ""The AD2021 events signaled the beginning of the end for F1."" https://t.co/yb5bA7siIa",19,73,4,1640641394132828161,0
https://x.com/Football__Tweet/status/1641528242925346816,30/03/2023,"🚨 The Premier League has rejected the chance to feature in a Netflix Drive To Survive-style documentary series about the 20 clubs.

✍️ Telegraph https://t.co/HR2eoPWnQJ",44,886,16,1641528242925346816,0
https://x.com/everydaysiwan/status/1639569630875516928,25/03/2023,"Yim Siwan apparently is the cover star of the Digital Spring issue of The Glass Magazine!

“With the new Netflix film, titled Road to Boston, on the horizon, Yim Si Wan is set to make an even bigger mark this year.”  So the movie will be on Netflix?!

https://t.co/RYQdlVDrtB https://t.co/C2pkJXUu8T",29,90,0,1639569630875516928,0
https://x.com/keishathesket_/status/1641118970156576768,29/03/2023,"Murad merali getting a deal with Netflix isn’t outrageous to me. He was a Asian Domme PAID by submissive Black men to fulfil their race play fantasy. 

Black people should focus on the REAL issue. Why do SO MANY black men SEEK out race play to cope with internalised racism ?",2,19,0,1641118970156576768,0
https://x.com/nexusstories/status/1639298994303107073,24/03/2023,"'The House', our animated TV feature for @netflix has made history with its nomination in this year’s #BAFTATVAwards. In a first for the animation industry, 'The House' has been nominated in the prestigious @BAFTA for Single Drama category. https://t.co/8DZ1cVahYm https://t.co/zpIMUYbc8a",48,453,4,1639298994303107073,0
https://x.com/325YONG/status/1640152035105607682,27/03/2023,@Netflix_PH i can fix them https://t.co/ZTKjjwi7sV,1,38,0,1640152035105607682,0
https://x.com/alexclarmonts/status/1637182042457645058,18/03/2023,netflix are cowards for not giving me tamarnadia but that's ok i get my sapphics fix elsewhere https://t.co/qRoEOwFvry,2,12,1,1637182042457645058,0
https://x.com/FrightYa/status/1638423787132821505,22/03/2023,"Join #FrightClub and tweet along our Wednesday feature presentation, The Beguiled (2017) at 10:00 PM ET. Available on Netflix and NetflixBasic-Ads.

Let us lead you astray. https://t.co/0lVkjuNWZZ",4,7,1,1638423787132821505,0
https://x.com/SnyderQueen_/status/1639496837026521089,25/03/2023,".@ZackSnyder was asked, would WB #SellSnyderVerseToNetflix or another studio? Zack said ""The truth is, that would be amazing... Whatever control over the IP exists, that's not my role, as they say it's above my paygrade."" 🤯

Reupload to fix audio 🤞
#SellZSJLtoNetflix @Netflix https://t.co/HLWtDNJ7eh",145,562,26,1639496837026521089,0
https://x.com/glassmagazine/status/1639220885839302656,24/03/2023,"Best known for playing the role of the disarmingly strategic Kaz Brekker in Netflix’s Shadow &amp; Bone, @FreddyCarter1 has returned to our screens for its second season which he delves into in the spring issue of Glass Man. Out this weekend. https://t.co/Q3RPWPlPpE",17,53,0,1639220885839302656,0
https://x.com/waiting2ndlife/status/1640005941205561347,26/03/2023,@Netflix_PH I can fix him. He can break me. Let's try! https://t.co/ruUi8XEyN4,9,88,0,1640005941205561347,0
https://x.com/simplebonnet/status/1636742053819211776,17/03/2023,"#Dance100 They need to mix that sound better oh my god, all you can hear is audience cheering!!! @netflix PLEASE FIX DANCE 100'S AUDIO",1,51,1,1636742053819211776,0
https://x.com/Ganapathi_97/status/1637455188771606528,19/03/2023,"My biggest issue with big brands doing social media is that none of them have a voice that's unique. 

Four screenshots from tweets by Netflix, Prime, Hotstar, and Film Companion. Match the brand to the tweet. 

Do better. https://t.co/Am00p33U9Z",1,18,0,1637455188771606528,0
https://x.com/jaseybel/status/1636717046393348101,17/03/2023,"Martika Ramirez Escobar’s debut feature LEONOR WILL NEVER DIE (@LeonorWillNever) is now on @Netflix_PH. For @agoodmovietw, I wrote about how cinema becomes an opportunity to negotiate grief, atone for mistakes, and celebrate life in the Philippines.
https://t.co/50s8uEG7Lb",4,19,0,1636717046393348101,0
https://x.com/OpeyemiAkande14/status/1639911893098803200,26/03/2023,"That was how I played around and produced my first feature film with amazing performances from my wonderful cast. It is currently showing on Netflix. Please go and watch. 

Imagination no go wound me 😂 God abeg🤲😂",2,18,6,1639911893098803200,0
https://x.com/yeankhar/status/1639720128102252545,25/03/2023,Is anyone else having this issue with Netflix? It’s working fine on phone and laptop but the tv keeps showing this https://t.co/lJQpFMw1YM,7,8,9,1639720128102252545,0
https://x.com/Larry63204614/status/1641570706440835074,30/03/2023,"THREAD: PAGE 1/2

Tackling Netflix's Password Sharing Problem with Theta Network and NFTs: A Synergistic Solution

Netflix's password sharing issue has been a long-standing problem, leading to significant revenue losses and threatening the sustainability of the streaming… https://t.co/ZQE10foy46",17,78,1,1641570706440835074,0
