link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/Nilushana/status/1648304771101790209,18/04/2023,"Amidst the controversy surrounding exporting monkeys to China, this is a serious issue which needs to be taken in to consideration by authorities. 

Not only monkeys, the population of peacocks and giant squirrels are also on the rise towards detrimental level for routine farming… https://t.co/O7rITzxMW9",17,84,41,1648304771101790209,0
https://x.com/FrightYa/status/1649667646475112449,22/04/2023,"Join #FrightClub &amp; tweet along Saturday's double-feature starting with Terrifier (2018) at 10:00 PM ET. On Tubi,  Peacock, Vudu w/ads, Roku Channel

Then, join us at 11:40 PM ET for Terrifier 2 (2022). On Prime &amp; Roku Channel. 

Let Art The Clown demonstrate how to get clowned. https://t.co/JH2COjmUi8",9,19,2,1649667646475112449,0
https://x.com/TVFan43/status/1651606778109362177,27/04/2023,"So all the Black women in Salem and they only have white men available to hook up with. I’m all for interracial couples but come on, your audience deserves to see some Black love on television. @peacock fix this. #days #dool #DaysofourLives",0,5,2,1651606778109362177,0
https://x.com/ItsGresh/status/1642325897427517441,02/04/2023,Hey peacock can you give us the feature to pick our quality? Cause going from 720 or 1080 to 360 every 60 seconds is annoying lol,8,82,8,1642325897427517441,0
https://x.com/FrightYa/status/1645684122046861314,11/04/2023,"Join #FrightClub and tweet along Tuesday's feature Encounter (2019) at 10:00 PM ET. Available on Tubi,  Freevee, Peacock w/ads, and PlutoTV.

Would you say no to a Hemsworth? https://t.co/6ZPg2zK3n8",7,8,1,1645684122046861314,0
https://x.com/FrightYa/status/1652573004671647746,30/04/2023,"Join #FrightClub and tweet along Sunday's feature, Good Neighbors (2011), at 10:00 PM ET. Available on Prime, Tubi, Peacock,  PlutoTV,  &amp; Roku Channel. 

Meet the next level Karen https://t.co/x20Q8jWjFN",12,15,0,1652573004671647746,0
https://x.com/TVFan43/status/1646884889503887361,14/04/2023,@PrettyMissThea @peacock This has been happening the past week for me also. Hopefully they fix it,0,1,0,1646884889503887361,0
https://x.com/mmemberville_gh/status/1643781634221813760,06/04/2023,@BelAirPeacock @peacock maybe he needs to use this same style to fix his own https://t.co/SnvjyvLusw,1,3,1,1643781634221813760,0
https://x.com/fatboyslim_210/status/1650940627251503121,25/04/2023,We’re gonna be set up in Peacock Alley for the day of unity event May 7th! Come get your Puerto Rican food fix. https://t.co/oBP1VX8rKk,5,12,1,1650940627251503121,0
https://x.com/itechhacks_/status/1645282732459835392,10/04/2023,How To Fix Peacock Not Working or Loading Issue https://t.co/Kcvmda7wKG via @itechhacks_,0,1,0,1645282732459835392,0
https://x.com/ashhh_leynicole/status/1648913019920068608,20/04/2023,Peacock has an on demand feature😲. Catch me watching early SVU episodes!!!,0,3,1,1648913019920068608,0
https://x.com/IraqiCowboy/status/1643760848081395716,05/04/2023,"Love her, but Showtime was an issue like no one I know in her target age range has or wants Showtime 😭 i was just enjoying it via social media clips...

....now when she (hopefully) gets picked up by HBO/Peacock 😍😍😍",1,22,1,1643760848081395716,0
