link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/Realitytv__fan/status/1735340362506387865,14/12/2023,"Both The Traitors US and UK will feature after shows following each episode that will feature interviews with eliminated contestants and their reactions to the traitors' identities.

Traitors Postmortem (US) is on Peacock &amp; YouTube. Traitors: Uncloaked (UK) is on BBC iPlayer. https://t.co/OnalQLUQjp",56,673,8,1735340362506387865,0
https://x.com/123itsmeMary/status/1739330790394064963,25/12/2023,"I was watching Mohawk Girls on Peacock which takes place on the reservation. There's a storyline about dating a Black man &amp; they said that's worse than dating a yt person. Imagine being colonized, killed, and having your land stolen by craquers but niggas are the issue. 😂",73,506,16,1739330790394064963,0
https://x.com/21xsara/status/1735716308136890712,15/12/2023,"The Art Deco doors of C.D. Peacock, a jewelry store that closed its last downtown location in 1993, are a stunning sight to behold. 

They are made of bronze and feature a peacock with an elaborate feather design. The doors were made by Tiffany in 1925 and were the store's… https://t.co/oweNsrIKFO",42,314,6,1735716308136890712,0
https://x.com/ohparis/status/1737155798890131900,19/12/2023,"I have been blown away by the love and support from my community about my first feature ‘12 Dares’. My fellow writers and creatives know what it means to see something you created come to life, so from the messages to the tags, I am so so grateful. #watchnow Peacock &amp; freevee https://t.co/SJ9V8tuVWf",6,94,9,1737155798890131900,0
https://x.com/jygodoydirector/status/1732516910401499513,06/12/2023,"Two years ago today with these incredible actresses for my feature directorial debut! Catch Diamond in the Rough now on @peacock #romcom 
#latinadirector https://t.co/9VgrykOJK0",5,18,0,1732516910401499513,0
https://x.com/FrightYa/status/1733000701109031385,08/12/2023,"Join #FrightClub and tweet along Friday's double-feature starting with 6 Films To Keep You Awake: A Christmas Tale (2005/2008). On Tubi, Roku Channel.

Then join us at 11:30 PM ET for Rare Exports: A Christmas Tale (2010). On Tubi, Pluto, Peacock.

We'll make you believe. https://t.co/RVX8HHsab1",12,14,1,1733000701109031385,0
https://x.com/thetvdeepdive/status/1730479237587677653,01/12/2023,Day one of Tish and Christina’s ultimate December must watches. Today is a double feature that Tish watch’s every year. The best man and the best man holiday. Available on peacock in the US and on prime in Canada. Do you have any movies you watch every year at Christmas? https://t.co/vti7kH1EyK,4,3,1,1730479237587677653,0
https://x.com/naotaBox/status/1733971375566844411,10/12/2023,An Inoue feature package on Peacock huh? That was unexpected.,1,12,4,1733971375566844411,0
https://x.com/ringernfl/status/1738729011944059256,24/12/2023,Peacock trying to figure out how to fix the color on the Bills-Chargers game https://t.co/J9MDzXJZ1a,15,222,15,1738729011944059256,0
https://x.com/ArmanditoV/status/1732500449415315945,06/12/2023,Fix your shit @peacock . Why are your live games so far behind?,0,2,0,1732500449415315945,0
https://x.com/philenespanol/status/1731464412823720028,04/12/2023,"NASCAR awards banquet is live on Peacock, just in case you need your vroom vroom fix still",2,32,5,1731464412823720028,0
