link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/alexlumaga/status/1627799583672655872,20/02/2023,is gin and tonic bad for peacocks? like how many g &amp; t's can they put down before it's a big issue (this is a time sensitive question),6,28,0,1627799583672655872,0
https://x.com/aviancelacarbee/status/1627196331847479298,19/02/2023,"Fire Signs 🔥 
Aries Leo Sagittarius 
(sun,moon,rising,venus)

The peacock symbolizes beauty, masculinity, glamour, luxury, protection, pride, versatility, renewal, awareness, and metamorphosis. Only the male peacocks feature bright-colored feathers. https://t.co/3N9edjWLfK",4,4,1,1627196331847479298,0
https://x.com/dirtypoolfilms/status/1623179967453360130,08/02/2023,"@WaldoTJ @MasonAPark @nbc @Shakeenz @peacock @martingero @DeanGeorgaris Oh no, whatever did they do to notoriously apolitical Quantum Leap?  Had them deal with a real world issue with empathy and openness? How dare? https://t.co/biJZB6zGj3",0,40,1,1623179967453360130,0
https://x.com/LuckyMcKee/status/1624556663058432000,11/02/2023,"Lucky McTV work to date: POKER FACE ep 5 on @peacock &amp; MASTERS OF HORROR ep 10 on @Tubi - 

Double feature? https://t.co/1w89yLOz3i",6,90,8,1624556663058432000,0
https://x.com/mophead68076488/status/1630173765047918597,27/02/2023,"@SYFY @peacock Please fix your problem and renew @HappySYFY 

#SaveHappy https://t.co/PSgnevNs1t",0,2,1,1630173765047918597,0
https://x.com/PoisonOfChoice/status/1630297557179191296,27/02/2023,"How do you know this APMC grain trader is a figment of her imagination (will feature in her report as ""spoke under condition of anonymity"")?
A: ""'good looking Mughal like' Muslim men"". 🤣

Have you not seen your peacock haired TikTokiya chhap quomis, doll? Mughals were uggos too.",9,63,4,1630297557179191296,0
https://x.com/Pujemin/status/1627139267595206656,19/02/2023,"Are you Ready? Tonight's #Splatterday feature is a low budget, special effects work of art

10pm Dead &amp; Buried 1981

Best: Shudder Prime The Criterion Channel
Ads: Tubi Vudu Peacock

Watch this Cult Classic on your device and TweetAlong w/ #Splatterday Gang

#MutantFam #HorrorFam https://t.co/k8eHrkLYcW",3,15,1,1627139267595206656,0
https://x.com/MonarchDafey/status/1620870428016398337,01/02/2023,"At this point Colossus should be free of one brainwashing soon. His brother is, has been, always will be a POS. Never would've guessed the identity of the man with the peacock tattoo. Hoping GC in the exiles is Creed. Great issue. 
X-Force #37 https://t.co/L6Ir6ROuZK",0,11,2,1620870428016398337,0
https://x.com/paprcutsurvivr/status/1624826789590695941,12/02/2023,All nassau get is d average peacock with anger issue,0,1,0,1624826789590695941,0
https://x.com/RelevantRachel/status/1630388856498298886,28/02/2023,Hey @peacock fix the subtitle location on your dang app. https://t.co/iVAeXnxGv4,0,5,1,1630388856498298886,0
https://x.com/the_Rafixman/status/1626517512639877121,17/02/2023,@nalfirstart Peacock meeting a fellow hat wearing laddie and Peacock Fix le funni robot Cat https://t.co/sTCrSufi6Y,3,14,1,1626517512639877121,0
https://x.com/moviefan90/status/1625281185709703169,13/02/2023,"Hey @peacock, while I was looking through #Psych season 7 episodes, I noticed a spelling error with Shawn’s name in the second part of one of the episodes. Spelled right first, but then misspelled later. Might want to fix it. 😬 https://t.co/8P5PtiwSxD",2,13,2,1625281185709703169,0
https://x.com/dearlyreigns/status/1627107516491661312,19/02/2023,ima need peacock to fix their live quality  im already blind,0,6,0,1627107516491661312,0
https://x.com/TheRetroCoach/status/1621651484021755904,03/02/2023,"So many people are complaining about the Netflix password crackdown, HBO Max and Paramount+ pulling shows, YouTube dropping MLB Network, Peacock blocking the free tier from new users, rates going up...

The biggest streaming issue?

Ed still isn't available anywhere. https://t.co/0AWPQs1jDR",1,11,1,1621651484021755904,0
https://x.com/flickerandfade/status/1627697460822048770,20/02/2023,can @peacock please for the love of god fix whatever glitch it is that makes each episode start from the beginning whenever i pause a show? i’m a millennial with attention issues and if i don’t stop to scroll on my phone every five minutes my brain will shut down.,0,3,3,1627697460822048770,0
https://x.com/ShoujoseiWorld/status/1625366690438447106,14/02/2023,"Who Saw the Peacock Dance in the Jungle? Chapter 7 in Kiss magazine's March 2023 issue.

*not licensed
A former cop was murdered on a snowy Christmas Eve night. The suspect was arrested &amp; the case appeared to be closed.

However, a letter left by the murdered former cop to his https://t.co/vcMJyefTwl",1,11,1,1625366690438447106,0
https://x.com/peacock/status/1620893736875212802,01/02/2023,"In the meantime, I know where I’ll be getting my Beyoncé fix. https://t.co/WYzz2qFU0j",6,47,8,1620893736875212802,0
https://x.com/FlauntMagazine/status/1625928421875527680,15/02/2023,"@OrlandoBloom for Issue 185, The Cocoon Issue!

For his new unscripted show with @Peacock, Orlando Bloom has learned to free dive up to 102 feet, has parachuted, and tackled the dangerous hobby of wingsuit flying. His tests against his own sanity are inspired by his experience ag https://t.co/M45ryppAf9",3,7,0,1625928421875527680,0
https://x.com/Pujemin/status/1627101852486750208,19/02/2023,"2/2 
Feature 2 on Tonight's #Splatterday is a well loved horror classic

10pm Dead &amp; Buried 1981

Best: Shudder Prime The Criterion Channel
Ads: Tubi Vudu Peacock

Watch this Cult Classic on your device and TweetAlong w/ #Splatterday Gang

#MutantFam #HorrorFam https://t.co/MjbxxFQQOt",0,4,1,1627101852486750208,0
https://x.com/manticoremoons/status/1621779794982576128,04/02/2023,"the moment we got this line, it was a foretaste and a promise of the morning he'd get his dream come true - and it's such a devastatingly simple dream - and @peacock is attempting to rob us of that. fix it pls, universe.

#SaveVampireAcademy",6,10,0,1621779794982576128,0
https://x.com/tatyanna_monroe/status/1621892586658045952,04/02/2023,"The timing was never the issue. Fans have been waiting 15yrs for this to be a series! The problem was @peacock &amp; @NBCUniversal failing to market &amp; promote this show!
It deserves a network that can handle it! #SaveVampireAcademy",11,7,0,1621892586658045952,0
https://x.com/i_is_sam/status/1625571700871151617,14/02/2023,US friends. #TheTraitorsUK comes to @peacock tomorrow so you can get another fix!,2,7,0,1625571700871151617,0
https://x.com/elbow112/status/1624838821207474176,12/02/2023,"@Slackenough @Beetlegeuse02 @danny__peacock @markthehod @TED2501 @frogste43512860 It's a fix , they never had short people on sopt the ball ! https://t.co/OEtnS6P2F0",0,6,1,1624838821207474176,0
https://x.com/Philo1000/status/1628234619039391744,22/02/2023,"@kurtzellner @mic1303 @WormholeRiders @MckeeveMichelle @nomadmc @LeMyrn @Janeen_FluffyJ @helenes1101 @cIaireffraser @LanaSolange @SalyerSteve @kezzafiske61 @noz4a2 @sagevalentine @kimdgonzo @KrazyUniverse @ArcticGoddess1 @twotees68 @MzJenah @ltwolf67 @shireen14 @StevenLilien @ThorFreudenthal @eoincmacken @JonSeda @chikeaokonkwo @VeroStClair @IamNickGonzalez @IoneSkye1 @nbc @csoy13 @tvswan @CTV @Char_Fazio @Bigben20177 @Vela1006 @intorohan @peacock @labreaserienews Yes Kurt I need my spaceship fix!
#TheArk",0,3,1,1628234619039391744,0
https://x.com/_omgigi_/status/1620805676862963712,01/02/2023,honestly i can do wo i netflix long as i have peacock for my housewives fix and disney plus im good,0,7,1,1620805676862963712,0
https://x.com/thankyoucaleb/status/1620896726197616641,01/02/2023,"Someone just tell me who the Peacock man is, I haven’t pick up that book since like issue 5 #xspoilers",0,1,0,1620896726197616641,0
https://x.com/sici_purhe_xica/status/1621531652420734976,03/02/2023,"@Saravampx @THR please fix your article. It’s incorrect &amp; provides a false narrative. 

@peacock refused to promote this show appropriate &amp; you’re just adding more fuel to the fire. 

#SaveVampireAcademy #VaAudienceIsHere #VampireAcademy",3,7,0,1621531652420734976,0
https://x.com/NevermoreFF/status/1628078783382134784,21/02/2023,"In Filmmaker Jaco Minnaar’s dream-like and magically beautiful South African horror feature POU/PEACOCK, we follow the psychosexual journey of a young woman into the dark recesses of the Afrikaner psyche and its compromised past. https://t.co/PuilpdtSA3",1,4,2,1628078783382134784,0
https://x.com/imoddberry/status/1625675714325319682,15/02/2023,@Skullgirls 2 why is this not a feature already. also add it for peacock,1,45,1,1625675714325319682,0
