link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/DonOfThaBay/status/1680291098902646785,15/07/2023,@NBCSports @ACChampionship @nbc @peacock I’m convinced he has a zoom feature in his eyes. He’s not real! https://t.co/8pwcEBTCW9,26,748,10,1680291098902646785,0
https://x.com/carolinerenard_/status/1678177384053329920,09/07/2023,"Past Lives by Celine Song. Earth Mama by Savanah Leaf that came out on Friday with no noise from A24 interesting but I digress. A Thousand and One, feature debut by A.V Rockwell, missed it in theaters? It’s now on Peacock. https://t.co/eTGzPNJPOW",182,962,6,1678177384053329920,0
https://x.com/moonlighttsouls/status/1681474635882274816,19/07/2023,Live tweeting right now is all over the place. Everybody is watching it at different times. PEACOCK FIX YOUR APP. #loveislandusa  https://t.co/A9qVMdMXp7,3,46,1,1681474635882274816,0
https://x.com/salmanso_/status/1684042264409165825,26/07/2023,Peacock is tripping if they think they have the clout to raise prices @nbc fix up https://t.co/3SGPRDtCII,0,7,0,1684042264409165825,0
https://x.com/moonlighttsouls/status/1681468772488454144,19/07/2023,Now why is the episode out before scheduled time ? Peacock FIX IT. #loveislandusa https://t.co/wQwZgnXwdN,0,14,1,1681468772488454144,0
https://x.com/WrestlingBios/status/1684488469568016387,27/07/2023,"The update to WWE Network is absolute dogshit. Search feature is pretty bad with match results no longer showing up for broad terms (example ""Bret Hart 1997"" - the match results are free videos ""courtesy of peacock"")

Now I know what you guys have been dealing with using Peacock https://t.co/Vicwf96y68",14,265,35,1684488469568016387,0
https://x.com/SethRollinsFans/status/1683907905936818186,25/07/2023,"Seth to feature on the Cody Rhodes documentary! #SethRollins
#SFNR #ROLLINSFOREVER
#TeamRollins

American Nightmare: #BecomingCodyRhodes streams July 31, only on Peacock.  

📷: @peacock https://t.co/XUcVvmOka0",12,65,1,1683907905936818186,0
https://x.com/SouthernGh/status/1685987240218906625,31/07/2023,"I can't believe that I'm still having to ask this nearly a week later, but why is Albert Alarr still in charge of production, @DaysPeacock? His abuse and misconduct has hurt the staff and created a momentous scandal. But he's still there. Fix it! #FireAlarr! 

@Peacock https://t.co/745MYjCIqV",25,86,4,1685987240218906625,0
https://x.com/HHNstagram/status/1684991717961822220,28/07/2023,"From the press release. I assume this is what people thought was going to be a Weeknd bar. 

“New this year, Peacock’s Halloween Horror Bar will feature themed libations within an ominous nightclub vibe, photo opportunities, and more.”",1,31,1,1684991717961822220,0
https://x.com/KN47374/status/1680265235855294465,15/07/2023,"I got busy with work (plus lost a bit of interest) and let my @peacock subscription lapse.

I want @DaysPeacock to know I'm RE-SUBSCRIBING this weekend solely to see @Stacy_Haiduk and @ericmartsolf kill it next week.

Feature them MORE! #Days https://t.co/75oB5jx0RX",1,15,1,1680265235855294465,0
https://x.com/drinkbourbon/status/1675827899344072706,03/07/2023,"I feel like Peacock/NBC are trying to force us into watching their abysmal US coverage of the Tour by making the audio on the World Feed stream cut out every 5 seconds.

Fix your shit, Peacock. I'd rather subscribe to a VPN and stream Euro coverage.",0,10,2,1675827899344072706,0
