link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/TheNavroopSingh/status/1662646181229649920,28/05/2023,The Design behind the speaker chair in Lok sabha &amp; Rajya Sabha seems to have similarities to UNGA Assembly Hall. Even earlier Lok Sabha was Green &amp; Rajya Sabha red so I dont think its that big an issue coz Lok Sabha has Peacock theme &amp; Rajya Sabha Lotus theme. Plus Green colour… https://t.co/TBDw9zm0DU,54,252,7,1662646181229649920,0
https://x.com/mpgenchau/status/1655367261014851584,08/05/2023,"Most underrated feature: Tesla boombox.
Instantly trigger bird calls with your Tesla.
I've tried this on peacocks and ostriches, works like a charm everytime.
🐦🕊️🦜📢📢📢
@Tesla @elonmusk https://t.co/6eUa32WPkO",151,1698,161,1655367261014851584,0
https://x.com/mrjeffu/status/1663854084452143105,31/05/2023,"The July issue of right-wing Japanese political magazine WiLL features a caricature of US Ambassador Rahm Emanuel smoking an ""LGBT"" corn cob pipe while sitting in a peacock chair. They're trying hard to make him look like an arrogant MacArthur-like figure. https://t.co/C1b82inaKB",62,146,6,1663854084452143105,0
https://x.com/sherryc74/status/1662859094300979203,28/05/2023,New theory…LVP is closing SUR as well &amp; is leaving #VanderpumpRules &amp; Bravo altogether going to Peacock 4 new show 4 her Vegas restaurant. #Pumprules will continue on Bravo in LA with new name but feature TomTom &amp; Schwartz&amp;Sandy’s. That’s  why they don’t think all will sign. 🤔 https://t.co/AKNdBsq1Eg,3,179,36,1662859094300979203,0
https://x.com/FrightYa/status/1660503994375225344,22/05/2023,"Join #FrightClub and tweet along Monday's feature Red Lights (2012) at 10:00 PM ET. Available on Tubi, Freevee,  &amp; Peacock 

Skepticism encouraged https://t.co/GyJZndyYx6",9,11,0,1660503994375225344,0
https://x.com/karaswisher/status/1661891020848615429,26/05/2023,"State of play: To display basic incompetence over and over — rapidly spending down your cache of actual accomplishments — and still peacock like it’s all going gangbusters. Add to that: Casually cruel disingenuousness (see Paul Pelosi, see Bob Lee, etc etc) as a feature and not a…",49,245,1,1661891020848615429,0
https://x.com/SouthernGh/status/1658871463766532098,17/05/2023,"If we must take on inexperienced young actors that are cheap (thanks a lot Peacock) why not rebuild the Hortons? I'd rather feature fan favorites, but the writing is on the wall. 

#Days",7,71,13,1658871463766532098,0
https://x.com/bailalilah/status/1655412514900025346,08/05/2023,Will someone be the patient one and help me fix the peacock subscription on my amazon/TV?,0,1,2,1655412514900025346,0
https://x.com/DEADLINE/status/1663946816600289280,31/05/2023,"Natasha Lyonne and Rian Johnson team up to revive the detective procedural for the 21st Century with Peacock’s Poker Face 

Full issue here: https://t.co/dbCDVEgkv7

📸 Andrew Zaeh https://t.co/KR8KTBgk0b",17,80,0,1663946816600289280,0
https://x.com/MaizeCrusader/status/1663999979780751363,31/05/2023,"I’m fine with the Peacock thing, but if we miss out on 1 second of opening week college football due to some hiccup in the stream, or unforeseen issue, I’ll be pissed.",3,36,3,1663999979780751363,0
https://x.com/amperjess/status/1657577523079786496,14/05/2023,"If you're not watching Mrs. Davis on Peacock you should definitely try to fix that. It's exactly the type of ambitiously, uniquely batshit sci-fi that I can't get enough of.",2,4,1,1657577523079786496,0
https://x.com/CathSmithWales/status/1658876751726903296,17/05/2023,#NoMowMay can be a struggle with a roadside garden -  what will the neighbours say!! Plus if our lawns get out of control only the tractor &amp; topper can fix them😜. Think I’ve got the balance right this year  &amp; the Peacock butterfly agrees 🥰 https://t.co/fxnoMI11bY,0,6,0,1658876751726903296,0
https://x.com/gr8northernbean/status/1658189198191386632,15/05/2023,@Anime fix it. the whole thing. redo it. animate Azami. animate the Condor. animate the Peacock. give us Shiro’s full story. the anime for this is so good but it’s embarrassing compared to the manga. https://t.co/ldhtrXMTAT,3,44,1,1658189198191386632,0
https://x.com/IndyCar/status/1662868987703885829,28/05/2023,".@scottdixon9 pits with a heavy vibration issue.

WATCH LIVE: NBC &amp; Peacock

#INDYCAR // #Indy500 https://t.co/FkE0TON6D6",42,185,7,1662868987703885829,0
https://x.com/IndyCar/status/1662876350309597185,28/05/2023,"""We're going to try and fix it and get back out.""

@katherinelegge is out of the No. 44.

WATCH LIVE: NBC &amp; Peacock

#INDYCAR // #Indy500 https://t.co/e9PTh5Az0i",32,212,23,1662876350309597185,0
https://x.com/dreyesceron/status/1661133361228677122,23/05/2023,"Is the bar licensing issue with HBO and US Soccer still a thing? 

Because imagine explaining to bars that they have to go through this shit all over again 

(It more or less guarantees all of them are going to use Telemundo via Peacock for the foreseeable future)",0,19,3,1661133361228677122,0
https://x.com/peacock/status/1655664141745651713,08/05/2023,"Own the greatest sneaker never made (Warning: Walking on water feature not available) 👟  Post your favorite Mrs. Davis moment with the hashtag #BritishKnightsxMrsDavis to be entered to win a pair of Limited Edition British Knights shoes. 

NO PURCH NEC. Open to 50 US or DC, 18+.… https://t.co/8bH2IcJaSk",7,69,41,1655664141745651713,0
https://x.com/JWMediaDC/status/1656998999012802563,12/05/2023,"Friday Update: There will be no ""BIG TEN AFTER DARK."" on @peacock The eight game package the streamer has w/ the @bigten will be set for 7|:30PM/ET &amp;  feature @uscfb &amp; @UCLAFootball BUT ALSO B10 games not on the West coast. Possibly 2 or 3 late kickoffs - but not weekly",8,20,3,1656998999012802563,0
