link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/Shockng/status/1730514777254805876,01/12/2023,"Embrace the transformative power of human connection in Prime Video's captivating original film, Breath of Life directed by BB Sasore

The feature premieres Globally on December 15, 2023.

Watch the Official Trailer Now 🍿 https://t.co/HX7Nm29gr6",67,171,11,1730514777254805876,0
https://x.com/deaflibertarian/status/1739774121175572700,26/12/2023,"Dear Amazon Prime, 

Your feature of Prime
Video will cost me more money if I don’t want ad-free movies. 

I’m cancelling my subscription, which is supposed to be renewed in a few days. 

Bye. 

#amazonprime #PrimeVideo",51,513,41,1739774121175572700,0
https://x.com/kowalerts/status/1731909659442004145,05/12/2023,"KAPAMILYA SERIES SUPREMACY! 🔥🔥🔥

LOOK: Primetime Bida series and Prime Video Phenomenal Hit Linlang featured on ContentAsia’s Dec 2023 issue 🇵🇭❤️💚💙

Linlang original version has 40 eps with 45mins-1hr duration. The Prime Video version only had 14 eps with around 1hr per ep.… https://t.co/QNJXM2I1j8",244,1057,44,1731909659442004145,0
https://x.com/iamrodafrog/status/1741075449902748021,30/12/2023,May inside the drag den feature pala kami! Stream Drag Den with Manila Luzon season 2; Retribution starting January 18 on Prime Video!,19,144,0,1741075449902748021,0
https://x.com/MrCh1valry/status/1736566467292782855,18/12/2023,"All streaming services should have an X-ray feature that tells you the actors in the scene, the songs playing, etc.

It's easily my favorite feature of Amazon Prime Video, even if it is a way to get you to buy more shit from Amazon lol",3,20,3,1736566467292782855,0
https://x.com/MailSport/status/1732356888824602719,06/12/2023,Amazon Prime Video have introduced a GAME-CHANGING feature to their Premier League match broadcasts 😲 https://t.co/YcZp0tWrTr,6,54,16,1732356888824602719,0
https://x.com/Dajah_Simonee/status/1740047904323080396,27/12/2023,No way Mr. Bozo got all that money and can’t make prime video work on a mobile device. The interface is already HORRID the least he can do is get whoever to fix the bugs like,0,1,2,1740047904323080396,0
https://x.com/frmtheprecipice/status/1730701224260026462,01/12/2023,Doing bad wanted to rewatch rwrb and it's not on prime video atm ...at my limit pls fix @PrimeVideoAUNZ @RWRBonPrime  https://t.co/SZP5azhWuF,1,4,0,1730701224260026462,0
https://x.com/MacRumors/status/1739983248267300898,27/12/2023,"Amazon Prime Video to Feature Ads From January 29, With $2.99 Fee to Avoid Them https://t.co/fjvFzjYPcQ https://t.co/RBWsTjAaiN",32,153,21,1739983248267300898,0
https://x.com/KlassyMcKlass/status/1740116439330156620,27/12/2023,"This is so lame… Amazon Prime Video to Feature Ads From January 29, With $2.99 Fee to Avoid Them
 https://t.co/dQKyG7Vi2P",1,2,1,1740116439330156620,0
https://x.com/storiesbyjemay/status/1740434184068382799,28/12/2023,"Octavia Spencer, Hannah Waddingham Team Up for New Action-Adventure Series at Amazon Prime Video

&gt;&gt; This is what happens when you're an artist with an actual project to announce.
Trade publications feature your photo along with your costars and announce the project by title…",3,78,4,1740434184068382799,0
https://x.com/TCTnow/status/1740309411804193132,28/12/2023,"Beginning January 29th, Prime Video will feature commercials, with the option to remove them for an extra $2.99 per month. https://t.co/aE8BPejm5C",0,1,1,1740309411804193132,0
https://x.com/cainlatwitch/status/1741187718342656385,30/12/2023,Amazon Prime Video will feature 'limited ads' in 2024 unless members pay more 😱https://t.co/MYE5Iek5fi,1,6,1,1741187718342656385,0
https://x.com/HerbertHistory/status/1739881596088447201,27/12/2023,"I immediately canceled my @PrimeVideo &amp; 
@amazon subscription. Further, #HATM will no longer feature #Amazon films, effective immediately.

Prime Video Ads Are Coming On January 29, Amazon Announces To Subscribers https://t.co/YaePFHEVrc via @Deadline",21,100,10,1739881596088447201,0
https://x.com/alkikodibear/status/1740132859653046755,27/12/2023,I signed up for commercial free prime video when the 2.99 subscription kicks in.  I’m not bothered by it.  I’ve been a prime member for years. It pays for itself. This morning My groceries were delivered for free. I didn’t even know streaming videos was a feature until last year.,1,8,3,1740132859653046755,0
https://x.com/NDalum71/status/1730429604702114241,01/12/2023,"What the heck is the matter with the live feed on Prime Video's Thursday Night Football every single, week. Commercials are clear as a bell but the live game feed looks like it is canned game film from the 1860s.  Fix this already, it's week 13 already. It is horrible to watch!",0,1,1,1730429604702114241,0
https://x.com/groomtings/status/1740118300322119714,27/12/2023,"Prime Video Execs: “we have a new feature this year where we show how many subs each team has left, above the score line”

Pundits: “okay that sounds good”

Prime Video Execs: “we want you to remind the audience about it every 20 seconds”",0,6,0,1740118300322119714,0
https://x.com/IGN/status/1731010613977976920,02/12/2023,"Bethesda's games are some of the most beloved of all time, and one of the most memorable parts of its games are the hilarious bugs. While Prime Video's Fallout series won't feature a nod to them in its first season, there is still hope for the future. https://t.co/k9uN1DDQ10 https://t.co/34vHRXFyFk",22,260,16,1731010613977976920,0
https://x.com/its_mobola/status/1739729657916776860,26/12/2023,I’ve been trying to create a prime video account since yesterday to no avail. What am I doing wrong and what could be the issue?,0,1,1,1739729657916776860,0
https://x.com/sindlehoepe/status/1732150975715070150,05/12/2023,"Amazon Prime Video adding little white dashes to show how many substitutions each team has left, is this really a necessary feature? 🤦🏻‍♀️",0,1,2,1732150975715070150,0
https://x.com/WKM_Up/status/1736690334652882978,18/12/2023,"The production house is currently under a 3-picture feature deal with Prime Video.

#BreathOfLife was the first announced feature in 2022. The faith-based film that touches purpose and destiny premiered on December 15, 2023. https://t.co/WGqkyeHTBC",6,11,0,1736690334652882978,0
https://x.com/tbhTanuj/status/1735877358396256484,16/12/2023,.@PrimeVideoIN @AmazonHelp why prime video doesn't have screen lock feature in landscape mode ?,1,0,1,1735877358396256484,0
https://x.com/iPhone_News/status/1739993864071528533,27/12/2023,"Amazon Prime Video to Feature Ads From January 29, With $2.99 Fee to Avoid Them
https://t.co/3ZMPeIf1PV",1,5,0,1739993864071528533,0
https://x.com/MovieManKev/status/1732617682808185088,07/12/2023,"L is for The Lake on Prime Video

To be honest, this Thai Kajiu film is a bit of a mess. The script could've used way more polishing and the ending is pretty awful, but whenever the creature does turn up in this feature, I was quick to forgive the film's vast number of faults.… https://t.co/e8DTPgRyl6",0,0,0,1732617682808185088,0
https://x.com/wanderoushollow/status/1740461443466850461,28/12/2023,"honestly if Prime Video can keep absorbing other apps through add on subscriptions, the Watch Party feature will be a killer feature and future streaming staple.",0,1,1,1740461443466850461,0
https://x.com/sirdave1/status/1740196489622938073,28/12/2023,Great. Prime Video will now feature advertisements... unless you want to pay an additional charge. #cancelprime @PrimeVideo https://t.co/kpt8Odv208,0,2,0,1740196489622938073,0
https://x.com/MovieManKev/status/1736453296187998557,17/12/2023,"U is for Unnatural on Prime Video

It'd be easy to give this middling creature feature the cold shoulder but if you bear with it, you'll find that it's an okish undemanding way to spend a lazy rainy Sunday afternoon.

C-

#FilmAlphabet V157 https://t.co/lJG7kiNCNG",0,0,0,1736453296187998557,0
https://x.com/MidwestMutineer/status/1741492825122824291,31/12/2023,Amazon Prime doesn’t even get my boxes delivered within their “2-3” day window even though they just built two new hubs near my home. Now they want to ADD $2.99 a month for ad free Prime Video I don’t watch?! Just so I can watch the 5 games the WNBA has each season? Fix it Jesus!,0,4,0,1741492825122824291,0
https://x.com/meJat32/status/1741481878580785407,31/12/2023,Is there any way to make subtitles sync on Prime Video? Facing issue with multiple films recently.,0,15,4,1741481878580785407,0
https://x.com/KingJongPun/status/1739802119706718547,27/12/2023,"@Jonathan_Blow It is not a bug, it is a feature. They don't want users to upgrade to the ad-free version, they want everyone to be on the ad-supported plan.

Ads bring way more money than people think, and Prime Video runs on devices without easy adblocking (smart tvs, consoles, mobile).",0,18,1,1739802119706718547,0
https://x.com/MunshiPremChnd/status/1739984027388395602,27/12/2023,"Amazon Prime Video to Feature Ads From January 29, With $2.99 Fee to Avoid Them Amazon Prime Video to Feature Ads From January 29 With $2.99 Fee to Avoid Them: https://t.co/daFDG6KEVp https://t.co/daFDG6KEVp",0,0,0,1739984027388395602,0
https://x.com/CreativeFirstIN/status/1740955774254199026,30/12/2023,"Amazon Prime Video India‘s streaming service has had a record 2023 with 22 series and three feature films commissioned.

Follow the link below to read more

https://t.co/dm6GLAaOPY https://t.co/esu9FyiavG",0,0,0,1740955774254199026,0
https://x.com/FuturistForever/status/1740349633220456476,28/12/2023,"Amazon Prime Video to have ads in UK from February

The ""limited"" ads will feature in content unless people pay £2.99 a month to remove them.

https://t.co/iAnMiErdyn https://t.co/tcgYCRG3VL",0,1,0,1740349633220456476,0
https://x.com/CMDolan99/status/1738944602831216877,24/12/2023,"The worst part of streaming NFL games on Prime Video &amp; Peacock is when you ""channel jump"" away from it, you're looking at 4 button presses minimum to get back. 

""Who's watching?"" 
""Watch live or from the beginning?""

1st world issue, I know. But I hate it.",0,1,0,1738944602831216877,0
https://x.com/MunshiPremChnd/status/1739967151165829511,27/12/2023,"🚨BREAKING NEWS🚨 Amazon Prime Video is shaking things up! Starting Jan 29, they'll feature ads, but fear not, you can dodge them for just an extra $2.99/month. What do you think? Check out all the deets here: https://t.co/KD6kDRvNj3",0,1,0,1739967151165829511,0
https://x.com/BrianEcker/status/1740018340339564998,27/12/2023,Prime Video is already useless to me so is there any plan where I can drop video entirely and get a price break on my 1-day shipping (the only useful feature of Prime)?,0,0,0,1740018340339564998,0
https://x.com/CoreyECohen/status/1741588167734497537,31/12/2023,It’s funny that like half the shows they feature on the Prime Video commercial don’t come with Prime Video. You have to rent or buy or add Max or Paramount+.,0,0,0,1741588167734497537,0
https://x.com/Murph2Times/status/1740036775844987030,27/12/2023,"Amazon just sent me an email saying that Prime Video will now feature ads.

Like what is the point of these subscription services anymore? No ads was the main selling point for me.

In order to have an ad free experience you have to pay an additional $40 on top of the annual fee.",0,2,0,1740036775844987030,0
https://x.com/MacRumorsFP/status/1739984501349249360,27/12/2023,"Amazon Prime Video to Feature Ads From January 29, With $2.99 Fee to Avoid Them https://t.co/BTshzMphfm https://t.co/SXdvvqBn9K",0,3,0,1739984501349249360,0
https://x.com/AndyVermaut/status/1740765518255305112,29/12/2023,"Andy Vermaut shares:First Lady (2020) Streaming: Watch &amp; Stream Online via Amazon Prime Video: If you enjoy watching romantic comedies, First Lady (2020) should feature on your watchlist. Directed by Nina May, the film opens in the aftermath… https://t.co/Pw2ABfzIf9 Thank you. https://t.co/ytgRdNJSud",0,0,0,1740765518255305112,0
https://x.com/9e3k/status/1739343377986990326,25/12/2023,"prime video channels are offering 30 day free trial at the moment - including bfiplayer, studiocanal, crunchyroll, and mubi. 

I'm gonna get my Kurosawa fix .",0,1,0,1739343377986990326,0
https://x.com/Sugamyata/status/1741307118492459298,31/12/2023,@PrimeVideo @amazonIN I am partially Blind. Your Amazon Prime Video App has become inaccessible in the latest update in home Screen and other areas. Kindly do proper Accessibility Audit of your all the platforms and fix the issues for the Screen Reader Users. @PrakashWKamatPK,5,6,1,1741307118492459298,0
https://x.com/Vance_Roberts5/status/1731090016334414230,02/12/2023,@HeroDividend I think so. Comes with prime video and most deliveries are free if you buy the prime item. I’ve also read they’re having some medical type thing rolling out for prime members. I think you can have video calls with doctors and discuss your issue. Just one example,0,16,3,1731090016334414230,0
https://x.com/AndyVermaut/status/1739969941695254850,27/12/2023,"Andy Vermaut shares:Amazon Prime Video to have ads in UK from February: The ""limited"" ads will feature in content unless people pay £2.99 a month to remove them. https://t.co/cJmACrxcFn Thank you https://t.co/ssGKWtbSyK",0,0,0,1739969941695254850,0
https://x.com/kushalambo/status/1741175673224675449,30/12/2023,@mimansashekhar Web series format is a overdose now. I am avoiding most of the new shows. I have been watching Prime Video collection of some old American feature films which were not so popular in India.,0,2,1,1741175673224675449,0
https://x.com/BlurayLuray/status/1733306568555270280,09/12/2023,@lebrickster I've been seeing a lot of your SB posts lately (big fan of weird mastering stuff like that) but I'm curious if you are aware of the prime video releases of S1-3? almost every minor issue is fixed in those masters and its the best the show has ever looked imo https://t.co/7LU0ew9dBg,0,2,2,1733306568555270280,0
https://x.com/JadedJon/status/1740080050676900107,27/12/2023,"Call me crazy but Prime video had the best video player I've ever used for a streaming service.

X-Ray is an amazing feature that I h9pe to see others pick up as well.",0,0,0,1740080050676900107,0
