link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/duaalities/status/1632158998529974272,04/03/2023,prime video's x-ray feature is so underrated especially for music/soundtrack purposes this should be part of all streaming platforms ux,1,23,3,1632158998529974272,0
https://x.com/davidclairb/status/1632052364747186179,04/03/2023,"2 DAYS UNTIL MY DEBUT FEATURE FILM DROPS ON AMAZON PRIME VIDEO! This may be the biggest week of my career so far but regardless, I followed my dream and never gave up. Praying for the best outcome. 🙏 ✌️ https://t.co/eSXaqN9Lje",2,14,1,1632052364747186179,0
https://x.com/nestacssian/status/1636506437437235201,16/03/2023,me refreshing prime video in hopes that they will fix the problem now and not wait another hour for the release https://t.co/FrrrnT0FvS,0,6,0,1636506437437235201,0
https://x.com/hazeyjanei/status/1633168797598371840,07/03/2023,"Inshallah yeh ho jaaye bcs prime video is my bff anyway. My unpopular opinion is that the prime interface is in fact the best streaming one, far more than netflix, because the experience is more customisable with the quality and subtitle size options. Also &lt;3 the XRay feature https://t.co/Mz1ohRGgnE",0,8,2,1633168797598371840,0
https://x.com/Shockng/status/1634520183288090625,11/03/2023,"⚡️Stream Wars: Cinemax has unveiled its 1st SVOD licensing deals

The titles are Biodun Stephen directed titles namely ""Strangers and Sista""

Both will head to Netflix &amp; Prime Video respectively. The former had a theatrical run in 2022 while the latter is an unreleased feature. https://t.co/SibXOUR1fj",14,52,1,1634520183288090625,0
https://x.com/kidkerrigan/status/1634317959953784832,10/03/2023,"🏆 My first live-action feature dub was a doozy!

I recorded the English voice for a principal character, Grete, played by the lovely Maria Hofstätter.
(Such a great film btw, actually do recommend!)

You can watch Frozen Lake on Amazon Prime Video 😎 
https://t.co/xFDkeL8RCN",0,36,5,1634317959953784832,0
https://x.com/KoreanUpdates/status/1634854494180634624,12/03/2023,"Our future top dating coach #YooInna poses in Spring mood for Marie Claire Korea (Mar'23 issue). Yoo will be leading upcoming ENA's drama 'Bora! Deborah' as top dating coach, which will be available globally on Prime Video

https://t.co/RKNOBvVjmo #KoreanUpdates RZ https://t.co/7tnuDvvJCS",51,230,0,1634854494180634624,0
https://x.com/stuckinrevmode/status/1631076022870261762,01/03/2023,prime video’s little feature that shows the name of the actors in that scene and the music that’s playing? the best invention since bread,1,52,2,1631076022870261762,0
https://x.com/takemycinema/status/1639372400566444032,24/03/2023,"if you haven’t watched daisy jones and the six on prime video, literally what is wrong with you, go fix that shit and start watching immediately",2,4,2,1639372400566444032,0
https://x.com/obxstiles/status/1637629838767923200,20/03/2023,if prime video crashes one more time i am going to commit a crime 🫥 @PrimeVideo pls fix ur shit https://t.co/OXfGwLEQcs,0,3,1,1637629838767923200,0
https://x.com/rowaelinanti/status/1641622610885615619,31/03/2023,prime video’s x-ray feature is one of the best things they came up with,0,3,1,1641622610885615619,0
https://x.com/i_am_sk_0212/status/1633014785259470851,07/03/2023,@nothing Fix the Widevine issue which is not allowing us to watch Netflix and Prime Video in HD. https://t.co/wG2Knaqxzt,0,6,3,1633014785259470851,0
https://x.com/KanonasV/status/1641905011104907264,31/03/2023,Prime video has this feature where they name all actors featuring in a particular scene on the play/pause screen. very cool,1,6,5,1641905011104907264,0
https://x.com/SourceRyan/status/1637968440085430276,21/03/2023,"Prime Video having a built in feature where you can share a clip from the show you’re watching is masterful. This is how you get people to watch. 

Gagged her lmao. #HarlemEverAfter, check it out now on Prime Video https://t.co/ELEXQZ0bA3 https://t.co/6N6v2sf7i8",2,6,0,1637968440085430276,0
https://x.com/seanapai_2k/status/1631884278152806401,04/03/2023,"@Slipshocktv @BigHomieOnyx We be there watching the moment they’re out 😤

Btw Amazon prime video on pc has a watch party feature… just sayingggggg https://t.co/5k2V8Yqbdw",0,3,0,1631884278152806401,0
https://x.com/Harshit_who/status/1631363434356051968,02/03/2023,"Prime video's X ray feature is so underrated! 
It's so freaking amazing to know more about the story when you are watching a historical movie",0,1,0,1631363434356051968,0
https://x.com/idris3396/status/1641094967295881216,29/03/2023,Prime Video's X-Ray feature is underrated.,0,1,0,1641094967295881216,0
https://x.com/grannyiescrazy/status/1633234081919156224,07/03/2023,"Who’s that actor? What’s that song? Prime Video’s interactive X-Ray feature has the answer 
https://t.co/dddzL53tI8
Spice rack maker https://t.co/wzmSQqxp2f https://t.co/iNDbO92Dap",0,0,0,1633234081919156224,0
https://x.com/somanypetals/status/1636922024085049344,18/03/2023,PRIME VIDEO FIX YOUR SUBTITLES CHALLENGE should honestly make a masterlist of all the mistakes,0,0,1,1636922024085049344,0
https://x.com/thvdiaries/status/1634551197863641093,11/03/2023,"seojins third episode has been released you can watch it on Amazon prime video if it's available. 

everything related to taehyung https://t.co/xjt4Qz1DWs

V is coming to feature on Elle korea magazine April issue. 
https://t.co/b8auC7oLAa",3,8,0,1634551197863641093,0
https://x.com/Real_Chimmeli/status/1641882176592531458,31/03/2023,"My youtube series hit 10million videos in January. 
I have 2 films on Netflix, a feature film and a series. 
Working on a project with Prime Video.
Got engaged and married to my best friend.
Just found out I'm pregnant with twins.
Built an estate for my parents.",1,6,3,1641882176592531458,0
https://x.com/Iamromanceme/status/1638467601503322112,22/03/2023,SoulwellPublish: ‘Trunk’: Amazon Prime Video Greenlights High-Octane German Feature EXCLUSIVE: A backpacker’s battle to escape the locked boot of a car and regain her memory is to be the plot of Amazon Prime Video’s latest German movie. In high-octane th… https://t.co/dg9ffbbk6r,0,0,0,1638467601503322112,0
