link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/hourlytacha/status/1708819559459795248,02/10/2023,"FORBES Africa Feature 

The Big Friday Show with Tacha on COOLFM

PalmPay Nigeria 

Prime Video

TECNO 

KFC and NBA

UNICAF

In 2023 alone? TACHA DID THAT

#TachaTitans𓄍 https://t.co/8Q3n3V2ycN",189,628,12,1708819559459795248,0
https://x.com/Shockng/status/1714302482170401275,17/10/2023,"🟢⚡️Just IN: Big Love, directed by Biodun Stephen, will begin to streaming exclusively on Prime Video From October 20th

&gt;&gt; The Inkblot 2023 produced feature is a rom com story of Adil and Adina that debuted on the big screens back in June and wrapped it up its theatrical run… https://t.co/GSs5Q2kE4K",19,28,5,1714302482170401275,0
https://x.com/Shockng/status/1713938706292150409,16/10/2023,"🟢⚡️NEW: “After 30” has begun principal production and will debut on Prime Video streaming service. 

&gt;&gt; The feature title is a sequel to the 2015 Nemsia TV series “Before 30” with majority of the key cast set to reprise their roles. BB Sasore will not be returning as director. https://t.co/I5cvOZKY9P",13,34,3,1713938706292150409,0
https://x.com/primevideosport/status/1717813393145622728,27/10/2023,"Official Trailer: 𝐑𝐨𝐧𝐧𝐢𝐞 𝐎’𝐒𝐮𝐥𝐥𝐢𝐯𝐚𝐧: 𝐓𝐡𝐞 𝐄𝐝𝐠𝐞 𝐨𝐟 𝐄𝐯𝐞𝐫𝐲𝐭𝐡𝐢𝐧𝐠

A British sporting genius who has overcome mental challenges in the pursuit of perfection... 

A new feature-length documentary, coming to Prime Video on 23 November 📺 https://t.co/0YMnZ1lR5f",40,191,5,1717813393145622728,0
https://x.com/stuutiiiii/status/1717878955817181449,27/10/2023,"ugh, amazon prime video seriously needs to fix their 'skip intro' option. it's so annoying that it only works on every alternate episode",1,30,8,1717878955817181449,0
https://x.com/277Deepak/status/1711447147928051856,09/10/2023,"Hi Amazon India 

This is to inform you that I am a prime member and you close my account I have received wrong item that’s why I have issue with your product after I give feedback . resolve my problem and also my prime video account is log out so my reopen account. https://t.co/jgcmhOZr5V",0,0,1,1711447147928051856,0
https://x.com/Avionicschad/status/1709738106067267585,05/10/2023,Amazon prime video got this watch party feature now I can ft with her so easily!!! https://t.co/duBOOH2CGg,0,1,0,1709738106067267585,0
https://x.com/robessaa/status/1716389914705527011,23/10/2023,"The second season of Amazon Prime Video's ""Reacher"" will be based on Lee Child's ""Bad Luck and Trouble"" and will deviate from the source material, introducing new characters and locations while skipping several installments of the series. The season will feature a new setting in… https://t.co/l1w7UyzRoJ",0,0,0,1716389914705527011,0
https://x.com/SuryaPr55028083/status/1710937304460923299,08/10/2023,"I am using your Jio fiber connection since 2020, although I face some issue every month, I take Jio fiber plan of Rs 1178 every month, since last three months amazon prime video is not playing in the set box. about which I have complained many times on your jio application &amp; mail https://t.co/mCgHyLNUct",0,0,1,1710937304460923299,0
https://x.com/UweBollRAWUSA/status/1712832457169404237,13/10/2023,Today is Friday The 13th. Once that movie is over you will get Uwe Boll’s SEED in your eyes… on Amazon Prime video! There is a great feature where you can PARTY WATCH with your friends too. https://t.co/BfpaMZ8mRE https://t.co/Z4dOgYxsfT,1,10,2,1712832457169404237,0
https://x.com/80sMovieNetwork/status/1710421225603055996,06/10/2023,"Reminder!  

#StrangerFriends - Horror Double Feature

🤖 Chopping Mall (1986) at 8pm EDT 
(If you don’t own the DVD or Blu-ray .. check Peacock or YouTube for it without commercials potentially) 

😈 Troll 2 (1990) at 10pm EDT (Prime Video or YouTube)",3,9,0,1710421225603055996,0
https://x.com/AshWHurst/status/1715642271352205779,21/10/2023,Amazon Prime Video’s X-Ray feature is one of most underrated features ever.,1,19,1,1715642271352205779,0
https://x.com/themonicaleigh/status/1713562419904061494,15/10/2023,they need to slow down and fix prime video’s terrible TNF broadcast quality first,0,1,1,1713562419904061494,0
https://x.com/Merky__/status/1717717125836530047,27/10/2023,Comcast/Xfinity sure does make it hard to watch Thursday Night Football on Prime Video through their cable box. It's either pausing/stuttering or the sound drops completely. Gotta exit the game and come back to get back to normal...until starts pausing again. FIX THIS!!,0,1,2,1717717125836530047,0
https://x.com/Gou225/status/1719198968989765935,31/10/2023,"A heart-wrenching tale of adoption unfolds, pitting adoptive parents against the biological mother. Media intervention escalates the issue to legal consequences and finally leading to a gripping courtroom climax.

Tamil Film #AreYouOkBaby Now Streaming On Prime Video &amp; Aha Tamil https://t.co/Xuh1AB3ZqZ",0,0,0,1719198968989765935,0
https://x.com/omo_osebobo/status/1716421924866134213,23/10/2023,"A few of her fans took issue with the show being available on Prime Video.  Now,  look at the success.",0,1,0,1716421924866134213,0
https://x.com/CONTINUANCEPICS/status/1716987008789451205,25/10/2023,"You can NOW own a copy of our horror feature SUBJECT exclusively https://t.co/vjCq5hTB0k

#1 streamed film on Screambox US, also available to rent or buy on Prime Video &amp; iTunes. https://t.co/Gyrsmu2EWW",1,3,0,1716987008789451205,0
https://x.com/LifeIsAFilmFest/status/1716852549884481936,24/10/2023,"2023 Gotham Awards nominations and where to watch them:

Best Feature:

⁃Passages (MUBI/VOD)
⁃Past Lives (VOD)
⁃Reality (Max) 
⁃Showing Up (VOD)
⁃A Thousand and One (Prime Video/VOD)

#GothamAwards #GothamAwards2023 #FilmTwitter https://t.co/bMTJnrogyG",1,16,1,1716852549884481936,0
https://x.com/Snapshot__Sam/status/1716197631582523451,22/10/2023,"Everything needs that X-Ray feature from Prime Video, so I can find out which song is playing.",0,1,0,1716197631582523451,0
https://x.com/biswadeep1996/status/1715923881322484100,22/10/2023,On prime video hoichoi channel Durgo rawhosyo's episode 3 and 4 are not available. I contacted both @hoichoitv and @PrimeVideoIN but they don't solved the issue yet. @hoichoitech @svf https://t.co/7FpJNXXxNi,0,1,2,1715923881322484100,0
https://x.com/DEADLINE/status/1717678686256980201,26/10/2023,"David Beckham's production outfit has made an access-all-areas Amazon Prime Video feature doc about Ronnie O’Sullivan.

Ronnie O’Sullivan: The Edge of Everything will drop on Prime Video on November 21 and in select cinemas three days later https://t.co/BJdg0KYDFH",3,25,1,1717678686256980201,0
https://x.com/theerealmayk/status/1718272311646671204,28/10/2023,whatever glitch BET + prime video got going needs to be looked into . Why are am I paying for two subscriptions and still being asked to pay 2.99 for episodes of shows I’m watching. ?! But it’s suppose to be “ included“ in my subscriptions. #BET+ #PrimeVideo please fix it,1,0,1,1718272311646671204,0
https://x.com/dawnamo/status/1714823401561534780,19/10/2023,My feature film debut Mother of Color is out now on Amazon Prime Video! https://t.co/tDcP7vzlnQ https://t.co/caUwAWyVzi,0,1,0,1714823401561534780,0
https://x.com/biswadeep1996/status/1717410501091893419,26/10/2023,"On prime video hoichoi channel Durgo rawhosyo's episode 3 ends abruptly. Original duration of the episode is 29 minutes but here duration is 16 minutes. 13 minutes are missing. Please solve the issue. 

@hoichoitv @PrimeVideoIN @amazon https://t.co/U6B59P6yUm",0,2,1,1717410501091893419,0
https://x.com/CanadaDan55/status/1716543106084974882,23/10/2023,"@G0ffThew Can't wait to download a 50gb episode 1 patch only to google ""bug fix for prime video crashes when trying to play fallout""",0,56,2,1716543106084974882,0
https://x.com/MovieManKev/status/1712032145114337699,11/10/2023,"D is for Day Of The Reaper on Prime Video
#365Daysofthe80s Day 240

Tim Ritter's first feature film. Technically it's riddled with problems of every type, but dammit I WISH that DIY horror cinema show even half as much heart and obvious love for the genre as this does.

By… https://t.co/MQQOkJ2NHO",0,0,0,1712032145114337699,0
https://x.com/reallive_kevbot/status/1711595600083558881,10/10/2023,"My feature film, GIRL Gone Bad, is now available to stream on Prime Video in the USA!

https://t.co/wnVvFT0ej1",0,1,0,1711595600083558881,0
https://x.com/482to/status/1713858678355599426,16/10/2023,"Prime Video app was supposed to give me a visual at-a-glance indication of whether I had seen the movie or not, or how far I had watched it, but I wonder if this feature has been lost. It's a disappointment because it was useful.",0,0,0,1713858678355599426,0
https://x.com/Naminamionep/status/1709246346644066500,03/10/2023,"🧷 NN's PREMIUM 🧷

Netflix
YouTube
Spotify
Vivamax
Viu
HBO Go
Disney Plus
Prime Video
Canva Pro
Grammarly
Microsoft 365
picsart 
remini
nba league pass
iwant tfc

other services;
foodpanda unli checkout tuts
yt making tuts
how to fix gmail ( pay. google )

lf commissioner https://t.co/umL10NRXC8",0,0,0,1709246346644066500,0
https://x.com/Anandsingh328/status/1709280882077692341,03/10/2023,"Amazon prime video app has a sudden issue recently of not showing videos. It plays only audio with black screen.
Whatever possible way I tried by resetting the phone, reinstalling the app etc. still with no luck whatsoever.
#AmazonPrime #PrimeVideo please check this ASAP.",0,2,1,1709280882077692341,0
https://x.com/percabethfilmss/status/1719051970286092594,30/10/2023,i have been putting off on calling my grandma to fix the netflix but i’m tired of watching shows on prime video (my grandma talks to much and ask to many questions) https://t.co/k2ZT9JYH0c,0,0,1,1719051970286092594,0
https://x.com/strathiefilm/status/1718623942355677565,29/10/2023,Our debut feature film #Solis is now 5 years old!  It’s still available on Prime Video and AppleTV! 👨‍🚀🚀 @StevenOgg https://t.co/kRLvnyHkb2,0,3,0,1718623942355677565,0
https://x.com/HarshPr1947/status/1717836207743516786,27/10/2023,Prime Video's decision to feature him is a win for both his fans and the platform.#BhuvanOnPrime,0,0,0,1717836207743516786,0
https://x.com/_mekaa_/status/1710572921993711687,07/10/2023,I guess noticed the music/actor credit feature on the prime video app and it’s really cool,0,0,0,1710572921993711687,0
https://x.com/TheWheelOfTime/status/1709237032114114784,03/10/2023,"X-Ray Bonus Content is available on mobile devices through the Prime Video app, or via web browser. To access, stream the episode on your desired device. Tap the screen or move your cursor, then click the ‘View All’ button. This will open the X-Ray feature, allowing you to select…",5,78,1,1709237032114114784,0
https://x.com/angelathompson5/status/1717316284679868851,25/10/2023,I needed a #JerryVan fix so I’m rewatching #TheForbiddenFlower on Prime Video! https://t.co/C9nJPAI3Mf,0,2,0,1717316284679868851,0
https://x.com/gopherkhan/status/1713030089062203846,14/10/2023,Prime Video is still stuttering on PS5. This fix is taking forever.  https://t.co/FceZq4cSOl,0,1,0,1713030089062203846,0
https://x.com/Division__d/status/1713959037321073052,16/10/2023,"The default version of Prime Video will feature ads in TV shows and movies beginning in early 2024.

Viewers: An ad-free subscription will be available for an additional $2.99 to Amazon's $14.99 monthly charge.

(Continued)

#AmazonPrimeVideo #AdSupported https://t.co/DUNGBCAFuk",0,0,1,1713959037321073052,0
https://x.com/AndyVermaut/status/1717677884989636927,26/10/2023,"Andy Vermaut shares:David Beckham’s Studio 99 Behind Ronnie O’Sullivan Amazon Doc ‘The Edge Of Everything’: David Beckham’s production outfit has made an access-all-areas Amazon Prime Video feature doc about Ronnie O’Sullivan, the greatest… https://t.co/9lypzEOocC Thankyou. https://t.co/L4S55S5GEB",0,0,0,1717677884989636927,0
https://x.com/smoochiemayne/status/1719356207024984259,31/10/2023,You know what would be really cool? A site where you could watch every single Gundam series with annotations - especially the UC timeline. It would be a combination of those Shakespeare books with alternate page explanations and the X-Ray feature on Prime Video @BandaiNamcoUS,0,0,0,1719356207024984259,0
https://x.com/scumbleb/status/1708545794410680662,01/10/2023,@xllie__ We're so sorry to hear about this experience! You can find some troubleshooting for issues encountered when playing Prime Video content available here: https://t.co/GRXHrZubME . Please let us know if the issue persists! -Madi,0,0,1,1708545794410680662,0
