link,date,text,retweet_count,favorite_count,reply_count,commentId,parentId
https://x.com/comculturaearte/status/1744016219139653788,Sun Jan 07 15:20:43 +0000 2024,Série “Deus Cérebro”. Pode ser vista na RTP Play https://t.co/D3gCyEZe3F,39,256,1,1744016219139653788,0
https://x.com/AnaPapri/status/1744130639245299800,Sun Jan 07 22:55:23 +0000 2024,"""Deus cérebro"" na RTP Play https://t.co/J99aJl1tCe",1,8,0,1744130639245299800,0
https://x.com/evabalhacau/status/1745940184313561172,Fri Jan 12 22:45:52 +0000 2024,one love rtp play,0,0,0,1745940184313561172,0
https://x.com/catiabruno/status/1752462552456434079,Tue Jan 30 22:43:26 +0000 2024,Acabei de descobrir que o Herman Enciclopédia está na RTP Play. E agora como é que eu durmo?,1,23,4,1752462552456434079,0
https://x.com/BiaBueFds/status/1751364797260616084,Sat Jan 27 22:01:21 +0000 2024,@LychDavid rtp play,0,1,2,1751364797260616084,0
https://x.com/mundo_da_radio/status/1741818631443325242,Mon Jan 01 13:48:17 +0000 2024,"Cara RTP, será pedir demais q em 2024 coloquem o documentário ""Linha do Douro - Um património sobre carris"" no YouTube, com qualidade HD ou superior? É que o RTP Play não prima propriamente pela qualidade de imagem - e este é um documentário onde a imagem e o som são essenciais.",1,40,2,1741818631443325242,0
https://x.com/1stCaco/status/1746378621399224484,Sun Jan 14 03:48:04 +0000 2024,"não é demais relembrar o arquivo que está disponível no RTP Palco.

tal como na RTP Play, são horas de conteúdo gratuito. vamos aproveitá-lo enquanto existe!

acabo de ver um concerto delicioso do Mansur Brown no Iminente de 2022",1,10,0,1746378621399224484,0
https://x.com/BernardoM3nd3s/status/1745840599276584963,Fri Jan 12 16:10:09 +0000 2024,Não vai estar na RTP play??,0,1,1,1745840599276584963,0
https://x.com/rlaf/status/1744774831994761455,Tue Jan 09 17:35:10 +0000 2024,"Os tlms vêm pré-instalados com Youtube, TikTok e afins. E se em vez disso viessem com a Wikipédia e o RTP Play?

Mais uma vez, não se fala do papel dos fabricantes/big tech. O ónus permanece nos pais, que têm de enfrentar diariamente o capitalismo de vigilância. Assim n dá",9,52,2,1744774831994761455,0
https://x.com/rafapaulooo/status/1747038767620239456,Mon Jan 15 23:31:15 +0000 2024,Trés désolé pela RTP Play bloquear muitos dos conteúdos do seu site só por estar a querer vê-los na França,0,2,1,1747038767620239456,0
